L' R F B R2 U'
L' R B R2 F U'
L' R B F R2 U'
U2 L' R' F B' U'
U2 L' R' B' F U'
L' R' F U' D' L2
L' R' F U2 F2 U
L' R' F D' U' L2
R' L' F U' D' L2
L' R' F D2 B2 U'
R' L' F U2 F2 U
R' L' F D' U' L2
R' L' F D2 B2 U'
R L' F B R2 U'
R L' B R2 F U'
R L' B F R2 U'
U2 L' F R' B' U'
U2 R' L' F B' U'
U2 R' L' B' F U'
L' F R B R2 U'
L' F R' U2 F' U
R B L' R2 F U'
R B L' F R2 U'
R B R2 L' F U'
L' R D F B U' B
L' R D B F U' B
L' R F R2 U2 F' U
L' R F D B U' B
L' R F B R2 U' D
L' R F B R2 U' D'
L' R F B R2 U' D2
L' R F B R2 D U'
L' R F B R2 D' U'
L' R F B R2 D2 U'
L' R F B U' D B2
L' R F B D U' B2
L' R F B' R2 B2 U'
L' R F B2 R2 B' U'
L' R F' B R2 F2 U'
R' L F2 L2 F B' U'
R' L F2 L2 B' F U'
L' R B R' F R' U'
L' R B R2 D F U'
L' R B R2 D' F U'
L' R B R2 D2 F U'
L' R B R2 F U' D
L' R B R2 F U' D'
L' R B R2 F U' D2
L' R B R2 F D U'
L' R B R2 F D' U'
L' R B R2 F D2 U'
L' R B D F U' B2
L' R B F R2 U' D
L' R B F R2 U' D'
L' R B F R2 U' D2
L' R B F R2 D U'
L' R B F R2 D' U'
L' R B F R2 D2 U'
L' R B F U' D B2
L' R B F D U' B2
L' R B F' R2 F2 U'
L' R B' R2 F B2 U'
L' R B' R2 B2 F U'
L' R B' F R2 B2 U'
L' R B2 R2 F B' U'
L' R B2 R2 B' F U'
L' R B2 F R2 B' U'
L' R' U2 F' U D R2
R' L' U2 F' U D R2
L' R' U2 F' U2 F2 U'
R' L' U2 F' U2 F2 U'
L' R' U2 F' D U R2
R' L' U2 F' D U R2
R' L' U2 F' D2 B2 U
L' R' U2 F' D2 B2 U
D2 L' R F' B R2 U'
B' L' R F B R' U'
U2 L' R F R2 B' U'
D2 L' R B F' R2 U'
U2 L' R F B' R2 U'
D' L' R B R2 U' R
B' L' R B R' F U'
B' L' R B F R' U'
U2 L' R B' R2 F U'
U2 L' R B' F R2 U'
D2 L' R' U2 F' B U
R' L' D F U' D' L2
R' L' D F U2 F2 U
D2 L' R' U2 B F' U
R' L' D F D' U' L2
R' L' D F D2 B2 U'
L' R' D F U' D' L2
L' R' D F U2 F2 U
L' R' D F D' U' L2
L' R' D F D2 B2 U'
D L' R' U2 F' U R
U2 L' R' D F B' U'
U2 L' R' D B' F U'
U2 L' R' D' F B' U'
U2 L' R' D' B' F U'
R L' D F B U' B
U2 L' R' D2 F B' U'
U2 L' R' D2 B' F U'
U' L' R' F B U' L
U2 L' R' F D B' U'
U2 L' R' F D' B' U'
U2 L' R' F D2 B' U'
U2 L' R' F B' U' D
U2 L' R' F B' U' D'
U2 L' R' F B' U' D2
U2 L' R' F B' D U'
U2 L' R' F B' D' U'
U2 L' R' F B' D2 U'
R L' D B F U' B
U' L' R' B F U' L
U L' R' F U R U2
U2 L' R' B' D F U'
U2 L' R' B' D' F U'
U2 L' R' B' D2 F U'
U2 L' R' B' F U' D
U2 L' R' B' F U' D'
U2 L' R' B' F U' D2
U2 L' R' B' F D U'
U2 L' R' B' F D' U'
U2 L' R' B' F D2 U'
R2 L' D' R F U' L'
R' L' D' F U' D' L2
R' L' D' F U2 F2 U
R' L' D' F D' U' L2
R' L' D' F D2 B2 U'
L' R' D' F U' D' L2
L' R' D' F U2 F2 U
L' R' D' F D' U' L2
L' R' D' F D2 B2 U'
U2 L' R2 B' R F U'
R' L' D2 F U' D' L2
R' L' D2 F U2 F2 U
R' L' D2 F D' U' L2
R' L' D2 F D2 B2 U'
L' R' D2 F U' D' L2
L' R' D2 F U2 F2 U
L' R' D2 F D' U' L2
L' R' D2 F D2 B2 U'
R' L' F U D R2 U2
R' L' F U' L D' L2
R' L' F U' L' D' L2
R' L' F U' L2 D' L2
L' R' F U D R2 U2
R' L' F U' D' L2 D
R' L' F U' D' L2 D'
R' L' F U' D' L2 D2
L' R' F U' L D' L2
L' R' F U' L' D' L2
L' R' F U' L2 D' L2
L' R' F U' D' L2 D
L' R' F U' D' L2 D'
L' R' F U' D' L2 D2
R' L' F U2 F2 U D
R' L' F U2 F2 U D'
R' L' F U2 F2 U D2
R' L' F U2 F2 D U
R' L' F U2 F2 D' U
R' L' F U2 F2 D2 U
R' L' F D U R2 U2
L' R' F U2 F2 U D
L' R' F U2 F2 U D'
L' R' F U2 F2 U D2
L' R' F U2 F2 D U
L' R' F U2 F2 D' U
L' R' F U2 F2 D2 U
L' R' F D U R2 U2
R' L' F D' U' L2 D
R' L' F D' U' L2 D'
R' L' F D' U' L2 D2
R' L' F D' B U' L2
R' L' F D' B' U' L2
R' L' F D' B2 U' L2
L' R' F D' U' L2 D
L' R' F D' U' L2 D'
L' R' F D' U' L2 D2
R L' F R2 U2 F' U
L' R' F D' B U' L2
L' R' F D' B' U' L2
L' R' F D' B2 U' L2
R' L' F D2 B2 U' D
R' L' F D2 B2 U' D'
R' L' F D2 B2 U' D2
R' L' F D2 B2 D U'
R' L' F D2 B2 D' U'
R' L' F D2 B2 D2 U'
R' L' F B U' D' L2
R' L' F B U2 F2 U
L' R' F D2 B2 U' D
L' R' F D2 B2 U' D'
L' R' F D2 B2 U' D2
L' R' F D2 B2 D U'
L' R' F D2 B2 D' U'
L' R' F D2 B2 D2 U'
R' L' F B D' U' L2
R' L' F B D2 B2 U'
L' R' F B U' D' L2
R' L' F B' U' D' L2
L' R' F B U2 F2 U
R' L' F B' U2 F2 U
L' R' F B D' U' L2
R' L' F B' D' U' L2
L' R' F B D2 B2 U'
R' L' F B' D2 B2 U'
R' L' F B2 U' D' L2
L' R' F B' U' D' L2
L' R' F B' U2 F2 U
R' L' F B2 U2 F2 U
L' R' F B' D' U' L2
R' L' F B2 D' U' L2
L' R' F B' D2 B2 U'
R' L' F B2 D2 B2 U'
L' R' F B2 U' D' L2
L' R' F B2 U2 F2 U
L' R' F B2 D' U' L2
L' R' F B2 D2 B2 U'
R L' F D B U' B
R L' F B R2 U' D
R L' F B R2 U' D'
R L' F B R2 U' D2
R L' F B R2 D U'
R L' F B R2 D' U'
R L' F B R2 D2 U'
R L' F B U' D B2
R L' F B D U' B2
R L' F B' R2 B2 U'
R L' F B2 R2 B' U'
R L' F' B R2 F2 U'
L R' F2 L2 F B' U'
L R' F2 L2 B' F U'
U2 L' D R' F B' U'
U2 L' D R' B' F U'
U2 L' D F R' B' U'
U2 L' D' R' F B' U'
U2 L' D' R' B' F U'
R L' B R' F R' U'
