U L B' U L U R2
R' L' U' D' R' F B
R' L' U' D' R' B F
R' L' U' D' F R' B
L' R' U' D' R' F B
L' R' U' D' R' B F
L' R' U' D' F R' B
R' L' U' F D' R' B
L' R' U' F D' R' B
R' L' D' U' R' F B
R' L' D' U' R' B F
R' L' D' U' F R' B
L' R' D' U' R' F B
L' R' D' U' R' B F
L' R' D' U' F R' B
U' L' R2 D F L B'
B' L' R2 F D' L2 B2
B' L' R2 F D' B2 L2
U' L' R2 F D L B'
U' L' F R2 D L B'
D2 L' F' R U' F' R
D2 L' F2 U' R F' B
D2 L' F2 U' R B F'
U2 L2 B' L U R2 F
U2 L2 B' L U F R2
L U B' U L U R2
L' U' R' D' R' F B
L' U' R' D' R' B F
L' U' R' D' F R' B
L' U' R' F D' R' B
L' U' F R' D' R' B
U' R2 L' D F L B'
U' R2 L' F D L B'
B' R2 L' F D' L2 B2
B' R2 L' F D' B2 L2
L' D' R' F2 U' F' B
L' D' R' F2 U' B F'
R' D2 F' R U' F' R2
R2 D2 F' R U' F' R'
D2 F' R U L2 U2 F'
D2 F' R U' D2 F' R2
D2 F' R U' F' D2 R2
D2 F' R D F2 U' F
D2 F' R D2 U' F' R2
D' F' D' F' R U' F'
B D' R' F2 B' L U'
B D' R' B' L F2 U'
B D' R' B' F2 L U'
B D' F2 R' B' L U'
U2 B' L U' B' U2 R2
U2 B' L B2 U R2 F'
