U R U B' R'
U2 B' R' D' F2
U R U R B' R'
U R U R' B' R'
U R U R2 B' R'
U R U D B' R'
U R U D' B' R'
U R U D2 B' R'
U R U B' R' D
U R U B' R' D'
U R U B' R' D2
U R U B' D R'
U R U B' D' R'
U R U B' D2 R'
U R D U B' R'
U R D' U B' R'
U R D2 U B' R'
U2 R' D' F2 B' R'
U2 R' D' B' R' F2
U2 R' D' B' F2 R'
U2 R' B' D' R' F2
U2 R' B' D' F2 R'
D2 U R U B' R'
D' U R U B' R'
U D R U B' R'
D U R U B' R'
U2 D B' R' D' F2
U D' R U B' R'
U2 D' B' R' D' F2
U D2 R U B' R'
D' U2 B' R' D' F2
U2 D2 B' R' D' F2
D2 U2 B' R' D' F2
D U2 B' R' D' F2
F U2 D R F' B'
F U2 D R B' F'
F U2 D B' R F'
F U2 B' D R F'
L2 F U2 D R F'
L2 F D U2 R F'
F D U2 R F' B'
F D U2 R B' F'
F D U2 B' R F'
U' F' U' B' R' F'
U2 B' R' U' R2 U
U2 B' R' D' F2 D
U2 B' R' D' F2 D'
U2 B' R' D' F2 D2
U2 B' R' F D' F2
U2 B' R' F' D' F2
U2 B' R' F2 D' F2
U2 B' U' R U R2
U2 B' D R' D' F2
U2 B' D' R' D' F2
U2 B' D2 R' D' F2
F L U2 D R F' B
F L U2 D R B F'
F L D U2 R F' B
F L D U2 R B F'
U' L F2 L' U' B' R'
U L' R D' B' L U
U L' R B' L U B'
F' L' U L U F B'
F' L' U L U B' F
U L' D' R B' L U
U L' D' B' L R U
U L' D' B' R L U
U L' B' L R U B'
U L' B' R L U B'
F' L2 F L U R U
F2 L2 F L' U' L2 U'
F2 L2 F L' U2 D F2
F2 L2 F L' D U2 F2
F2 L2 F L' D' B2 U2
D2 L2 F U2 D R F'
D' L2 F U2 D R F'
D2 L2 F D U2 R F'
D' L2 F D U2 R F'
D L2 F U2 D R F'
D L2 F D U2 R F'
L2 U R U' F U2 R
U R L' D' B' L U
U R L' B' L U B'
U R U R D B' R'
U R U R D' B' R'
U R U R D2 B' R'
U R U R B' R' D
U R U R B' R' D'
U R U R B' R' D2
U R U R B' D R'
U R U R B' D' R'
U R U R B' D2 R'
U R U R' D B' R'
U R U R' D' B' R'
U R U R' D2 B' R'
U R U R' B' R' D
U R U R' B' R' D'
U R U R' B' R' D2
U R U R' B' D R'
U R U R' B' D' R'
U R U R' B' D2 R'
U R U R2 D B' R'
U R U R2 D' B' R'
U R U R2 D2 B' R'
U R U R2 B' R' D
U R U R2 B' R' D'
U R U R2 B' R' D2
U R U R2 B' D R'
U R U R2 B' D' R'
U R U R2 B' D2 R'
U R U D R B' R'
U R U D R' B' R'
U R U D R2 B' R'
U R U D B' R' D
U R U D B' R' D'
U R U D B' R' D2
U R U D B' D R'
U R U D B' D' R'
U R U D B' D2 R'
U R U D' R B' R'
U R U D' R' B' R'
U R U D' R2 B' R'
U R U D' B' R' D
U R U D' B' R' D'
U R U D' B' R' D2
U R U D' B' D R'
U R U D' B' D' R'
U R U D' B' D2 R'
