F2 R B L B' U
F2 B L R B' U
F2 B L R B' U
F2 B L B' R U
F2 B R L B' U
B F2 L R B' U
B F2 L B' R U
B F2 R L B' U
F2 L R B L B2 U
F2 L R B' U2 R' U'
B L D' B' U L2 F
B L F2 U2 L2 F U'
B L F2 D B' U F2
B L F2 D2 R2 B' U
B L F2 D2 B' R2 U
F2 L B L R B2 U
F2 L B L B2 R U
B L F2 B' U D F2
B L F2 B' U2 L2 U'
B L F2 B' D U F2
B L F2 B' D2 R2 U
F2 L B R L B2 U
F2 L B' R U D B2
F2 L B' R U2 R2 U'
F2 L B' R D U B2
F2 L B' R D2 L2 U
B L B' F2 U D F2
B L B' F2 U2 L2 U'
B L B' F2 D U F2
B L B' F2 D2 R2 U
F2 L' R U2 F R U'
B' L' R' D' F U' L2
B' L' R' D2 F B2 U'
B' L' R' D2 B2 F U'
B' L' R' F U2 F U
D' L' U' L' B R' B2
D' L' U' B L' R' B'
D' L' U' B R' L' B'
D' L' U' B2 L' B' R'
B L' U2 L2 F2 B' U
B L' U2 L2 B' F2 U
B' L' D' R' F U' L2
B' L' D' F R' U' L2
U' L' D' F U' B' L2
U2 L' D' F R U' L2
B L' D' F U' L2 B2
B L' D' F U' B2 L2
B' L' D2 R' F B2 U'
B' L' D2 R' B2 F U'
B' L' D2 F R' B2 U'
B L' D2 R2 F B2 U'
B L' D2 R2 B2 F U'
U' L' D2 F B2 U' B
U2 L' D2 F R B2 U'
U2 L' D2 F B2 R U'
B L' D2 F R2 B2 U'
B L' D2 F B2 R2 U'
U' L' D2 B2 F U' B
U2 L' D2 B2 F R U'
B L' D2 B2 R2 F U'
B L' D2 B2 F R2 U'
B' L' F R' U2 F U
U2 L' F R U2 F U
U' L' F U2 F U B'
B L' F U2 F L2 U
F2 R L B L B2 U
F2 R L B' U2 R' U'
F2 R L' U2 F R U'
F2 R U R D' B R'
F2 R U D' R B R'
F2 R D' U R B R'
F2 R D' B L U R'
B R F2 L R B' U
B R F2 L B' R U
B R F2 R L B' U
