D L F2 B' L2 U'
D L B' L2 F2 U'
D L B' F2 L2 U'
B' L' U L' U2 L'
B L' U L' R' U2
B L' U R' L' U2
D2 L' F U' L' R2
D2 L' F U' R2 L'
B' L' F2 U' L2 R
B' L' F2 U' R L2
D L' F2 U2 F' U
B' D L' F2 U' L2
B' D2 L' U' L2 R2
B' D2 L' U' R2 L2
L' F2 B' U' L R
L' F2 B' U' R L
L' B U L' R' U2
L' B U R' L' U2
L' B' U L' U2 L2
L' B' U' L D2 R2
L' B' F2 U' L R
L' B' F2 U' R L
B' L R2 D F2 B2 R'
B' L R2 D B2 R' F2
B' L R2 D B2 F2 R'
D L D B' U' R2 F2
D L D B' U' F2 R2
D2 L F L2 U' L R2
D2 L F L2 U' R2 L
D L F' B' L2 F' U'
D L F2 L2 U2 F U
D L F2 D B' U' F2
D L F2 B L2 B2 U'
D L F2 B' L2 U' D
D L F2 B' L2 U' D'
D L F2 B' L2 U' D2
D L F2 B' L2 D U'
D L F2 B' L2 D' U'
D L F2 B' L2 D2 U'
D L F2 B' U' D F2
D L F2 B' D U' F2
D L F2 B2 L2 B U'
D L B L2 F2 B2 U'
D L B L2 B2 F2 U'
D L B F2 L2 B2 U'
D L B' L F2 L U'
D L B' L2 U' D R2
D L B' L2 D U' R2
D L B' L2 F2 U' D
D L B' L2 F2 U' D'
D L B' L2 F2 U' D2
D L B' L2 F2 D U'
D L B' L2 F2 D' U'
D L B' L2 F2 D2 U'
D L B' U' D R2 F2
D L B' U' D F2 R2
D L B' D U' R2 F2
D L B' D U' F2 R2
D L B' F' L2 F' U'
D L B' F2 L2 U' D
D L B' F2 L2 U' D'
D L B' F2 L2 U' D2
D L B' F2 L2 D U'
D L B' F2 L2 D' U'
D L B' F2 L2 D2 U'
D L B' F2 U' D F2
D L B' F2 D U' F2
B' L B2 L2 U' L2 R'
B' L B2 L2 U' R' L2
D L B2 L2 F2 B U'
D L B2 L2 B F2 U'
B L B2 L2 U' L' R'
B L B2 L2 U' R' L'
D L B2 F2 L2 B U'
D L' R2 F2 R2 B U'
B' L' U L' R U2 L'
B' L' U L' R' U2 L'
B' L' U L' R2 U2 L'
B' L' U L' U2 L' D
B' L' U L' U2 L' D'
B' L' U L' U2 L' D2
B' L' U L' U2 D L'
B' L' U L' U2 D' L'
B' L' U L' U2 D2 L'
B' L' U L' D U2 L'
B' L' U L' D' U2 L'
B' L' U L' D2 U2 L'
B' L' U R L' U2 L'
B' L' U R' L' U2 L'
B L' U L' R' U2 D
B L' U L' R' U2 D'
B L' U L' R' U2 D2
B L' U L' R' D U2
B L' U L' R' D' U2
B L' U L' R' D2 U2
F L' U L' B' U2 L
B L' U L' D R' U2
B L' U L' D' R' U2
B L' U L' D2 R' U2
B' L' U R2 L' U2 L'
B L' U R' L' U2 D
B L' U R' L' U2 D'
B L' U R' L' U2 D2
B L' U R' L' D U2
B L' U R' L' D' U2
B L' U R' L' D2 U2
B' L' U D2 L' R2 U2
B L' U R' D L' U2
B L' U R' D' L' U2
B L' U R' D2 L' U2
B' L' U D2 R2 L' U2
B L' U D L' R' U2
B L' U D R' L' U2
B L' U D' L' R' U2
B L' U D' R' L' U2
B L' U D2 L' R' U2
B L' U D2 R' L' U2
B' L' U' L D2 L R2
B' L' U' L D2 R2 L
B' L' U' L2 U2 L U2
B' L' U' L2 B2 R' B2
D2 L' U' R2 F L' F'
D2 L' U' F L' F' R2
B' L' U' F2 L2 R F2
B' L' U' F2 R L2 F2
B' L' U' F2 R F2 L2
B' L' U' B2 L2 B2 R'
B' L' U2 D F2 U R
D2 L' U2 F U L' R2
D2 L' U2 F U R2 L'
D L' U2 D F U R2
D L' U2 D2 F B2 U
D L' U2 D2 B2 F U
D L' U2 F U2 F U'
B' L' U2 F2 U L2 R
B' L' U2 F2 U R L2
B' L' D U2 F2 U R
B L' D U L' R' U2
B L' D U R' L' U2
D L' D U2 F U R2
D' L' D' F U' L' R2
D' L' D' F U' R2 L'
B L' D' U L' R' U2
B L' D' U R' L' U2
B' L' D' F2 B2 U' R
B' L' D' B2 U L' U2
B' L' D' B2 F2 U' R
B' L' D2 U L' R2 U2
B' L' D2 U R2 L' U2
B L' D2 U L' R' U2
B L' D2 U R' L' U2
