B' L F R U R2 U
B' L F R U2 D' F2
B' L F R D B2 U2
B' L F R D' U2 F2
B R' F' L' D F2 B'
B R' F' L' D B' F2
B R' F' L' B' D F2
D2 F' L' B' R D' F2
B2 D F' L' F B' R'
B2 D F' L' B' R' F
B2 D F' L' B' F R'
B2 D' R F' L' B' R'
F' B L U' L2 R' B'
F' B L U' R' L2 B'
F' B L' R' D F2 B'
F' B L' R' D B' F2
F' B L' R' B' D F2
F' B L' D R' F2 B'
F' B L' D R' B' F2
F' B L' D F2 R' B'
F' B R' L' D F2 B'
F' B R' L' D B' F2
F' B R' L' B' D F2
B F' L U' L2 R' B'
B F' L U' R' L2 B'
B F' L' R' D F2 B'
B F' L' R' D B' F2
B F' L' R' B' D F2
B F' L' D R' F2 B'
B F' L' D R' B' F2
B F' L' D F2 R' B'
B F' R' L' D F2 B'
B F' R' L' D B' F2
B F' R' L' B' D F2
B2 F' D L' F B' R'
B2 F' D L' B' R' F
B2 F' D L' B' F R'
F' B2 D L' F B' R'
F' B2 D L' B' R' F
F' B2 D L' B' F R'
