U' L R' B2 U'
U' R' L B2 U'
U' L R B2 R2 U'
U' L R' U' D L2
U' L R' D U' L2
U2 L R' B2 U' R
U2 L R' B2 U' R
U' L R' B2 U' D
U' L R' B2 U' D'
U' L R' B2 U' D2
U' L R' B2 D U'
U' L R' B2 D' U'
U' L R' B2 D2 U'
U' L R2 B2 R U'
U' L D R' U' L2
R' L F2 B2 U' R
R' L B2 U L' U2
R' L B2 F2 U' R
U' L B2 U2 L U
U' L' R' B2 L2 U'
L R' F2 B2 U' R
L' R' B2 L2 U' R'
R' L' B2 L2 U' R'
L R' B2 U L' U2
L R' B2 F2 U' R
U' L2 R' B2 L' U'
U' R L B2 R2 U'
R' U' L B2 U' B2
R2 U' L R B2 U'
R U' L R2 B2 U'
R2 U' L B2 R U'
R U' L B2 R2 U'
R2 U' R L B2 U'
R U' R2 L B2 U'
U' R' L U' D L2
U' R' L D U' L2
U' R' L B2 U' D
U' R' L B2 U' D'
U' R' L B2 U' D2
U' R' L B2 D U'
U' R' L B2 D' U'
U' R' L B2 D2 U'
U2 R' L B2 U' R
U' R' L' B2 L2 U'
U' R' L2 B2 L' U'
U' R' D L U' L
U' R' B2 U2 R' U
U' R2 L B2 R U'
D' R2 U' L R U'
D' R2 U' R L U'
U' D L R' U' L
U' D R' L U' L
D U' L R' U' L
F' U' L R' B2 U'
F2 U' L R' B2 U'
F U' L R' B2 U'
D U' R' L U' L
F' U' R' L B2 U'
F2 U' R' L B2 U'
F U' R' L B2 U'
B2 U2 L R' U R
B2 U2 R' L U R
L F2 R' B2 U' R2
R' B2 U2 R' U R
U' B2 U2 L R' U
U' B2 U2 R' L U
R' L U L' U' B2 U'
R' L U L' U2 D L2
R' L U L' D U2 L2
R' L U L' D' R2 U2
U' L R U' D L2 B2
U' L R U' D B2 L2
U' L R D U' L2 B2
U' L R D U' B2 L2
R' L U D L' U2 L'
R' L U D' L' R2 U2
R' L U D' R2 L' U2
U' L R B' R2 B' U'
U' L R B2 R2 U' D
U' L R B2 R2 U' D'
U' L R B2 R2 U' D2
U' L R B2 R2 D U'
U' L R B2 R2 D' U'
U' L R B2 R2 D2 U'
U' L R B2 U' D B2
U' L R B2 D U' B2
U' L R' U D' R2 U2
D' L R' U L' R' U2
D' L R' U R' L' U2
U' L R' U' L D L2
U' L R' U' L' D L2
U' L R' U' L2 D L2
U' L R' U' D L2 D
U' L R' U' D L2 D'
U' L R' U' D L2 D2
U2 L R' U' R D L2
U2 L R' U' D L2 R
U2 L R' U' D R L2
B2 L R' U' L' U2 L
D L R' U L' U2 L2
U' L R' U2 D2 F2 U
D L R' U' L D2 R2
D2 L R' U2 F2 U R
U' L R' D U' L2 D
U' L R' D U' L2 D'
U' L R' D U' L2 D2
U' L R' D B U' L2
U' L R' D B' U' L2
U' L R' D B2 U' L2
U2 L R' D U' L2 R
U2 L R' D U' R L2
U' L R' D' U R2 U2
U' L R' D2 U2 F2 U
F' L R' F2 B2 U' R
U' L R' B D B U'
U' L R' B D' B U'
U' L R' B D2 B U'
L R U' D L2 B2 R'
F2 L R' F2 B2 U' R
D L R' F2 U' L R
D L R' F2 U' R L
U' L R' B' D B' U'
U' L R' B' D' B' U'
U' L R' B' D2 B' U'
F' L R' B2 U L' U2
F L R' F2 B2 U' R
