D' F2 R U' L' F'
L R U2 D' R F' B2
L R U2 D' R B2 F'
L R U2 D' B2 R F'
R L U2 D' R F' B2
R L U2 D' R B2 F'
R L U2 D' B2 R F'
L R D F2 L' U2 F
B' L U' R2 D' B2 L
R L D F2 L' U2 F
L R D' R F' B2 L
L R D' R B2 L F'
L R D' R B2 F' L
R L D' R F' B2 L
R L D' R B2 L F'
R L D' R B2 F' L
L R D' U2 R F' B2
L R D' U2 R B2 F'
L R D' U2 B2 R F'
R L D' U2 R F' B2
R L D' U2 R B2 F'
R L D' U2 B2 R F'
B' L D' F2 U' L' B2
B' L D' F2 U' B2 L'
B L' R' U D2 L2 R'
B L' R' U D2 R' L2
B L' R' U' R2 U2 R
B L' R' D' F2 U R'
B L' R' D2 U L2 R'
B L' R' D2 U R' L2
D L' R2 B2 U F L
B' L' D B2 U F2 L'
B L' F2 R' U L' R'
B L' F2 R' U R' L'
D L' F2 B2 U L' F'
D L' B2 U F2 L' F'
D L' B2 U' R U2 F
D L' B2 F2 U L' F'
R U L' U D' R F'
R U L' D' U R F'
R U L' B R' U R2
R U D L' U R F
R U D' L' U R F'
B R U L' R2 U R'
D R U L' B2 U F
B R U R2 L' U R'
L' U F2 R2 D L' F
D R U B2 L' U F
F2 R U' L' D' R F'
F2 R U' R D L' F
F2 R U' D L' R F
F2 R U' D R L' F
D' R U' F2 R U' F
F2 R U' D' L' R F'
F2 R U' D' R L' F'
R U B L' R' U R2
R U B R' L' U R2
F2 R D U' L' R F
F2 R D U' R L' F
F2 R D' U' L' R F'
F2 R D' U' R L' F'
L' U' R U2 D' R F'
L' U' R D' U2 R F'
F2 R B' L U' L2 R
F2 R B' L U' R L2
B R' L' U D2 L2 R'
B R' L' U D2 R' L2
B R' L' U' R2 U2 R
B R' L' D' F2 U R'
B R' L' D2 U L2 R'
B R' L' D2 U R' L2
F2 R' D L' R' F B2
F2 R' D L' R' B2 F
F2 R' D L' F R' B2
F2 R' D R' L' F B2
F2 R' D R' L' B2 F
F2 R' D R' B2 L' F
B R' D' L' F2 U R'
B R' D2 L' U L' R'
B R' D2 L' U R' L'
D R2 L' B2 U F L
D R2 B2 L' U F L2
R D U L' U R F
L' D F2 B2 U L' F
L' D B2 U F2 L' F
L' D B2 F2 U L' F
D' U F2 R U' L' F'
R D' U L' U R F'
D' U' F2 R U' L' F'
U' D' F2 R U' L' F'
U2 D' F2 R U' L' F'
U D' F2 R U' L' F'
D' U2 F2 R U' L' F'
D' F2 L R U' L2 F'
D' F2 L R U' F' L2
D' F2 L2 R U' L F'
D' F2 L2 R U' F' L
D' F2 R L U' L2 F'
D' F2 R L U' F' L2
D' F2 R L2 U' L F'
D' F2 R L2 U' F' L
D' F2 R U' L F' L2
D' F2 R U' L' D F'
D' F2 R U' L' D' F'
D' F2 R U' L' D2 F'
D' F2 R U' L' F' D
D' F2 R U' L' F' D'
D' F2 R U' L' F' D2
D' F2 R U' L2 F' L
D' F2 R U' D L' F'
D' F2 R U' D' L' F'
D' F2 R U' D2 L' F'
D' F2 R D U' L' F'
B' D' F2 L R U' L2
D' F2 R D' U' L' F'
D' F2 R D2 U' L' F'
B' D' F2 R L U' L2
D' F2 R B U' L' F'
D' F2 R B' U' L' F'
D' F2 R B2 U' L' F'
L' F2 U R2 D L' F
L' F2 D B2 U L' F
D' F2 D2 R U' L' F
D' F2 B R U' L' F'
L' F2 B R' U L' R'
L' F2 B R' U R' L'
D' F2 B' R U' L' F'
D' F2 B2 R U' L' F'
L' B R' U D2 L2 R'
L' B R' U D2 R' L2
L' B R' U' R2 U2 R
L' B R' D' F2 U R'
L' B R' D2 U L2 R'
L' B R' D2 U R' L2
R B U L' R' U R2
R B U R' L' U R2
D' B F2 R U' L' F'
L' B F2 R' U L' R'
L' B F2 R' U R' L'
F2 B' L R U' L2 R
F2 B' L R U' R L2
F2 B' R L U' L2 R
F2 B' R L U' R L2
D' B' F2 R U' L' F'
B' F2 L R U' L2 R
B' F2 L R U' R L2
D B2 L' U F2 L' F'
D B2 L' U' R U2 F
D B2 L' F2 U L' F'
B' F2 R L U' L2 R
B' F2 R L U' R L2
R2 B2 U' L' U L2 F
D' B2 F2 R U' L' F'
