F' L' U F2 B'
F' L' U B' F2
F' L U' F U2 F
F' L' R U F2 B'
F' L' R U B' F2
F' L' R' U F2 B'
F' L' R' U B' F2
F' L' R2 U F2 B'
F' L' R2 U B' F2
F' L' U F2 D B'
F' L' U F2 D' B'
F' L' U F2 D2 B'
F' L' U F2 B' D
F' L' U F2 B' D'
F' L' U F2 B' D2
F' L' U B' F2 D
F' L' U B' F2 D'
F' L' U B' F2 D2
F' L' D R2 U B'
F L' F2 U F2 B'
F L' F2 U B' F2
F' R L' U F2 B'
F' R L' U B' F2
U2 R U' F B L
U2 R U' B F L
F' R' L' U F2 B'
F' R' L' U B' F2
F' R2 L' U F2 B'
F' R2 L' U B' F2
F' U2 R U' F2 B
F' U2 R U' B F2
F' D L' R2 U B'
F' D R2 L' U B'
D2 F' L' U F2 B'
D2 F' L' U B' F2
D' F' L' U F2 B'
D' F' L' U B' F2
D F' L' U F2 B'
D F' L' U B' F2
F' L R U' F U2 F
F' L R' U' F U2 F
F' L R2 U' F U2 F
F' L U L2 F2 B' L2
F' L U L2 B' L2 F2
F' L U L2 B' F2 L2
F' L U R2 F2 R2 B
F' L U F' D2 F' B2
F' L U F' D2 B2 F'
F' L U F2 R2 B R2
F' L U F2 U2 F' U2
F' L U' D2 F B2 U2
F' L U' D2 B2 F U2
F' L U' F U2 D F
F' L U' F U2 D' F
F' L U' F U2 D2 F
F' L U' F U2 F D
F' L U' F U2 F D'
F' L U' F U2 F D2
F' L U' F D U2 F
F' L U' F D' U2 F
F' L U' F D2 U2 F
F' L U' F B U2 F
F' L U' F B' U2 F
F' L U' F B2 U2 F
F' L U' B F U2 F
F' L U' B' F U2 F
F' L U' B2 F U2 F
F' L U2 L2 U' F2 B'
F' L U2 L2 U' B' F2
F' L U2 D' L2 U' B'
F' L D L2 R2 U B'
F' L D R2 L2 U B'
F' L D R2 U' F U2
F' L D' U2 L2 U' B'
F' L D2 U' F B2 U2
F' L D2 U' B2 F U2
F L F2 R2 U F2 B
F L F2 R2 U B F2
F L F2 U' F' U2 F'
F L F2 D R2 U B
F L B2 D' L2 R2 B'
F L B2 D' L2 B' R2
F L B2 D' R2 L2 B'
F' L' R U F2 D B'
F' L' R U F2 D' B'
F' L' R U F2 D2 B'
F' L' R U F2 B' D
F' L' R U F2 B' D'
F' L' R U F2 B' D2
F' L' R U B' F2 D
F' L' R U B' F2 D'
F' L' R U B' F2 D2
F' L' R D R2 U B'
F L' R F2 U F2 B'
F L' R F2 U B' F2
F' L' R' U F2 D B'
F' L' R' U F2 D' B'
F' L' R' U F2 D2 B'
F' L' R' U F2 B' D
F' L' R' U F2 B' D'
F' L' R' U F2 B' D2
F' L' R' U B' F2 D
F' L' R' U B' F2 D'
F' L' R' U B' F2 D2
F' L' R' D R2 U B'
F L' R' F2 U F2 B'
F L' R' F2 U B' F2
F' L' R2 U F2 D B'
F' L' R2 U F2 D' B'
F' L' R2 U F2 D2 B'
F' L' R2 U F2 B' D
F' L' R2 U F2 B' D'
F' L' R2 U F2 B' D2
F' L' R2 U B' F2 D
F' L' R2 U B' F2 D'
F' L' R2 U B' F2 D2
F' L' R2 D R2 U B'
F L' R2 F2 U F2 B'
F L' R2 F2 U B' F2
F' L' U L' F2 L B'
F' L' U R F2 R' B'
F' L' U R' B' R F2
F' L' U R2 F2 R2 B'
F' L' U R2 F2 B' R2
F' L' U R2 B' R2 F2
F' L' U R2 B' F2 R2
F' L' U D B' D' F2
F' L' U D' B' D F2
F' L' U F D F B'
F' L' U F D B' F
F' L' U F D' F B'
F' L' U F D' B' F
F' L' U F D2 F B'
F' L' U F D2 B' F
F' L' U F B' D F
F' L' U F B' D' F
F' L' U F B' D2 F
F' L' U F' D F' B'
F' L' U F' D B' F'
F' L' U F' D' F' B'
F' L' U F' D' B' F'
F' L' U F' D2 F' B'
F' L' U F' D2 B' F'
F' L' U F' B' D F'
F' L' U F' B' D' F'
F' L' U F' B' D2 F'
F' L' U F2 R' B' R
F' L' U F2 R2 B' R2
F' L' U F2 D B' D
F' L' U F2 D B' D'
F' L' U F2 D B' D2
F' L' U F2 D' B' D
F' L' U F2 D' B' D'
F' L' U F2 D' B' D2
F' L' U F2 D2 B' D
F' L' U F2 D2 B' D'
F' L' U F2 D2 B' D2
F' L' U F2 B2 D B
F' L' U F2 B2 D' B
F' L' U F2 B2 D2 B
F2 L' U F' B L B2
F' L' U B' L' F2 L
F' L' U B' L2 F2 L2
F' L' U B' R F2 R'
F' L' U B' R2 F2 R2
F2 L' U B L F' B2
F2 L' U B L B2 F'
F' L' U B' F D F
F' L' U B' F D' F
F' L' U B' F D2 F
F' L' U B' F' D F'
F' L' U B' F' D' F'
F' L' U B' F' D2 F'
F2 L' U B F' L B2
F' L' U B2 F2 D B
F' L' U B2 F2 D' B
F' L' U B2 F2 D2 B
F' L' U' D2 B2 U2 B
F' L' U' F U2 F B'
F' L' U' F U2 B' F
F' L' U' F' U2 F' B'
F' L' U' F' U2 B' F'
F' L' U' B U2 F2 B2
F' L' U' B U2 B2 F2
F' L' U' B2 U2 F2 B
F' L' U' B2 U2 B F2
F' L' U2 R U' F2 B'
F' L' U2 R U' B' F2
F' L' U2 R' U' F2 B'
F' L' U2 R' U' B' F2
F' L' U2 R2 U' F2 B'
F' L' U2 R2 U' B' F2
F' L' D R2 U D B'
F' L' D R2 U D' B'
F' L' D R2 U D2 B'
F' L' D R2 U B' D
F' L' D R2 U B' D'
F' L' D R2 U B' D2
F' L' D R2 D U B'
F' L' D R2 D' U B'
F' L' D R2 D2 U B'
F' L' D U B' D' F2
F' L' D' U B' D F2
F' L' D2 U' B2 U2 B
F L' F2 R U F2 B'
F L' F2 R U B' F2
F L' F2 R' U F2 B'
F L' F2 R' U B' F2
F L' F2 R2 U F2 B'
F L' F2 R2 U B' F2
F L' F2 U F2 D B'
F L' F2 U F2 D' B'
F L' F2 U F2 D2 B'
F L' F2 U F2 B' D
F L' F2 U F2 B' D'
F L' F2 U F2 B' D2
F L' F2 U B' F2 D
F L' F2 U B' F2 D'
F L' F2 U B' F2 D2
F L' F2 D R2 U B'
F L' B' U' F2 B U
F L' B' U' B F2 U
F L' B2 D' L2 B R2
F L' B2 D' B L2 R2
F L' B2 D' B R2 L2
F' L2 U L B' L' F2
F' L2 U F2 L B' L'
F' L2 U2 L U' F2 B'
F' L2 U2 L U' B' F2
F L2 F2 L U F2 B'
F L2 F2 L U B' F2
F' R L U' F U2 F
F' R L' U F2 D B'
F' R L' U F2 D' B'
F' R L' U F2 D2 B'
F' R L' U F2 B' D
F' R L' U F2 B' D'
F' R L' U F2 B' D2
F' R L' U B' F2 D
F' R L' U B' F2 D'
F' R L' U B' F2 D2
F' R L' D R2 U B'
F R L' F2 U F2 B'
F R L' F2 U B' F2
U2 R U' L' B L F
U2 R U' D F B L
U2 R U' D B F L
U2 R U' D' F B L
U2 R U' D' B F L
U2 R U' D2 F B L
U2 R U' D2 B F L
U2 R U' F L B L
U2 R U' F L' B L
U2 R U' F L2 B L
U2 R U' F D B L
U2 R U' F D' B L
U2 R U' F D2 B L
U2 R U' F B L D
U2 R U' F B L D'
U2 R U' F B L D2
