F' U B2 U L' F'
F' U2 L' D' F' R2
F' U2 L' F' D' R2
F' U2 D' L' F' R2
F' D L2 U2 L F'
F' D L2 U2 F' L
F' D' U2 L' F' R2
F' L U B2 U L2 F'
F' L U B2 U F' L2
F' L U2 L2 D' F' R2
F' L U2 L2 F' D' R2
F' L U2 F' L2 D' R2
F' L F' L2 D' R2 B'
F' L F' L2 D' B' R2
F' L' D L2 U2 L2 F'
F' L' D L2 U2 F' L2
F' L' D' F R2 F2 B
F' L' D' F R2 B F2
D L2 U R2 U B L
F' L2 U2 L D' F' R2
F' L2 U2 L F' D' R2
F' L2 U2 D' L F' R2
F' L2 U2 D' F' L R2
F' L2 U2 D' F' R2 L
F' L2 U2 F' L D' R2
F' L2 U2 F' D' L R2
F' L2 U2 F' D' R2 L
F' L2 D L2 U2 L' F'
D L2 D F' B2 U2 L'
D L2 D B2 F' U2 L'
F2 L2 D' R2 D' B' L
F' L2 D' U2 L F' R2
F' L2 D' U2 F' L R2
F' L2 D' U2 F' R2 L
D L2 D' F' U2 L' F'
F2 L2 D2 B' L D R2
F2 L2 D2 B' D L R2
F2 L2 D2 B' D R2 L
D L2 F' U R2 U L'
D L2 F' U2 L' D' F2
D L2 F' U2 D' L' F2
D L2 F' D B2 U2 L'
D L2 F' D' U2 L' F2
F' R D L2 U2 L F
F R F2 U B2 U F'
F R F2 U2 D' F' R2
F R F2 U2 F' D' R2
F R F2 D L2 U2 F'
F R F2 D' U2 F' R2
R2 U2 F2 D' B L R2
R2 U2 F2 D' B R2 L
F' R2 U2 L' D' R2 F'
F' R2 U2 D' L' R2 F'
F' R2 U2 D' R2 L' F'
D' R2 D F' L' F' B
D' R2 D F' L' B F'
D' R2 D F' B L' F'
D' R2 D B F' L' F'
F' R2 D B L2 U2 L
F' R2 D' U2 L' R2 F'
R2 U2 B2 U F2 B' L
R2 U2 B2 U B' L F2
R2 U2 B2 U B' F2 L
F' R2 D' U2 R2 L' F'
F' R2 D' B U2 L' R2
F' R2 D' B U2 R2 L'
D' R2 F D F2 L' B
D' R2 F D F2 B L'
D' R2 F D B F2 L'
D' R2 F B D F2 L'
D' R2 F' D L' F2 B
D' R2 F' D L' B F2
D' R2 F' D B L' F2
B2 R2 F' U L' F' B
B2 R2 F' U L' B F'
B2 R2 F' U B L' F'
D' R2 F' B D L' F2
B R2 F' U' L' F' B
B R2 F' U' L' B F'
B R2 F' U' B L' F'
U2 R2 F2 D' B L R2
U2 R2 F2 D' B R2 L
F' R2 B U B U L'
D2 R2 B D R2 F' L'
D' R2 B D F' L' F'
D' R2 B F D F2 L'
D' R2 B F' D L' F2
U2 R2 B2 U F2 B' L
U2 R2 B2 U B' L F2
U2 R2 B2 U B' F2 L
B2 U F2 L2 D' B' L
F' U B2 U L F' L2
F' U B2 U L' D F'
F' U B2 U L' D' F'
F' U B2 U L' D2 F'
F' U B2 U L' F' D
F' U B2 U L' F' D'
F' U B2 U L' F' D2
F' U B2 U L2 F' L
F' U B2 U D L' F'
F' U B2 U D' L' F'
F' U B2 U D2 L' F'
U' D' L2 U' R2 B L
D' U' L2 U' R2 B L
F' U B2 D U L' F'
F' U B2 D' U L' F'
F' U B2 D2 U L' F'
U2 D' R2 D F2 B L
U2 D' R2 D B L F2
U2 D' R2 D B F2 L
U2 D' R2 B D L F2
U2 D' R2 B D F2 L
F2 U' B2 U' F U2 L'
D' U2 R2 D F2 B L
D' U2 R2 D B L F2
D' U2 R2 D B F2 L
D' U2 R2 B D L F2
D' U2 R2 B D F2 L
F' U2 L F' L2 D' R2
F' U2 L' R2 D' R2 F'
F' U2 L' U' B2 U F'
F' U2 L' D F' D2 R2
F' U2 L' D' F R2 F2
F' U2 L' D' F' R2 D
F' U2 L' D' F' R2 D'
F' U2 L' D' F' R2 D2
F' U2 L' D' F2 R2 F
F' U2 L' F' R D' R2
F' U2 L' F' R' D' R2
F' U2 L' F' R2 D' R2
F' U2 L' F' U' B2 U
F' U2 L' F' D' R2 D
F' U2 L' F' D' R2 D'
F' U2 L' F' D' R2 D2
F' U2 L' F2 D' R2 F
F' U2 L' F2 D' F R2
F' U2 L2 D' L F' R2
F' U2 L2 D' F' L R2
F' U2 L2 D' F' R2 L
F' U2 L2 F' L D' R2
F' U2 L2 F' D' L R2
F' U2 L2 F' D' R2 L
F' U2 R2 L' D' R2 F'
R2 D2 B D R2 F' L'
F' U2 R2 D' L' R2 F'
F' U2 R2 D' R2 L' F'
F' U2 D L' F2 R F
F' U2 D' L F' L2 R2
F' U2 D' L F' R2 L2
F' U2 D' L' F R2 F2
F' U2 D' L' F' R2 D
F' U2 D' L' F' R2 D'
F' U2 D' L' F' R2 D2
F' U2 D' L' F2 R2 F
F' U2 D' L2 F' L R2
F' U2 D' L2 F' R2 L
F' U2 D2 L' D F' R2
F2 U2 F U B2 U L'
F2 U2 F U2 L' D' R2
F2 U2 F U2 D' L' R2
F2 U2 F U2 D' R2 L'
F2 U2 F D L2 U2 L
F2 U2 F D' U2 L' R2
F2 U2 F D' U2 R2 L'
F' U2 B2 U L' F' B2
F' U2 B2 U L' B2 F'
F' U2 B2 U B2 L' F'
F' D L2 R U2 L F
F' D L2 U2 L D F'
F' D L2 U2 L D' F'
F' D L2 U2 L D2 F'
F' D L2 U2 L F' D
F' D L2 U2 L F' D'
F' D L2 U2 L F' D2
F' D L2 U2 L' F' L2
F' D L2 U2 D L F'
F' D L2 U2 D F' L
F' D L2 U2 D' L F'
F' D L2 U2 D' F' L
F' D L2 U2 D2 L F'
F' D L2 U2 D2 F' L
F' D L2 U2 F L F2
F' D L2 U2 F' L D
F' D L2 U2 F' L D'
F' D L2 U2 F' L D2
F' D L2 U2 F' D L
F' D L2 U2 F' D' L
F' D L2 U2 F' D2 L
F' D L2 D U2 L F'
F' D L2 D U2 F' L
F' D L2 D' U2 L F'
F' D L2 D' U2 F' L
F' D L2 D2 U2 L F'
F' D L2 D2 U2 F' L
F' D L2 B' U2 F' L'
F' D R L2 U2 L F
F' D R2 B L2 U2 L
B2 D R2 F' U L' B
B2 D R2 F' U B L'
F' D U2 L' F2 R F
R2 F' L' D' F' B R2
R2 F' L' D' B F' R2
R2 F' L' F' D' B R2
D F' L2 U R2 U L
D F' L2 U2 L D' F2
D F' L2 U2 D' L F2
D F' L2 U2 D' F2 L
D F' L2 D B2 R' U2
D F' L2 D' U2 L F2
D F' L2 D' U2 F2 L
F' D B L2 U2 L F'
F' D B L2 U2 F' L
F' D B' L2 U2 L F'
F' D B' L2 U2 F' L
F' D B2 L2 U2 L F'
F' D B2 L2 U2 F' L
L' F' U B2 U L' F'
D' F' U' L2 U' L R2
D' F' U' L2 U' R2 L
U2 F' U B2 U F' L'
L2 F' U B2 U L' F'
F' D' L U2 L2 F' R2
F' D' L U2 F' L2 R2
F' D' L U2 F' R2 L2
L' F' U2 L' D' F' R2
L' F' U2 L' F' D' R2
D' F' U2 R2 D L' F2
F' D' L F' L2 R2 B'
F' D' L F' L2 B' R2
F' D' L F' R2 L2 B'
L' F' U2 D' L' F' R2
L2 F' U2 L' D' F' R2
L2 F' U2 L' F' D' R2
L F' U B2 U L' F'
L2 F' U2 D' L' F' R2
U2 F' U2 D' F' L' R2
U2 F' U2 D' F' R2 L'
L' F' D L2 U2 L F'
L' F' D L2 U2 F' L
F' D' L' F R2 F2 B
F' D' L' F R2 B F2
U2 F' U2 F' L' D' R2
U2 F' U2 F' D' L' R2
U2 F' U2 F' D' R2 L'
D F' U2 L' D' F2 R
U2 F' D L2 U2 F' L'
L2 F' D L2 U2 L F'
L2 F' D L2 U2 F' L
F' D' L2 U2 L F' R2
L F' U2 L' D' F' R2
L F' U2 L' F' D' R2
F' D' L2 U2 F' L R2
F' D' L2 U2 F' R2 L
L F' U2 D' L' F' R2
L' F' D' U2 L' F' R2
L F' D L2 U2 L F'
L F' D L2 U2 F' L
R2 F' D' L' F' B R2
R2 F' D' L' B F' R2
L2 F' D' U2 L' F' R2
U2 F' D' U2 F' L' R2
U2 F' D' U2 F' R2 L'
R2 F' D' B L' F' R2
L F' D' U2 L' F' R2
F2 D' R2 D' L2 B' L
F D' R2 D' F B2 L
F D' R2 D' B2 F L
F D' R2 F D' B2 L
R2 F' B2 U B' L' F'
F' D' U2 L F' L2 R2
F' D' U2 L F' R2 L2
F' D' U2 L' F R2 F2
F' D' U2 L' F' R2 D
F' D' U2 L' F' R2 D'
F' D' U2 L' F' R2 D2
F' D' U2 L' F2 R2 F
F' D' U2 L2 F' L R2
F' D' U2 L2 F' R2 L
U F2 L2 D' R2 B' L
U F2 L2 D' B' L R2
U F2 L2 D' B' R2 L
F' D' B U2 L' F' R2
F' D' B' U2 L' F' R2
D2 F2 U F B2 U2 L'
D2 F2 U B2 F U2 L'
F' D' B2 U2 L' F' R2
F2 D2 L2 B' L D R2
F2 D2 L2 B' D L R2
F2 D2 L2 B' D R2 L
F' D2 U2 L' D F' R2
F D2 F2 U' L' F' B2
F D2 F2 U' L' B2 F'
F D2 F2 U' B2 L' F'
D2 B D R2 F' L' B
D2 B D R2 F' B L'
D2 B D R2 B F' L'
F' B U B U L' F'
B2 F U' R F2 U2 F'
B2 F U' F2 U2 L' F'
B' F' U B' U L' F'
F' B' U B' U L' F'
B' F' U2 L' D F' R
B F' U B U L' F'
F' B' U2 L' D F' R
U' B2 U' F' U2 F' L'
U B2 R2 U F2 B L
U B2 R2 U B L F2
U B2 R2 U B F2 L
U2 B2 U F2 L2 B' L
D2 B2 U2 D R2 B L
D2 B2 D U2 R2 B L
D2 B2 D F' U2 L' R2
D2 B2 D F' U2 R2 L'
U B2 U' F' U2 L' F'
D2 B2 D' L2 F' U2 L'
D2 B2 D' F' L2 U2 L
U B2 D R2 U B L
F B2 U' R F2 U2 F'
F B2 U' F2 U2 L' F'
R2 B2 F' U B' L' F'
