F2 L D' R2 B' L
F2 L D' B' L R2
F2 L D' B' R2 L
B2 L F' U F' B'
B2 L F' U B' F'
F' L B2 U F' B
F' L B2 U B F'
L F' B2 U F' B
L F' B2 U B F'
B2 F' L U F' B'
B2 F' L U B' F'
F' B2 L U F' B'
F' B2 L U B' F'
L B2 F' U F' B
L B2 F' U B F'
F2 L R D' R2 B' L
F2 L R D' B' L R2
F2 L R D' B' R2 L
F2 L R' D' R2 B' L
F2 L R' D' B' L R2
F2 L R' D' B' R2 L
F2 L R2 D' R2 B' L
F2 L R2 D' B' L R2
F2 L R2 D' B' R2 L
F' L U D' F' R2 B'
F' L U D' F' B' R2
F' L U D' B' F' R2
F' L U F' D' R2 B'
F' L U F' D' B' R2
B2 L D F' R2 U B'
F2 L D' R B' L R
F2 L D' R B' R L
F' L D' U F' R2 B'
F' L D' U F' B' R2
F' L D' U B' F' R2
F2 L D' R2 B' L D
F2 L D' R2 B' L D'
F2 L D' R2 B' L D2
F2 L D' R2 B' D L
F2 L D' R2 B' D' L
F2 L D' R2 B' D2 L
F2 L D' B' L R2 D
F2 L D' B' L R2 D'
F2 L D' B' L R2 D2
F2 L D' B' R2 L D
F2 L D' B' R2 L D'
F2 L D' B' R2 L D2
F2 L D' B' R2 D L
F2 L D' B' R2 D' L
F2 L D' B' R2 D2 L
B' L F' U F' B' R'
B' L F' U B' F' R'
B2 L F' U D F' B'
B2 L F' U D B' F'
B2 L F' U D' F' B'
B2 L F' U D' B' F'
B2 L F' U D2 F' B'
B2 L F' U D2 B' F'
B2 L F' U F' D B'
B2 L F' U F' D' B'
B2 L F' U F' D2 B'
B2 L F' U F' B' D
B2 L F' U F' B' D'
B2 L F' U F' B' D2
B2 L F' U B' D F'
B2 L F' U B' D' F'
B2 L F' U B' D2 F'
B2 L F' U B' F' D
B2 L F' U B' F' D'
B2 L F' U B' F' D2
B2 L F' D U F' B'
B2 L F' D U B' F'
B2 L F' D' U F' B'
B2 L F' D' U B' F'
B2 L F' D2 U F' B'
B2 L F' D2 U B' F'
U2 L F' B2 U F' B
U2 L F' B2 U B F'
U' L F' B2 U F' B
U' L F' B2 U B F'
B L F' B U F' B2
B L F' B U B2 F'
U L F' B2 U F' B
U L F' B2 U B F'
B L B F' U F' B2
B L B F' U B2 F'
F' L B2 L U F' B
F' L B2 L U B F'
F' L B2 L' U F' B
F' L B2 L' U B F'
F' L B2 L2 U F' B
F' L B2 L2 U B F'
F' L B2 U D F' B
F' L B2 U D B F'
F' L B2 U D' F' B
F' L B2 U D' B F'
F' L B2 U D2 F' B
F' L B2 U D2 B F'
F' L B2 U F' D B
F' L B2 U F' D' B
F' L B2 U F' D2 B
F' L B2 U F' B D
F' L B2 U F' B D'
F' L B2 U F' B D2
F' L B2 U B D F'
F' L B2 U B D' F'
F' L B2 U B D2 F'
F' L B2 U B F' D
F' L B2 U B F' D'
F' L B2 U B F' D2
F' L B2 D U F' B
F' L B2 D U B F'
F' L B2 D' U F' B
F' L B2 D' U B F'
F' L B2 D2 U F' B
F' L B2 D2 U B F'
U' L B2 F' U F' B
U' L B2 F' U B F'
U2 L B2 F' U F' B
U2 L B2 F' U B F'
U L B2 F' U F' B
U L B2 F' U B F'
B2 L' F' U D2 F' B2
B2 L' F' U D2 B2 F'
B2 L' F' U' F2 U2 F
B2 L' F' D' L2 U F'
B2 L' F' D2 U F' B2
B2 L' F' D2 U B2 F'
F' L' B2 L2 U F' B'
F' L' B2 L2 U B' F'
F' L' B2 U F' D2 B2
F' L' B2 U' F U2 F2
D' L2 R2 B R' U' R
B2 L2 F' L' U F' B'
B2 L2 F' L' U B' F'
F' L2 B2 L' U F' B'
F' L2 B2 L' U B' F'
F2 R L D' R2 B' L
F2 R L D' B' L R2
F2 R L D' B' R2 L
L U F' B2 U F' B
L U F' B2 U B F'
L U B2 F' U F' B
L U B2 F' U B F'
F2 R' L D' R2 B' L
F2 R' L D' B' L R2
F2 R' L D' B' R2 L
L2 U' F' L' B2 U F'
L2 U' F' B2 L' U F'
L U' F' B2 U F' B
L U' F' B2 U B F'
L2 U' B2 F' L' U F'
L U' B2 F' U F' B
L U' B2 F' U B F'
F2 R2 L D' R2 B' L
F2 R2 L D' B' L R2
F2 R2 L D' B' R2 L
D' R2 L2 B R' U' R
D' R2 U L2 B R' U'
D' R2 U B L2 R' U'
D' R2 U B R' L2 U'
L U2 F' B2 U F' B
L U2 F' B2 U B F'
L U2 B2 F' U F' B
L U2 B2 F' U B F'
D' R2 B L2 R' U' R
D' R2 B R' L2 U' R
R2 D' L2 B R' U' R'
B2 U F2 L D' B' L
L D' R2 B' D L2 F2
L D' R2 B' D F2 L2
R2 D' B L2 R' U' R'
R2 D' B R' L2 U' R'
F2 U' F L B2 U B
F2 U' F B2 L U B'
F2 U' B2 D F L' U
F2 U' B2 F L U B'
D F L' R2 F2 U R
D F L' F2 R2 U R'
D F R2 L' F2 U R
L' F U F2 B2 U F'
L' F U B2 F2 U F'
L' F U2 D' R2 F L2
L' F U2 D' F L2 R2
L' F U2 D' F R2 L2
L' F D L2 R2 B' U2
L' F D L2 B' R2 U2
L' F D R2 L2 B' U2
L' F D' U2 R2 F L2
L' F D' U2 F L2 R2
L' F D' U2 F R2 L2
L' F D' F L2 R2 B
L' F D' F R2 L2 B
L' F D' F R2 B L2
L F D' R2 F B' L2
L F D' R2 B' F L2
L F D' F R2 B' L2
L F D' F B' L2 R2
L F D' F B' R2 L2
L F D' B' R2 F L2
L F D' B' F L2 R2
L F D' B' F R2 L2
U' F' L B2 U F' B
U' F' L B2 U B F'
U2 F' L B2 U F' B
U2 F' L B2 U B F'
B2 D F L' R2 F2 U
B2 D F L' F2 R2 U
B2 D F R2 L' F2 U
L2 F' L' B2 U F' B
L2 F' L' B2 U B F'
U F' L B2 U F' B
U F' L B2 U B F'
B2 D F' R2 U2 R' U'
L' F' U F' D' R2 B
D F' R2 D' B2 L U
L F' U D' F' R2 B'
L F' U D' F' B' R2
L F' U D' B' F' R2
L F' U F' D' R2 B'
L F' U F' D' B' R2
L' F' D' L2 U F' R2
L F' D' U F' R2 B'
L F' D' U F' B' R2
L F' D' U B' F' R2
U' F' B2 L U F' B'
U' F' B2 L U B' F'
L' F' B2 U D2 F' B2
L' F' B2 U D2 B2 F'
L' F' B2 U' F2 U2 F
U2 F' B2 L U F' B'
U2 F' B2 L U B' F'
L2 F' B2 L' U F' B'
L' F' B2 D' L2 U F'
L2 F' B2 L' U B' F'
L' F' B2 D2 U F' B2
L' F' B2 D2 U B2 F'
U' F2 L D' R2 B' L
U' F2 L D' B' L R2
U' F2 L D' B' R2 L
U F' B2 L U F' B'
U F' B2 L U B' F'
L F' B2 L U F' B
L F' B2 L U B F'
U2 F2 L D' R2 B' L
L F' B2 L' U F' B
L F' B2 L' U B F'
U2 F2 L D' B' L R2
U2 F2 L D' B' R2 L
L F' B2 L2 U F' B
L F' B2 L2 U B F'
L F' B2 U D F' B
L F' B2 U D B F'
L F' B2 U D' F' B
L F' B2 U D' B F'
L F' B2 U D2 F' B
L F' B2 U D2 B F'
L F' B2 U F' D B
L F' B2 U F' D' B
L F' B2 U F' D2 B
L F' B2 U F' B D
L F' B2 U F' B D'
L F' B2 U F' B D2
L F' B2 U B D F'
L F' B2 U B D' F'
L F' B2 U B D2 F'
L F' B2 U B F' D
L F' B2 U B F' D'
L F' B2 U B F' D2
L F' B2 D U F' B
L F' B2 D U B F'
L F' B2 D' U F' B
L F' B2 D' U B F'
L F' B2 D2 U F' B
L F' B2 D2 U B F'
U F2 L D' R2 B' L
U F2 L D' B' L R2
U F2 L D' B' R2 L
F' D' B' L U F' R2
L F2 U' F B2 U B
L F2 U' B2 F U B
L F2 B' U' F B' U
L F2 B' U' B' F U
F' B L B U F' B2
F' B L B U B2 F'
B' F' L U F' B' R'
B' F' L U B' F' R'
F' B' L U F' B' R'
F' B' L U B' F' R'
B2 F' L U D F' B'
B2 F' L U D B' F'
B2 F' L U D' F' B'
B2 F' L U D' B' F'
B2 F' L U D2 F' B'
B2 F' L U D2 B' F'
B2 F' L U F' D B'
B2 F' L U F' D' B'
B2 F' L U F' D2 B'
B2 F' L U F' B' D
B2 F' L U F' B' D'
B2 F' L U F' B' D2
B2 F' L U B' D F'
B2 F' L U B' D' F'
B2 F' L U B' D2 F'
B2 F' L U B' F' D
B2 F' L U B' F' D'
B2 F' L U B' F' D2
B2 F' L D U F' B'
B2 F' L D U B' F'
B2 F' L D' U F' B'
B2 F' L D' U B' F'
B2 F' L D2 U F' B'
B2 F' L D2 U B' F'
B2 F' L' U F' D2 B2
B2 F' L' U' F U2 F2
B F' L B U F' B2
B F' L B U B2 F'
L B' U' F' B' U F'
L B' U' B' F' U F'
B2 F' U L B' L' F'
B2 F' U F' L B' L'
B2 F' U2 L U' F' B'
B2 F' U2 L U' B' F'
U' B2 L F' U F' B'
U' B2 L F' U B' F'
B' F' D' B' L U F'
U2 B2 L F' U F' B'
U2 B2 L F' U B' F'
F' B' D' B' L U F'
L B' F2 U' F B' U
L B' F2 U' B' F U
L2 B2 L' F' U F' B'
L2 B2 L' F' U B' F'
L' B2 L2 F' U F' B'
L' B2 L2 F' U B' F'
L B2 L F' U F' B
L B2 L F' U B F'
U B2 L F' U F' B'
F' B2 L U D F' B'
U B2 L F' U B' F'
F' B2 L U D B' F'
F' B2 L U D' F' B'
F' B2 L U D' B' F'
F' B2 L U D2 F' B'
F' B2 L U D2 B' F'
F' B2 L U F' D B'
F' B2 L U F' D' B'
F' B2 L U F' D2 B'
F' B2 L U F' B' D
F' B2 L U F' B' D'
F' B2 L U F' B' D2
F' B2 L U B' D F'
F' B2 L U B' D' F'
F' B2 L U B' D2 F'
F' B2 L U B' F' D
F' B2 L U B' F' D'
F' B2 L U B' F' D2
F' B2 L D U F' B'
F' B2 L D U B' F'
F' B2 L D' U F' B'
F' B2 L D' U B' F'
F' B2 L D2 U F' B'
F' B2 L D2 U B' F'
L B2 L' F' U F' B
L B2 L' F' U B F'
F' B2 L' U F' D2 B2
F' B2 L' U' F U2 F2
L B2 L2 F' U F' B
L B2 L2 F' U B F'
F' B2 U L B' L' F'
F' B2 U F' L B' L'
F' B2 U2 L U' F' B'
F' B2 U2 L U' B' F'
U' B2 F' L U F' B'
U' B2 F' L U B' F'
B2 F2 D F L' U F'
F2 B2 D F L' U F'
L' B2 F' U D2 F' B2
L' B2 F' U D2 B2 F'
L' B2 F' U' F2 U2 F
L' B2 F' D' L2 U F'
L2 B2 F' L' U F' B'
U2 B2 F' L U F' B'
L2 B2 F' L' U B' F'
U2 B2 F' L U B' F'
L' B2 F' D2 U F' B2
L' B2 F' D2 U B2 F'
L B2 F' L U F' B
L B2 F' L U B F'
L B2 F' L' U F' B
L B2 F' L' U B F'
U B2 F' L U F' B'
U B2 F' L U B' F'
L B2 F' L2 U F' B
L B2 F' L2 U B F'
L B2 F' U D F' B
L B2 F' U D B F'
L B2 F' U D' F' B
L B2 F' U D' B F'
L B2 F' U D2 F' B
L B2 F' U D2 B F'
L B2 F' U F' D B
L B2 F' U F' D' B
L B2 F' U F' D2 B
L B2 F' U F' B D
L B2 F' U F' B D'
L B2 F' U F' B D2
L B2 F' U B D F'
L B2 F' U B D' F'
L B2 F' U B D2 F'
L B2 F' U B F' D
L B2 F' U B F' D'
L B2 F' U B F' D2
L B2 F' D U F' B
L B2 F' D U B F'
L B2 F' D' U F' B
L B2 F' D' U B F'
L B2 F' D2 U F' B
L B2 F' D2 U B F'
