B L U' F U' B2
B L' U B' U B'
U2 R2 D' F' R B'
U2 R2 D' F' B' R
U2 R2 D' B' F' R
U2 R2 B' D' F' R
L2 D F L' B U2
L2 D F B L' U2
L2 D B F L' U2
B U B' U R' B'
L2 D' F B U2 R'
L2 D' B F U2 R'
B U' F U' R B2
B U' F U' B2 R
L2 F D' B U2 R'
L B U' F R U'
L2 B D F L' U2
B L U L2 B' U B'
B L U D L2 B' U
B L U' R F U' B2
B L U' R' F U' B2
B L U' R2 F U' B2
B L U' D' R2 F U'
B L U' D' F R2 U'
B L U' F R U' B2
B L U' F R' U' B2
B L U' F R2 U' B2
B L U' F U' B2 D
B L U' F U' B2 D'
B L U' F U' B2 D2
B L U' F D' R2 U'
B L U2 B2 U F U'
B L D U L2 B' U
B L D' U' R2 F U'
B L D' U' F R2 U'
B L D2 F2 U' F' U'
B L F U2 B2 D' R2
B L F' U' F2 U' B2
B L F' U2 B2 D R2
B L F2 U' F' U' B2
D2 L B U' F R U'
D' L B U' F R U'
F' L B U' F R U'
F2 L B U' F R U'
D L B U' F R U'
F L B U' F R U'
B' L B2 U' F U' B2
B L' U D B' L2 U
B L' U B' U D B'
B L' U B' U D' B'
B L' U B' U D2 B'
B L' U B' U B' D
B L' U B' U B' D'
B L' U B' U B' D2
B L' U B' D U B'
B L' U B' D' U B'
B L' U B' D2 U B'
B L' U2 B D' B R2
B L' U2 B2 U' B U
B L' D U B' L2 U
B L' D2 F2 U B' U
B L' F U B' U B'
B L' F' U B' U B'
B L' F2 U B' U B'
B' L' B2 U B U B
B L2 U L B' U B'
B2 L2 U2 D' F B R'
B2 L2 U2 D' B R' F
B2 L2 U2 D' B F R'
B2 L2 U2 F D' B R'
B L2 U2 B D' B R'
D2 L2 D F L' B U2
D' L2 D F L' B U2
D2 L2 D F B L' U2
D' L2 D F B L' U2
F' L2 D F L' B U2
F' L2 D F B L' U2
F2 L2 D F L' B U2
D2 L2 D B F L' U2
D' L2 D B F L' U2
F2 L2 D F B L' U2
F' L2 D B F L' U2
D L2 D F L' B U2
D L2 D F B L' U2
F2 L2 D B F L' U2
F L2 D F L' B U2
F L2 D F B L' U2
D L2 D B F L' U2
F L2 D B F L' U2
D2 L2 D' F B U2 R'
D' L2 D' F B U2 R'
F' L2 D' F B U2 R'
B2 L2 D' U2 F B R'
B2 L2 D' U2 B R' F
B2 L2 D' U2 B F R'
D2 L2 D' B F U2 R'
D' L2 D' B F U2 R'
F2 L2 D' F B U2 R'
F' L2 D' B F U2 R'
D L2 D' F B U2 R'
