R2 U F' U' L' F U2
L U' D B U' R' B2
L2 U' F B R F' U'
U2 R' U' B U L B'
L U' B R F' U' B2
L2 U' B F R F' U'
L D U' B U' R' B2
L' D F U' B U' R'
U' D F' B R U' R2
U' D B U' D R' B
U' D B D U' R' B
U' D B F' R U' R2
L' D' F L' U' B U'
U' D' F' B R' U' R2
D' U' F' B R' U' R2
D U' F' B R U' R2
D' U' B R' F' U' R
U' D' B R' F' U' R
U' D' B F' R' U' R2
D' U' B F' R' U' R2
D U' B U' D R' B
D U' B D U' R' B
D U' B F' R U' R2
D' F L' U' B R' U'
L' F U' D B U' R'
L' F D U' B U' R'
D' F' U' B R' U' R2
D F' U' B R U' R2
D' F2 U' B R' F' U'
U' B R D F' R U'
