F' L R' U' L
F' R' L U' L
L F' R' U' L
F' L R' U' L D
F' L R' U' L D'
F' L R' U' L D2
F' L R' U' D L
F' L R' U' D' L
F' L R' U' D2 L
F' L R' D U' L
F' L R' D' U' L
F' L R' D2 U' L
F L R' F2 U' L
F' L D R' U' L
F' L D' R' U' L
F' L D2 R' U' L
D' L F' R' B2 U'
U' L F' R' U' L
U2 L F' R' U' L
U L F' R' U' L
F L F2 R' U' L
L2 U L' F' R' U'
F' R' L U' L D
F' R' L U' L D'
F' R' L U' L D2
F' R' L U' D L
F' R' L U' D' L
F' R' L U' D2 L
F' R' L D U' L
F' R' L D' U' L
F' R' L D2 U' L
F R' L F2 U' L
F' R' D' L B2 U'
F2 R' F L U' L
F R' F2 L U' L
L D F' R' U' L
L D' F' R' U' L
L D2 F' R' U' L
L F R' F2 U' L
U' F' L R' U' L
U2 F' L R' U' L
D' F' L R' B2 U'
U F' L R' U' L
U' F' R' L U' L
U2 F' R' L U' L
D' F' R' L B2 U'
L F' R' U' L D
L F' R' U' L D'
L F' R' U' L D2
L F' R' U' D L
L F' R' U' D' L
L F' R' U' D2 L
L F' R' D U' L
L F' R' D' U' L
L F' R' D2 U' L
U F' R' L U' L
F' D' L R' B2 U'
L F' D R' U' L
F' D' R' L B2 U'
L F' D' R' U' L
L F' D2 R' U' L
L F2 R' F U' L
F' L R U' L D B2
F' L R U' D L B2
F' L R D U' L B2
F L R F2 R2 U' L
F' L R' U R U2 L
F' L R' U R' U2 L
F' L R' U R2 U2 L
F' L R' U' L2 D L'
F' L R' U' L2 D' L'
F' L R' U' L2 D2 L'
F' L R' U' D L D
F' L R' U' D L D'
F' L R' U' D L D2
F' L R' U' D' L D
F' L R' U' D' L D'
F' L R' U' D' L D2
F' L R' U' D2 L D
F' L R' U' D2 L D'
F' L R' U' D2 L D2
F' L R' U' F L F'
F' L R' U' F2 L F2
F' L R' U2 F U L
F' L R' U2 F' U L
F' L R' U2 F2 U L
F' L R' D U' L D
F' L R' D U' L D'
F' L R' D U' L D2
F L R' U' L D R2
F L R' U' D L R2
F L R' U' D R2 L
F' L R' D' U' L D
F' L R' D' U' L D'
F' L R' D' U' L D2
F' L R' D2 U' L D
F' L R' D2 U' L D'
F' L R' D2 U' L D2
F L R' D U' L R2
F L R' D U' R2 L
F L R' F2 U' L D
F L R' F2 U' L D'
F L R' F2 U' L D2
F L R' F2 U' D L
F L R' F2 U' D' L
F L R' F2 U' D2 L
F L R' F2 D U' L
F L R' F2 D' U' L
F' L R' B2 U R' U2
F L R' F2 D2 U' L
F' L R2 D R U' L
F' L R2 D' R U' L
F' L R2 D2 R U' L
F' L U' L U R' U'
R' L D' F' U' L R
R' L D' F' U' R L
F' L D R' U' L D
F' L D R' U' L D'
F' L D R' U' L D2
F' L D R' U' D L
F' L D R' U' D' L
F' L D R' U' D2 L
F' L D R' D U' L
F' L D R' D' U' L
F' L D R' D2 U' L
F L D R' U' L R'
F L D R' U' R' L
D2 L D F' R' B2 U'
D' L D F' R' U' L2
U' L D F' R' U' L
U2 L D F' R' U' L
U L D F' R' U' L
F' L D' R' U' L D
F' L D' R' U' L D'
F' L D' R' U' L D2
F' L D' R' U' D L
F' L D' R' U' D' L
F' L D' R' U' D2 L
F' L D' R' D U' L
F' L D' R' D' U' L
F' L D' R' D2 U' L
U' L D' F' R' U' L
U2 L D' F' R' U' L
D L D' F' R' U' L2
U L D' F' R' U' L
F' L D2 R' U' L D
F' L D2 R' U' L D'
F' L D2 R' U' L D2
F' L D2 R' U' D L
F' L D2 R' U' D' L
F' L D2 R' U' D2 L
F' L D2 R' D U' L
F' L D2 R' D' U' L
F' L D2 R' D2 U' L
D2 L D2 F' R' U' L2
U' L D2 F' R' U' L
U2 L D2 F' R' U' L
D L D2 F' R' B2 U'
U L D2 F' R' U' L
D' L F R' F2 B2 U'
D' L F R' B2 F2 U'
