R' U' R2 F' U'
R' L U' R2 F' U'
R' L' U' R2 F' U'
L' R' U' R2 F' U'
L R' U' R2 F' U'
L2 R' U' R2 F' U'
R' L2 U' R2 F' U'
R' U D B U B
R' U D2 L2 B U
R' U D2 B L2 U
R' U B U D B2
R' U B U2 R2 U'
R' U B D U B2
R' U B D2 L2 U
U' R D F' B2 U'
U' R D B2 F' U'
U' R D2 F' U' L2
U' R F' U R2 U2
U' R F' U' D2 L2
U' R F' D B2 U'
U' R F' D2 U' L2
R' U' R2 D F' U'
R' U' R2 D' F' U'
R' U' R2 D2 F' U'
R' U' R2 F' U' D
R' U' R2 F' U' D'
R' U' R2 F' U' D2
R' U' R2 F' D U'
R' U' R2 F' D' U'
R' U' R2 F' D2 U'
R' U' F R2 F' U'
R' U' F' R2 F' U'
R' U' F2 R2 F' U'
F2 R' U L' B U
F2 R' U B L' U
R' D U B U B
R' D' F2 U B U
R' D2 U L2 B U
R' D2 U B L2 U
R' F U' R2 F' U'
F D R' U2 B R'
R' F' U' R2 F' U'
R' F2 U' R2 F' U'
U' B2 R F' U' L
R' L U D B U B
R' L U D2 L2 B U
R' L U D2 B L2 U
R' L U B U D B2
R' L U B U2 R2 U'
R' L U B D U B2
R' L U B D2 L2 U
F2 L R' U L2 B U
F2 L R' U B L2 U
R' L U' R2 D F' U'
R' L U' R2 D' F' U'
R' L U' R2 D2 F' U'
R' L U' R2 F' U' D
R' L U' R2 F' U' D'
R' L U' R2 F' U' D2
R' L U' R2 F' D U'
R' L U' R2 F' D' U'
R' L U' R2 F' D2 U'
R' L U' F R2 F' U'
R' L U' F' R2 F' U'
R' L U' F2 R2 F' U'
R' L D U B U B
R' L D' F2 U B U
R' L D2 U L2 B U
R' L D2 U B L2 U
F L D R' U2 B R'
R' L F U' R2 F' U'
R' L F' U' R2 F' U'
R' L F2 U' R2 F' U'
L' R' U D B U B
R' L' U D B U B
L' R' U D2 L2 B U
R' L' U D2 L2 B U
L' R' U D2 B L2 U
R' L' U D2 B L2 U
L R' U D B U B
L2 R' U D B U B
L R' U D2 L2 B U
L2 R' U D2 L2 B U
L R' U D2 B L2 U
L2 R' U D2 B L2 U
L' R' U B U D B2
L' R' U B U2 R2 U'
R' L' U B U D B2
L' R' U B D U B2
R' L' U B U2 R2 U'
L' R' U B D2 L2 U
R' L' U B D U B2
R' L' U B D2 L2 U
L R' U B U D B2
L R' U B U2 R2 U'
L R' U B D U B2
L R' U B D2 L2 U
L2 R' U B U D B2
L2 R' U B U2 R2 U'
L2 R' U B D U B2
L2 R' U B D2 L2 U
R' L' U' R2 D F' U'
R' L' U' R2 D' F' U'
R' L' U' R2 D2 F' U'
L' R' U' R2 D F' U'
L' R' U' R2 D' F' U'
R' L' U' R2 F' U' D
R' L' U' R2 F' U' D'
R' L' U' R2 F' U' D2
R' L' U' R2 F' D U'
R' L' U' R2 F' D' U'
R' L' U' R2 F' D2 U'
L' R' U' R2 D2 F' U'
L' R' U' R2 F' U' D
L' R' U' R2 F' U' D'
L' R' U' R2 F' U' D2
L' R' U' R2 F' D U'
L' R' U' R2 F' D' U'
L' R' U' R2 F' D2 U'
L R' U' R2 D F' U'
L R' U' R2 D' F' U'
L R' U' R2 D2 F' U'
L R' U' R2 F' U' D
L R' U' R2 F' U' D'
L R' U' R2 F' U' D2
L R' U' R2 F' D U'
L R' U' R2 F' D' U'
L R' U' R2 F' D2 U'
R' L' U' F R2 F' U'
L2 R' U' R2 D F' U'
L2 R' U' R2 D' F' U'
L2 R' U' R2 D2 F' U'
L' R' U' F R2 F' U'
L2 R' U' R2 F' U' D
L2 R' U' R2 F' U' D'
L2 R' U' R2 F' U' D2
L2 R' U' R2 F' D U'
L2 R' U' R2 F' D' U'
L2 R' U' R2 F' D2 U'
R' L' U' F' R2 F' U'
L' R' U' F' R2 F' U'
R' L' U' F2 R2 F' U'
L' R' U' F2 R2 F' U'
L R' U' F R2 F' U'
L2 R' U' F R2 F' U'
L R' U' F' R2 F' U'
L2 R' U' F' R2 F' U'
L R' U' F2 R2 F' U'
L2 R' U' F2 R2 F' U'
R' L' D U B U B
L' R' D U B U B
D2 L' R' U' R2 F U'
D2 L' R' U' F R2 U'
F2 L' R' U B U B'
L R' D U B U B
L2 R' D U B U B
R' L' D' F2 U B U
L' R' D' F2 U B U
L R' D' F2 U B U
L2 R' D' F2 U B U
R' L' D2 U L2 B U
R' L' D2 U B L2 U
L' R' D2 U L2 B U
L' R' D2 U B L2 U
L R' D2 U L2 B U
L2 R' D2 U L2 B U
L2 R' D2 U B L2 U
L R' D2 U B L2 U
R' L' F U' R2 F' U'
L' R' F U' R2 F' U'
L2 R' F U' R2 F' U'
L R' F U' R2 F' U'
R' L' F' U' R2 F' U'
L' R' F' U' R2 F' U'
L2 R' F' U' R2 F' U'
L R' F' U' R2 F' U'
R' L' F2 U' R2 F' U'
L' R' F2 U' R2 F' U'
F L' D R' U2 B R'
L2 R' F2 U' R2 F' U'
L R' F2 U' R2 F' U'
R' L2 U D B U B
R' L2 U D2 L2 B U
R' L2 U D2 B L2 U
R' L2 U B U D B2
R' L2 U B U2 R2 U'
R' L2 U B D U B2
R' L2 U B D2 L2 U
R' L2 U' R2 D F' U'
R' L2 U' R2 D' F' U'
R' L2 U' R2 D2 F' U'
R' L2 U' R2 F' U' D
R' L2 U' R2 F' U' D'
R' L2 U' R2 F' U' D2
R' L2 U' R2 F' D U'
R' L2 U' R2 F' D' U'
R' L2 U' R2 F' D2 U'
R' L2 U' F R2 F' U'
R' L2 U' F' R2 F' U'
R' L2 U' F2 R2 F' U'
R' L2 D U B U B
R' L2 D' F2 U B U
R' L2 D2 U L2 B U
R' L2 D2 U B L2 U
F2 L2 R' U L B U
R' L2 F U' R2 F' U'
R' L2 F' U' R2 F' U'
R' L2 F2 U' R2 F' U'
