U2 L B' U D2 L B'
U2 L B' D2 U L B'
U2 L2 U B' L R' B
U2 L2 U B' R' L B
B' R' U' L B D' R2
B' R' U' D' L B R'
B' R' D' U' L B R'
R' U2 L B' U L B2
D' R' F' B R U' R2
D' R' B U' D R' B
D' R' B D U' R' B
D' R' B F' R U' R2
D' R2 F' R B U' R'
B U R' U2 D' B R'
B U R' D' U2 B R'
R D' R' B U' R' B
R D' R2 U' B L R'
R D' R2 U' B R' L
B' U' L R' B D' R2
B' U' R' L B D' R2
B' U' R' D' L B R'
L' D2 F L U' B' L2
D' F' R' B R2 U' R
B' D2 R F' U' L B'
B' D2 R2 U' L B' R'
D B D2 R' B U' R'
U' B' L R' B D' R2
U' B' R' L B D' R2
U' B' R' D' L B R'
U' B2 R' D' B L R'
U' B2 R' D' B R' L
