F2 L' B R2 U L2
R2 U2 F' R' U' L
R2 L U F' R' U' F
F2 L U' L2 B R2 U
F2 L U' B L2 R2 U
F2 L U' B R2 L2 U
D' L F2 U' L' B U
D' L F2 U' B L' U
F2 L B L2 R2 U L2
F2 L B R2 L2 U L2
F2 L B' D' R2 F2 B2
F2 L B' D' R2 B2 F2
F2 L B' D' F2 R2 B2
F2 L B' D' F2 B2 R2
F2 L B' D' B2 R2 F2
F2 L B' D' B2 F2 R2
R2 L' U2 F' R' U' L2
F2 L' R2 U2 F' U' L2
F2 L' F B R2 U L2
L R2 U F' R' U' F
F2 L' F' B R2 U L2
F2 L' F2 B R2 U L2
F2 L' B R2 U L2 D
F2 L' B R2 U L2 D'
F2 L' B R2 U L2 D2
F2 L' B R2 D F2 U
F2 L' B R2 F U L2
F2 L' B R2 F' U L2
L' R2 U2 F' R' U' L2
F2 L' B R2 F2 U L2
F2 L' B U L2 D' F2
F2 L' B F R2 U L2
F2 L' B F' R2 U L2
F2 L' B F2 R2 U L2
F2 L' B' R2 B2 U L2
F2 L' B2 R2 B' U L2
R2 U L U F' R' U'
F' L2 B R2 U L' B'
R2 U F' R' U' F L
L U' R2 U2 F' R' U'
L U' B R2 U2 R' U'
L U' B' R2 B2 L U
R U2 R U2 F' U' L
R2 U2 D F' R' U' L
R2 U2 D' F' R' U' L
R2 U2 D2 F' R' U' L
F2 R2 L' U2 F' U' L2
R2 U2 F R' F2 U' L
R2 U2 F' R' U' L D
R2 U2 F' R' U' L D'
R2 U2 F' R' U' L D2
R2 U2 F' R' U' D L
R2 U2 F' R' U' D' L
R2 U2 F' R' U' D2 L
R2 U2 F' R' D U' L
R2 U2 F' R' D' U' L
R2 U2 F' R' D2 U' L
R2 U2 F' D R' U' L
R2 U2 F' D' R' U' L
R2 U2 F' D2 R' U' L
R2 U2 F2 R' F U' L
B R2 U B' D L B'
U' R2 U2 F' R' U' L
B R2 U2 R' B' U' L
U2 R2 U2 F' R' U' L
B R2 U2 D' R' B U'
F R2 U2 F' R U' L
U R2 U2 F' R' U' L
B R2 D' U2 R' B U'
D2 R2 F' L2 R' U' L'
D2 R2 F' R' L2 U' L'
R2 D U2 F' R' U' L
F2 U L' B R2 U L2
R2 D' U2 F' R' U' L
F2 U' L' B R2 U L2
L D' F2 U' L' B U
L D' F2 U' B L' U
B' U' R2 B2 L F U
R2 D2 U2 F' R' U' L
F2 U2 L' B R2 U L2
R D2 F2 L' F U' L2
R2 F R' F2 L' U' L2
R2 F U2 R' F2 U' L
R2 F U2 F2 R' U' L
R2 F' R' U2 R U L
F2 D' L' B U L2 F2
F2 D' L' B U F2 L2
F D' L F2 B' D' R2
F D' L B' F2 D' R2
D' F2 L U' L2 B U
D' F2 L U' B L2 U
D' F2 L B' D' R2 B2
D' F2 L B' D' B2 R2
U' F2 L' B R2 U L2
L' F2 L' B R2 U L'
U2 F2 L' B R2 U L2
U F2 L' B R2 U L2
F D' F2 L B' D' R2
D' F2 U' L' B U L2
L F2 U' L' B R2 U
R2 F2 U2 R' F U' L
R2 F2 U2 F R' U' L
L F2 U' B L' R2 U
L F2 U' B R2 L' U
L' F2 B L' R2 U L'
L' F2 B R2 L' U L'
R F2 D2 L' F U' L2
L F2 B L' R2 U L
L F2 B R2 L' U L
L' B R2 U2 R' U' L2
L2 B R2 U2 R' U' L'
F' B R2 U L' B' L
F2 B R2 D L' F U
L' B F2 L' R2 U L'
L' B F2 R2 L' U L'
L B F2 L' R2 U L
L B F2 R2 L' U L
L' B' R2 B2 L U L
L2 B' R2 B2 L U L2
L B' R2 B2 L U L'
L B' U' R2 B2 L U
B F' R2 U L' B' L
B F2 R2 D L' F U
