B' D' L2 F R B
U2 L' B' R' D' L2 F
U2 L' B' D' L2 R' F
U2 L' B' D' L2 F R'
U2 L' B' D' R' L2 F
F' L' B2 U F' L' U
D' L2 D' F R F B
D' L2 D' F R B F
B' L2 D' F L2 R B
B' L2 D' F R L2 B
B' L2 D' F R B L2
D' L2 F D' R F2 B
D' L2 F D' R B F2
D' L2 F' D' F2 R B
F2 R U D2 F2 B R'
F2 R U D2 B R' F2
F2 R U D2 B F2 R'
F2 R U B R2 F' R
B2 R D R2 F' L' U2
B' R D' L2 F B R
B' R D' L2 B F R
B2 R D' B L2 F R
F2 R D2 U F2 B R'
F2 R D2 U B R' F2
F2 R D2 U B F2 R'
B2 R B D' L2 F R
F2 R' U' F' B2 U2 R
F2 R' U' B2 F' U2 R
B2 R' D F' L' R2 U2
B2 R' D F' R2 L' U2
B2 R' D' F' L' U2 L'
B2 R' F' L' U F' U
B2 U F' L' F' B' U
B2 U F' L' B' F' U
B2 U2 L D' L2 B' R'
B2 U2 L' D' B' L2 R'
B2 U2 L' D' B' R' L2
B2 U2 L' B' R' D' L2
B2 U2 L' B' D' L2 R'
B2 U2 L' B' D' R' L2
B2 U2 D' L' B' L' R'
B2 U2 D' L' B' R' L'
D' F L2 D' R F2 B
D' F L2 D' R B F2
D2 F R D F L2 B
D2 F R D F B L2
D2 F R D B F L2
D2 F R F D L2 B
D2 F R F D B L2
D F R D F2 L' B
D F R D F2 B L'
D F R D B F2 L'
D F R B D F2 L'
D' F R2 U L2 R' B
D' F R2 U R' L2 B
D' F R2 U R' B L2
D2 F D R F L2 B
D2 F D R F B L2
D2 F D R B F L2
B2 D R' F' L' R' U2
B2 D R' F' R' L' U2
B2 D R2 U2 B' R' B
R' F' L' B2 U F' U
B2 D F R2 U2 R' B
B2 D' L' U2 L' B' R'
B' D' L2 R F B R
B' D' L2 R B F R
B' D' L2 D F R B
B' D' L2 D' F R B
B' D' L2 D2 F R B
B' D' L2 F R D B
B' D' L2 F R D' B
B' D' L2 F R D2 B
B' D' L2 F R B D
B' D' L2 F R B D'
B' D' L2 F R B D2
B' D' L2 F D R B
B' D' L2 F D' R B
B' D' L2 F D2 R B
B' D' L2 F B R B
B' D' L2 F B' R B
B' D' L2 F B2 R B
B' D' L2 B F R B
B' D' L2 B' F R B
B' D' L2 B2 F R B
B' D' R L2 F B R
B' D' R L2 B F R
B2 D' R B L2 F R
B2 D' R' F' L' U2 L'
R' F' B2 L' U F' U
F D' R2 F U R' B
B2 D' U2 L' B' L' R'
B2 D' U2 L' B' R' L'
B' D' F L2 R F B
B' D' F L2 R B F
B' D' F R L2 F B
B' D' F R L2 B F
B2 D' F R B L2 F
B2 D' F' L' U2 L' B'
B2 D' B L2 F R B
R' F2 U' F L' B2 U2
R' F2 U' F B2 L' U2
R' F2 U' B2 F L' U2
B D' B2 L2 F R B
R F2 U D2 F2 B R'
R F2 U D2 B R' F2
R F2 U D2 B F2 R'
R F2 U B R2 F' R
F2 D2 R U F2 B R'
F2 D2 R U B R' F2
F2 D2 R U B F2 R'
R F2 D2 U F2 B R'
R F2 D2 U B R' F2
R F2 D2 U B F2 R'
B2 F' L' U F' L' U
L' B' D' L2 F R B
L2 B' D' L2 F R B
L B' D' L2 F R B
F' B2 L' U F' L' U
R' B2 D F' L' R2 U2
R' B2 D F' R2 L' U2
R B2 U F2 U B' R'
R' B2 D' F' L' U2 L'
R B2 U2 D' B' L2 R'
R B2 U2 D' B' R' L2
R B2 U2 B' R' D' L2
R B2 U2 B' D' L2 R'
R B2 U2 B' D' R' L2
R B2 D R2 U2 B' R'
R' B2 F' L' U F' U
R B2 D' U2 B' L2 R'
R B2 D' U2 B' R' L2
