B2 L B U' R' U' L'
R2 L2 U R F L2 B
L2 R2 U R F L2 B
R2 L2 U R F B L2
L2 R2 U R F B L2
R2 L2 U R B F L2
L2 R2 U R B F L2
U L2 R U' F B R2
U L2 R U' B R2 F
U L2 R U' B F R2
U' L2 U D2 R' F B
U' L2 U D2 R' B F
U' L2 U D2 F R' B
U' L2 U F D2 R' B
U' L2 D2 U R' F B
U' L2 D2 U R' B F
U' L2 D2 U F R' B
R' U L2 R U' F B
R' U L2 R U' B F
R' U R L2 U' F B
R' U R L2 U' B F
R' U R U B' U2 B2
R' U R U' B D2 F2
L2 U R F L2 B R2
L2 U R F B L2 R2
L2 U R F B R2 L2
R' U R' U F' B' U2
R' U R' U B' F' U2
L2 U R B R2 F L2
L2 U R B F L2 R2
L2 U R B F R2 L2
L2 U R' F L2 D2 B2
L2 U R' F2 L2 F' B'
L2 U R' F2 L2 B' F'
L2 U F L2 R B R2
L2 U F R L2 B R2
L2 U F R B L2 R2
L2 U F R B R2 L2
U R L2 U' F B R2
U R L2 U' B R2 F
U R L2 U' B F R2
L2 U F' R' F2 L2 B'
U R U B' U2 R2 B2
U R U B' U2 B2 R2
U R U' B R2 D2 F2
U R U' B2 R2 F' B'
U R U' B2 R2 B' F'
L' U' L' R' F B' L2
L' U' L' R' B' F L2
L' U' L' F R' B' L2
L' U' R' L' F B' L2
L' U' R' L' B' F L2
L2 U' R' F L' B' L'
L2 U' F L' R' B' L'
L2 U' F L2 D2 R' B
L2 U' F R' L' B' L'
B2 R' D' B2 R' F' B
B2 R' D' B2 R' B F'
L2 U2 F L2 R' D B2
R' U2 F B' U' R U'
L2 U2 F R' L2 D B2
R' U2 F' B' U L' U
R' U2 B' U L' U B'
R' U2 B' U' R U' B
R' U2 B' F U' R U'
R' U2 B' F' U L' U
B2 R2 D' F' B2 R' B
B2 R2 D' B2 F' R' B
B2 R2 F' D' B2 R' B
B U' L' B' L2 U F
B2 U2 L B U' R' U'
B2 U2 D L B U2 B2
B U2 B2 U' R' F' U'
B2 D L B U2 L' B2
B2 D L B U2 B2 L'
B2 D U2 L B U2 B2
L2 F' U R' F2 L2 B'
B2 D' R' B2 R' F' B'
B2 D' R' B2 R' B' F'
B2 D' B2 R' B D2 F2
R' B U' L U D2 F2
R' B U' L U' B2 U2
R' B U' L D' R2 U
R' B U' L D2 U F2
R' B U' D' L R2 U
R' B U' D' R2 L U
R' B U' D2 L U F2
R' B U2 B2 U' R' U'
R' B D' U' L R2 U
R' B D' U' R2 L U
R' B D2 U' L U F2
R' B D2 F2 U' L U
R2 B' R D B2 D2 F2
R' B' U R' U2 R U
U2 B' U' R U' B R'
R2 B' U2 R D B2 L
R2 B2 R2 D' F' R' B
R2 B2 R2 F' D' R' B
R B2 R' D' R' F' B
R B2 R' D' R' B F'
R' B2 U2 B U' R' U'
