B' L U F D2 L' R2
B' L U F D2 R2 L'
B' L' U L2 U F L'
D L' D F B' U2 L
D L' D B' F U2 L
D L' D' F B' U2 L'
D L' D' B' F U2 L'
D L' F D B' U2 L
D2 L' B' U2 D' L B'
D2 L' B' D' U2 L B'
D L' B' D' F U2 L'
L' D2 B' U2 D' L B'
L' D2 B' D' U2 L B'
F D L F R B' L2
F D L F B' L2 R
F D L F B' R L2
F D L B' F L2 R
F D L B' F R L2
L' F B' U L U L2
L' F B' U2 L' D' B2
L' F' R B' U L U
L' F' D' R F' B' U2
L' F' D' R B' F' U2
L' F' D' B' R F' U2
L' F' B' R U L U
L' F2 B' U L F U
L' B' U L F U L'
L' B' U F L U L2
L' B' F U L U L2
L' B' F U2 L' D' B2
L' B' F' R U L U
L' B' F2 U L F U
