D2 U F L' R U
D2 U F R L' U
B2 U F R U B
B' U F L R U
B' U F R L U
B' U F R L U
U D2 F L' R U
U D2 F R L' U
U2 L D F L B' L2
U' L B L R' B' U'
U' L B R' L B' U'
U' L2 B L R' B2 U'
U' L2 B R' L B2 U'
U' L2 B' U2 L R' U
U' L2 B' U2 R' L U
R' U D2 F L' U F2
R2 U D2 F L' U F
U R D2 F L' R U
U R D2 F R L' U
D' R F' D R2 U2 F'
D' R F' D B R2 U2
D' R F' D' B U2 L2
D' R F' B U F2 U
D' R F' B U2 D' L2
D' R F' B D R2 U2
D' R F' B D' U2 L2
D2 R B U F L' U
B2 R B U F L U
D' R B F' U F2 U
D' R B F' U2 D' L2
D' R B F' D R2 U2
D' R B F' D' U2 L2
D2 R' U F L' U F2
D' R' U F U F2 B
D' R' U F U B F2
B' R' U F L U F2
D' R' U2 F' D' L2 B
D' R' U2 F' D' B L2
D' R' U2 F' B D' L2
D' R' U2 B F' D' L2
B' R' F L U F2 R
U R' D2 F L' R U
U R' D2 F R L' U
U R2 D2 F L' R U
U R2 D2 F R L' U
U2 D L D F B' L'
U2 D L D B' F L'
U2 D L D' F B' L
U2 D L D' B' F L
U2 D L F D' B' L
U2 D L B' D F L'
D2 U R F L' R U
D2 U R F R L' U
B' U R F L R U
B' U R F R L U
D2 U R' F L' R U
D2 U R' F R L' U
B' U R' F L R U
B' U R' F R L U
D' U R2 F R U B
D2 U R2 F L' R U
D2 U R2 F R L' U
B' U R2 F L R U
B' U R2 F R L U
D2 U F L' R U D
D2 U F L' R U D'
D2 U F L' R U D2
D2 U F L' R D U
D2 U F L' R D' U
D2 U F L' R D2 U
D2 U F L' D R U
D2 U F L' D' R U
D2 U F L' D2 R U
D' U F R U' F' U2
D2 U F R L' U D
D2 U F R L' U D'
D2 U F R L' U D2
D2 U F R L' D U
D2 U F R L' D' U
D2 U F R L' D2 U
D2 U F R D L' U
D2 U F R D' L' U
D2 U F R D2 L' U
B' U D F L R U
B' U D F R L U
D2 U F D L' R U
D2 U F D R L' U
D2 U F D' L' R U
B2 U D F R U B
D2 U F D' R L' U
D2 U F D2 L' R U
D2 U F D2 R L' U
D U F L R U B'
D U F R L U B'
B' U D' F L R U
B' U D' F R L U
U D F L R U B'
B2 U D' F R U B
U D F R L U B'
B' U D2 F L R U
B' U D2 F R L U
B2 U D2 F R U B
B' U F L R U D
B' U F L R U D'
B' U F L R U D2
B' U F L R D U
B' U F L R D' U
B' U F L R D2 U
B' U F L D R U
B' U F L D' R U
B' U F L D2 R U
B' U F R L U D
B' U F R L U D'
B' U F R L U D2
B' U F R L D U
B' U F R L D' U
B' U F R L D2 U
B' U F R D L U
B' U F R D' L U
B' U F R D2 L U
B2 U F L R U B
B2 U F L' R U B
B2 U F L2 R U B
B2 U F R L U B
B2 U F R L' U B
B2 U F R L2 U B
B2 U F R U D B
B2 U F R U D' B
B2 U F R U D2 B
B2 U F R U B D
B2 U F R U B D'
B2 U F R U B D2
B2 U F R D U B
B2 U F R D' U B
B2 U F R D2 U B
B' U F D L R U
B' U F D R L U
B' U F D' L R U
B' U F D' R L U
B' U F D2 L R U
B' U F D2 R L U
B2 U F D R U B
B2 U F D' R U B
B2 U F D2 R U B
B U F R U D B2
B U F R U2 R2 U'
B U F R D U B2
B U F R D2 L2 U
B' U F2 L F' R U
U D' R2 F R U B
U D' F R U' F' U2
B U' R' U2 F R U
F2 U' R2 B L R' U'
F2 U' R2 B R' L U'
D U2 L D F B' L'
D U2 L D B' F L'
D U2 L D' F B' L
D U2 L D' B' F L
D U2 L F D' B' L
D U2 L B' D F L'
R' D2 U F L' U F2
R2 D2 U F L' U F
U D2 R F L' R U
U D2 R F R L' U
U D2 R' F L' R U
U D2 R' F R L' U
U D2 R2 F L' R U
U D2 R2 F R L' U
U D2 F L' R U D
U D2 F L' R U D'
U D2 F L' R U D2
U D2 F L' R D U
U D2 F L' R D' U
U D2 F L' R D2 U
U D2 F L' D R U
U D2 F L' D' R U
U D2 F L' D2 R U
U D2 F R L' U D
U D2 F R L' U D'
U D2 F R L' U D2
U D2 F R L' D U
U D2 F R L' D' U
U D2 F R L' D2 U
U D2 F R D L' U
U D2 F R D' L' U
U D2 F R D2 L' U
U D2 F D L' R U
U D2 F D R L' U
U D2 F D' L' R U
U D2 F D' R L' U
U D2 F D2 L' R U
U D2 F D2 R L' U
R D2 B U F L' U
U F R D L U B'
U F R B' L B U
D2 F U L' U L F
U F R2 D' R' U B
U F D L R U B'
U F D R L U B'
U F D' R U' F' U2
R' F B' L U F2 R
B' D U F L R U
B' D U F R L U
B2 D U F R U B
U F B' L B R U
F' D' R F' B U2 L2
F' D' R B F' U2 L2
F' D' R' U2 L2 F' B
F' D' R' U2 L2 B F'
F' D' R' U2 F' L2 B
F' D' R' U2 F' B L2
F' D' R' U2 B L2 F'
F' D' R' U2 B F' L2
B' D' U F L R U
B' D' U F R L U
B2 D' U F R U B
B' D2 U F L R U
B' D2 U F R L U
B2 D2 U F R U B
U' B L D2 R' B U'
U' B L2 R' B' L' U'
U' B R' L2 B' L' U'
D2 B U F L' R U
D2 B U F R L' U
R B U F U2 R' U'
R B U' R' U2 F U
R' B' U F L U F2
D2 B' U F L' R U
D2 B' U F R L' U
U' B' U2 R' F L U
U' B' U2 F L R' U
U' B' U2 F R' L U
U2 B' U' F L R U
U2 B' U' F R L U
R' B' F L U F2 R
U B' F L B R U
U' B2 L2 B' L R' U'
U' B2 L2 B' R' L U'
D2 B2 U F L' R U
D2 B2 U F R L' U
