D L2 R U2 F B
D L2 R U2 B F
D R L2 U2 F B
D R L2 U2 B F
B' R U B' U B2
B' R U2 B D' R2
D' R B' U2 R B2
D' R B' U2 B2 R
D R B' L2 U2 B2
R D L2 U2 F B
R D L2 U2 B F
R D B' L2 U2 B2
R D' B' U2 R2 B2
R D' B' U2 B2 R2
D B' L2 R U2 B
D' B' R U2 B R
D B' R L2 U2 B
R B' U B' U B'
L2 R U B2 U F B'
L2 R U B2 U B' F
L2 R U2 D' F B R2
L2 R U2 D' B R2 F
L2 R U2 D' B F R2
L2 R U2 F D' B R2
L2 R D L2 B' U2 B2
L2 R D' U2 F B R2
L2 R D' U2 B R2 F
L2 R D' U2 B F R2
B' L' R U2 D' B R'
B' L' R D' U2 B R'
B' L' D' R U2 B R'
R L2 U B2 U F B'
D L' F2 L' R F B
D L' F2 L' R B F
R L2 U B2 U B' F
D L' F2 R L' F B
D L' F2 R L' B F
D L' F2 R B L' F
R L2 U2 D' F B R2
R L2 U2 D' B R2 F
R L2 U2 D' B F R2
R L2 U2 F D' B R2
R L2 D L2 B' U2 B2
R L2 D' U2 F B R2
R L2 D' U2 B R2 F
R L2 D' U2 B F R2
B' L2 R U' F U' B
D' L2 R U2 B R F
D L2 R U2 D F B
D L2 R U2 D B F
D L2 R U2 D' F B
D L2 R U2 D' B F
D L2 R U2 D2 F B
D L2 R U2 D2 B F
D L2 R U2 F D B
D L2 R U2 F D' B
D L2 R U2 F D2 B
D L2 R U2 F B D
D L2 R U2 F B D'
D L2 R U2 F B D2
D L2 R U2 B D F
D L2 R U2 B D' F
D L2 R U2 B D2 F
D L2 R U2 B F D
D L2 R U2 B F D'
D L2 R U2 B F D2
D L2 R D U2 F B
D L2 R D U2 B F
D L2 R D' U2 F B
D L2 R D' U2 B F
D L2 R D2 U2 F B
D L2 R D2 U2 B F
D L2 R F' U2 F2 B
D L2 R F' U2 B F2
D L2 R F2 U2 F' B
D L2 R F2 U2 B F'
D L2 R B' U2 F B2
D L2 R B' U2 B2 F
D L2 R B2 U2 F B'
D L2 R B2 U2 B' F
D L2 R' F' R2 U2 F2
D L2 U2 F2 L' F' B'
D L2 U2 F2 L' B' F'
D L2 D R U2 F B
D L2 D R U2 B F
D L2 D' R U2 F B
D L2 D' R U2 B F
D L2 D2 R U2 F B
D L2 D2 R U2 B F
R U L2 B2 U F B'
R U L2 B2 U B' F
D L2 F2 U2 L' F' B'
D L2 F2 U2 L' B' F'
D L2 B R U2 F B
D L2 B R U2 B F
D L2 B' R U2 F B
D L2 B' R U2 B F
D L2 B2 R U2 F B
D L2 B2 R U2 B F
B' R L' U2 D' B R'
B' R L' D' U2 B R'
B' R L2 U' F U' B
D' R L2 U2 B R F
D R L2 U2 D F B
D R L2 U2 D B F
D R L2 U2 D' F B
D R L2 U2 D' B F
D R L2 U2 D2 F B
D R L2 U2 D2 B F
D R L2 U2 F D B
D R L2 U2 F D' B
D R L2 U2 F D2 B
D R L2 U2 F B D
D R L2 U2 F B D'
D R L2 U2 F B D2
D R L2 U2 B D F
D R L2 U2 B D' F
D R L2 U2 B D2 F
D R L2 U2 B F D
D R L2 U2 B F D'
D R L2 U2 B F D2
D R L2 D U2 F B
D R L2 D U2 B F
D R L2 D' U2 F B
D R L2 D' U2 B F
D R L2 D2 U2 F B
D R L2 D2 U2 B F
D R L2 F' U2 F2 B
D R L2 F' U2 B F2
D R L2 F2 U2 F' B
D R L2 F2 U2 B F'
D R L2 B' U2 F B2
D R L2 B' U2 B2 F
D R L2 B2 U2 F B'
D R L2 B2 U2 B' F
B' R U D B' U B2
B' R U D' B' U B2
B' R U D2 B' U B2
B' R U B' L U B2
B' R U B' L' U B2
B' R U B' L2 U B2
B' R U B' U B2 D
B' R U B' U B2 D'
B' R U B' U B2 D2
B' R U B' D L2 U
B' R U2 D B D' R2
B' R U2 D' B D' R2
B' R U2 D2 B D' R2
D' R U2 B R D2 F2
D' R U2 B D2 R F2
B' R U2 B R D' R2
B' R U2 B R' D' R2
B' R U2 B R2 D' R2
B' R U2 B U' B2 U
B' R U2 B D' R2 D
B' R U2 B D' R2 D'
B' R U2 B D' R2 D2
D R U2 B D2 R2 F2
D R U2 B D2 F2 R2
B' R D U B' U B2
B' R D U2 B D' R2
D2 R D B' U2 R2 B2
D2 R D B' U2 B2 R2
D' R D B' U2 R B2
D' R D B' U2 B2 R
D2 R D' L2 U2 F B
D2 R D' L2 U2 B F
B' R D' U B' U B2
B' R D' U2 B D' R2
R U B2 R2 U F' B'
R U B2 R2 U B' F'
