F' L2 R B U' R'
F' R L2 B U' R'
F' R B L2 U' R'
L2 F' R B U' R'
L2 R F' B R U' R2
L2 R B U' D R' B
L2 R B D U' R' B
L2 R B F' R U' R2
F' L' R B L' U' R'
F' L2 R F B U' R'
F' L2 R F' B U' R'
F' L2 R F2 B U' R'
F' L2 R B U' R' D
F' L2 R B U' R' D'
F' L2 R B U' R' D2
F' L2 R B U' D R'
F' L2 R B U' D' R'
F' L2 R B U' D2 R'
F' L2 R B D U' R'
F' L2 R B D' U' R'
F' L2 R B D2 U' R'
F' L2 R B F U' R'
F' L2 R B F' U' R'
F' L2 R B F2 U' R'
R L2 F' B R U' R2
F2 L2 U' R B L R'
F2 L2 U' R B R' L
B L2 U' D R' B L
R L2 B U' D R' B
R L2 B D U' R' B
R L2 B F' R U' R2
B L2 D U' R' B L
F' L2 D' R F' B U'
F' L2 D' R B F' U'
F2 L2 F R B U' R'
B L2 F' R B U' R2
B' L2 F2 U' R B L
F' L2 B R B U' R2
F' R L' B L' U' R'
F' R L2 F B U' R'
F' R L2 F' B U' R'
F' R L2 F2 B U' R'
F' R L2 B U' R' D
F' R L2 B U' R' D'
F' R L2 B U' R' D2
F' R L2 B U' D R'
F' R L2 B U' D' R'
F' R L2 B U' D2 R'
F' R L2 B D U' R'
F' R L2 B D' U' R'
F' R L2 B D2 U' R'
F' R L2 B F U' R'
F' R L2 B F' U' R'
F' R L2 B F2 U' R'
F' R F L2 B U' R'
F' R F B L2 U' R'
F' R F' L2 B U' R'
F' R F' B L2 U' R'
F' R F2 L2 B U' R'
F' R F2 B L2 U' R'
F' R B L2 U' R' D
F' R B L2 U' R' D'
F' R B L2 U' R' D2
F' R B L2 U' D R'
F' R B L2 U' D' R'
F' R B L2 U' D2 R'
F' R B L2 D U' R'
F' R B L2 D' U' R'
F' R B L2 D2 U' R'
F' R B L2 F U' R'
F' R B L2 F' U' R'
F' R B L2 F2 U' R'
F' R B U' R' D F2
F' R B U' D R' F2
F' R B U' D F2 R'
F' R B D U' R' F2
F' R B D U' F2 R'
F' R B F L2 U' R'
F' R B F' L2 U' R'
F' R B F2 L2 U' R'
L2 U' B L D R' B
L2 U' B R' D' L B'
L2 U' B D L R' B
L2 U' B D R' L B
L2 U' B D' L R' B'
L2 U' B D' R' L B'
B U' D R' F2 B L
B U' D R' B L F2
B U' D R' B F2 L
B U' D F2 R' B L
B D U' R' F2 B L
B D U' R' B L F2
B D U' R' B F2 L
B D U' F2 R' B L
L F' L R B U' R'
L2 F' R F B U' R'
L2 F' R F' B U' R'
L2 F' R F2 B U' R'
L2 F' R B U' R' D
L2 F' R B U' R' D'
L2 F' R B U' R' D2
L2 F' R B U' D R'
L2 F' R B U' D' R'
L2 F' R B U' D2 R'
L2 F' R B D U' R'
L2 F' R B D' U' R'
L2 F' R B D2 U' R'
L2 F' R B F U' R'
L2 F' R B F' U' R'
L2 F' R B F2 U' R'
R F' L2 B R U' R2
L F' R L B U' R'
L2 F' D' R F' B U'
L2 F' D' R B F' U'
L2 F' B R B U' R2
R F' B L2 R U' R2
R F' B R L2 U' R2
L2 F2 U' R B L R'
L2 F2 U' R B R' L
R B L2 U' D R' B
R B L2 D U' R' B
R B L2 F' R U' R2
L2 B U' D R' B L
U' B D L R' F2 B
U' B D L R' B F2
U' B D L F2 R' B
U' B D R' L F2 B
U' B D R' L B F2
U' B D R' F2 L B
U' B D F2 L R' B
U' B D F2 R' L B
F' B L2 R B U' R2
R B U' D R' F2 B
R B U' D R' B F2
R B U' D F2 R' B
L2 B D U' R' B L
F' B R L2 B U' R2
F' B R B L2 U' R2
R B D U' R' F2 B
R B D U' R' B F2
R B D U' F2 R' B
L2 B F' R B U' R2
R B F' L2 R U' R2
R B F' R L2 U' R2
B F' L2 R B U' R2
B F' R L2 B U' R2
B F' R B L2 U' R2
