U2 L2 U2 F2 U R
L2 U' D' L2 B2 R'
L2 U2 F2 L2 U R
D2 R2 U2 B2 U' R'
U' D L R2 U2 F2
D' U L2 D2 F2 R
U' D R2 L U2 F2
U' D' L B2 R' U2
D' U' L B2 R' U2
D U' L R2 U2 F2
L2 D' U' L2 B2 R'
F2 U' L U' L U'
U D' L2 D2 F2 R
D U' R2 L U2 F2
F2 U' D L U2 F2
F2 U' D' L B2 U2
F2 U' D' B2 U2 R'
U' D' B2 U2 L2 R'
U' D' B2 U2 R' L2
D' U' B2 U2 L2 R'
D' U' B2 U2 R' L2
F2 U2 L2 U L' U2
F2 U2 L2 F2 U' R
F2 D U' L U2 F2
F2 D B2 U R' F2
F2 D B2 U F2 R'
F2 D' U' L B2 U2
F2 D' U' B2 U2 R'
F2 D2 R2 U' L U2
F2 D2 R2 B2 U R'
F2 D2 B2 R2 U R
B2 F2 U R' D F2
F2 B2 U R' D F2
B2 F2 U D R' F2
F2 B2 U D R' F2
B2 F2 U D F2 R'
F2 B2 U D F2 R'
F2 B2 U2 L2 U' R'
B2 F2 U2 L2 U' R'
F2 B2 D U R' F2
B2 F2 D U R' F2
F2 B2 D U F2 R'
B2 F2 D U F2 R'
F2 B2 D2 R2 U R
B2 F2 D2 R2 U R
L2 R U' D' L2 B2 R'
D L R2 U L' U F2
L2 R U2 F2 L2 U R
U' L U F2 U2 L U'
U' L U' L U' D' L2
U' L U' L U2 F2 U
U' L U' L D' U' L2
U' L U' L D2 B2 U'
U' L U' D' L U' L
U' L U' D2 L B2 U'
L2 R D' U' L2 B2 R'
U' L D R2 U' L U'
U' L D' U' L U' L
U' L D2 U' L B2 U'
L2 R' U' D' L2 B2 R'
D' L B2 R' U L' U
U' L B2 U R' F2 U
U' L B2 U F2 R' U
L2 R' U2 F2 L2 U R
L2 R' D' U' L2 B2 R'
U2 L' D2 L' B2 U' R2
U2 L' D2 B2 L' U' R2
B2 L' F2 L R U R2
R' L2 U' D' L2 B2 R'
B2 L' F2 R L U R2
L2 R2 U' D' L2 B2 R'
R2 L2 U' D' L2 B2 R'
R L2 U' D' L2 B2 R'
R' L2 U2 F2 L2 U R
L2 R2 U2 F2 L2 U R
R2 L2 U2 F2 L2 U R
R L2 U2 F2 L2 U R
R' L2 D' U' L2 B2 R'
L2 R2 D' U' L2 B2 R'
R2 L2 D' U' L2 B2 R'
R L2 D' U' L2 B2 R'
U2 L2 U L' U F2 U
U2 L2 U L' U2 D' L2
U2 L2 U L' D R2 U2
U2 L2 U L' D' U2 L2
U2 L2 U D L' R2 U2
U2 L2 U D R2 L' U2
U2 L2 U D' L' U2 L'
B2 L2 U' R' D' L2 B2
B2 L2 U' R' D' B2 L2
B2 L2 U' D' L2 R' B2
B2 L2 U' D' R' L2 B2
B2 L2 U' D' R' B2 L2
U L2 U' F2 U R F2
B2 L2 U2 L2 F2 U R'
B2 L2 U2 F2 L2 U R'
U2 L2 U2 F2 U R D
U2 L2 U2 F2 U R D'
U2 L2 U2 F2 U R D2
U2 L2 U2 F2 U D R
U2 L2 U2 F2 U D' R
U2 L2 U2 F2 U D2 R
U2 L2 U2 F2 D U R
U2 L2 U2 F2 D' U R
U2 L2 U2 F2 D2 U R
U2 L2 U2 F2 B U R
U2 L2 U2 F2 B' U R
U2 L2 U2 F2 B2 U R
U2 L2 U2 B F2 U R
U2 L2 U2 B' F2 U R
U2 L2 U2 B2 F2 U R
U2 L2 D U L' R2 U2
U2 L2 D U R2 L' U2
U2 L2 D' U L' U2 L'
B2 L2 D' U' L2 R' B2
B2 L2 D' U' R' L2 B2
B2 L2 D' U' R' B2 L2
D' L2 D' B2 D' F2 R
U2 L2 D' F2 U' L2 R
U2 L2 D' F2 U' R L2
B2 L2 D2 R2 B2 U' R
D' L2 D2 F2 D R B2
D' L2 D2 F2 D B2 R
L2 U L' U L' F2 U
U2 L2 D2 F2 B2 U' R
U2 L2 D2 B2 U L' U2
U2 L2 D2 B2 F2 U' R
L U L' F2 U D F2
L U L' F2 U2 L2 U'
L U L' F2 D U F2
L U L' F2 D2 R2 U
L U L2 F2 L R U
L U L2 F2 R L U
U2 L2 F' U2 F' U R
U2 L2 B U2 F2 U R
U2 L2 B' U2 F2 U R
L2 U D L' R2 F2 U2
L2 U D L' F2 R2 U2
L2 U D R2 L' F2 U2
L2 U D R2 F2 U2 R
L2 U D F2 R2 U2 R'
R' U D' L2 D2 F2 R
L2 U D' L' U2 L' B2
L2 U D' L' U2 B2 L'
U2 L2 B2 U2 F2 U R
R2 U D' L2 D2 F2 R
R U D' L2 D2 F2 R
D' R U L2 D2 F2 R
D R U L2 F2 L' R
D R U L2 F2 R L'
D' R U' L B2 R' U2
D R U F2 L' D2 R2
F2 R U' L U' L U'
D R U' L R U2 F2
D R U' L U2 F2 L'
D R U' R L U2 F2
F2 R U' D L U2 F2
L U F2 U2 L R U'
F2 R U' D' L B2 U2
L U F2 U2 R L U'
F2 R U' D' B2 U2 R'
D' R U' B2 U2 L2 R'
D' R U' B2 U2 R' L2
F2 R U2 L2 U L' U2
F2 R U2 L2 F2 U' R
U' R D L R2 U2 F2
U' R D R2 L U2 F2
F2 R D U' L U2 F2
U' R D' L B2 R' U2
F2 R D B2 U R' F2
F2 R D B2 U F2 R'
F2 R D' U' L B2 U2
F2 R D' U' B2 U2 R'
U R D' L2 D2 F2 R
U' R D' B2 U2 L2 R'
U' R D' B2 U2 R' L2
L U' L U' D' L2 B2
L U' L U' D' B2 L2
L U' L U2 L2 F2 U
L U' L U2 F2 L2 U
F2 R D2 R2 U' L U2
L U' L D' U' L2 B2
L U' L D' U' B2 L2
F2 R D2 R2 B2 U R'
L U' L D2 R2 B2 U'
L U' L D2 B2 R2 U'
F2 R D2 B2 R2 U R
L2 U' R D' L2 B2 R'
B2 R F2 U R2 D F2
B2 R F2 U2 L2 U' R2
B2 R F2 D B2 U F2
L2 U' R' D' L2 B2 R'
L2 U' R2 D' L2 B2 R'
R' U' D L R2 U2 F2
R' U' D R2 L U2 F2
R2 U' D L R2 U2 F2
R' U' D' L B2 R' U2
R2 U' D R2 L U2 F2
R U' D L R2 U2 F2
R U' D R2 L U2 F2
F2 R B2 U R' D F2
F2 R B2 U D R' F2
F2 R B2 U D F2 R'
L2 U' D' L2 R B2 R'
L2 U' D' L2 R' B2 R'
L2 U' D' L2 R2 B2 R'
L2 U' D' L2 B2 R' D
L2 U' D' L2 B2 R' D'
L2 U' D' L2 B2 R' D2
L2 U' D' L2 B2 D R'
L2 U' D' L2 B2 D' R'
L2 U' D' L2 B2 D2 R'
L2 U' D' R L2 B2 R'
F2 R B2 U2 L2 U' R'
L2 U' D' R' L2 B2 R'
R2 U' D' L B2 R' U2
R' U' D' B2 U2 L2 R'
R' U' D' B2 U2 R' L2
D R B2 U F2 L' R'
D R B2 U F2 R' L'
F2 R B2 D U R' F2
F2 R B2 D U F2 R'
L2 U' D' R2 L2 B2 R'
F2 R B2 D2 R2 U R
R U' D' L B2 R' U2
R2 U' D' B2 U2 L2 R'
R2 U' D' B2 U2 R' L2
R U' D' B2 U2 L2 R'
R U' D' B2 U2 R' L2
D' R' U L2 D2 F2 R
L2 U' F2 L2 U R F2
D' R' U' L B2 R' U2
F2 R' U' L U' L U'
D R' U' L R' U2 F2
F2 R' U' D L U2 F2
F2 R' U' D' L B2 U2
D R' U' R' L U2 F2
F2 R' U' D' B2 U2 R'
D' R' U' B2 U2 L2 R'
D' R' U' B2 U2 R' L2
F2 R' U2 L2 U L' U2
F2 R' U2 L2 F2 U' R
L2 U' B D' L2 B2 R'
D2 R' U2 B2 L U' R'
U' R' D L R2 U2 F2
U' R' D R2 L U2 F2
L2 U' B' D' L2 B2 R'
F2 R' D U' L U2 F2
