D2 L F U F R B'
D2 L F U F B' R
D2 L F U B' F R
B2 L' U' B' U' R' B
B2 R F' U B U L
B2 R' U' F' U' L' B
B2 R' U' F' U' B L'
U R' B2 U2 B' L R'
U R' B2 U2 B' R' L
R D' B R2 U B L
B' U' B' U2 R' B L
R' D2 F' U' F' L' B
R' D2 F' U' F' B L'
R' D2 F' U' B F' L'
U F R' B L R2 F'
U F R' B R2 L F'
U F R' B R2 F' L
R' F' U B2 U2 B' L
R B R2 U F' B L
R B R2 U B L F'
R B R2 U B F' L
R B U' F' B U2 L'
R B U' B F' U2 L'
U' B2 R' U2 B L R'
U' B2 R' U2 B R' L
R' B2 U' F' U' B' L'
U' B2 U2 R' B L R'
U' B2 U2 R' B R' L
U' B2 U2 B L R' B
U' B2 U2 B R' L B
U B2 U2 B' L R' B
U B2 U2 B' R' L B
