U R D' F' R B
D2 L B U' F' B2 U2
D2 L B U' B2 F' U2
D2 L B D' R2 U B
D2 L' B R2 U F B
D2 L' B R2 U B F
D2 L' B U F D2 B2
D2 L' B U' F' U2 F2
L' U R D' F' R B
L2 U R D' F' R B
L U R D' F' R B
R' U R2 F R F2 B
R' U R2 F R B F2
R2 U F' L' U' L B
R' U F2 R2 F' R B
B R U F' U' L' U
B R U2 L' U' F' B'
B R U2 L' U' B' F'
U R D R B R' F'
F2 R D' L2 F' R B'
U R D F' R B R'
F2 R D' L2 F' B' R
F2 R D' L2 B' F' R
U R D' F' R D B
U R D' F' R D' B
U R D' F' R D2 B
U R D' F' R B D
U R D' F' R B D'
U R D' F' R B D2
U R D' F' D R B
U R D' F' D' R B
U R D' F' D2 R B
U R D' F' B R B
U R D' F' B' R B
U R D' F' B2 R B
U R D' B F' R B
U R D' B' F' R B
U R D' B2 F' R B
U R F' D R B R'
U R B D' F' R B
U R B' D' F' R B
R' U' D2 B L U2 B'
U R B2 D' F' R B
R' U' B U2 B2 R' B
R' U' B D2 L U2 B'
R2 U2 L F' U' F2 B
R2 U2 L F' U' B F2
F' R' B U F U R
R2 U2 F' L U' F B
R2 U2 F' L U' B F
U R2 U F' L' U' B
B R2 U2 L U' F B
B R2 U2 L U' B F
U R2 B R' D' F' R
B2 R2 B' R' U F' B2
B2 R2 B' R' U B2 F'
U R2 B U F' L' U'
B' R2 B2 R' U F' B'
B' R2 B2 R' U B' F'
B U R F' R B R2
F' U D F B R' U
B U R2 B R' F' R'
F' U D B R' F U
F' U D B F R' U
U' D F' U B R' U
F' U F D B R' U
F' U F B R U F'
F' U B R F U F2
F' U B F R U F'
D' U' F' U B R U
U' D' F' U B R U
B U' R' B R F' U2
D U' F' U B R' U
B U' D' F' U R U
B U' F' R' B R U2
B U' F' U R U F'
B U' F' U2 R F' R'
R' D2 U' B L U2 B'
F' D U F B R' U
F' D U B R' F U
F' D U B F R' U
U' F' U D B R' U
U' F' U B R U F'
D' F' U B R F U
U' F' U2 R D' F' R
D F' U F B R' U
D F' U B R' F U
D F' U B F R' U
U' F' D U B R' U
F D' L2 F' B R U
F D' L2 B F' R U
B D' U' F' U R U
F D' F' L2 B R U
F D' F' B L2 R U
F D' F' B R L2 U
F D' B L2 F' R U
F D' B F' L2 R U
F D' B F' R L2 U
B D2 L U' F' B' U2
B D2 L U' B' F' U2
B D2 L' R2 U F B
B D2 L' R2 U B F
B D2 L' U F D2 B2
B D2 L' U' F' U2 F2
B D2 R2 L' U F B
B D2 R2 L' U B F
D2 B L U' F' B' U2
D2 B L U' B' F' U2
D2 B L' R2 U F B
D2 B L' R2 U B F
D2 B L' U F D2 B2
D2 B L' U' F' U2 F2
D2 B R2 L' U F B
D2 B R2 L' U B F
D B R' U R' B R
D B R' U2 R' U' B
D B R' D2 L U B'
D' B U' F' U R U
R2 B U F' L' U' L
D B U' F' U R' U
B F D' L2 F' R U
B F D' F' L2 R U
B F D' F' R L2 U
F B D' L2 F' R U
F B D' F' L2 R U
F B D' F' R L2 U
D B' R' B2 R' U B
D B' R2 B2 R' U B'
D B2 R' B' R' U B
D B2 R2 B' R' U B2
R' B2 U' B' U2 R' B
