D F' U' B' U' R
R2 L U B' U B2 L
F' L U B' U' R' U2
U L B' U' F' U2 L'
B' L' R2 F U' F2 B
B' L' R2 F U' B F2
F' L' U' D F U' L'
F' L' D U' F U' L'
B' L' F U F2 B U2
B' L' F U B F2 U2
B' L' F D R2 U' F'
L R2 U B' U B2 L
F' L2 U F B' U R'
B' L2 U F' B L U2
B' L2 U B L F' U2
B' L2 U B F' L U2
F' L2 U B' F U R'
D L2 F' U2 R D' L2
D L2 F' U2 D' L2 R
D L2 F' U2 D' R L2
D L2 F' D R2 U2 R'
D L2 F' D' U2 L2 R
D L2 F' D' U2 R L2
D2 R U' F' B' R' U'
D2 R U' B' F' R' U'
L U B' U' F' R' U2
R2 U' D' B' U' B2 R'
R2 U2 D' B R' D L2
R2 U2 D' B D L2 R'
R2 U2 D' B D R' L2
B' R2 L' F U' F2 B
B' R2 L' F U' B F2
B' R2 U' D F' B R
B' R2 U' D B F' R
B' R2 U' D' F' B R'
B' R2 U' D' B F' R'
B' R2 U' F' D' B R'
D2 R2 U' B' U' R' B2
D' R2 U' B' U' B2 R'
B' R2 U' B D F' R
D' R2 U2 B R' D L2
D' R2 U2 B D L2 R'
D' R2 U2 B D R' L2
B' R2 D U' F' B R
B' R2 D U' B F' R
B' R2 D' U' F' B R'
B' R2 D' U' B F' R'
U' R2 D' B' U' B2 R'
U2 R2 D' B R' D L2
U2 R2 D' B D L2 R'
U2 R2 D' B D R' L2
D' R2 B R' D L2 F
D' R2 B D L2 R' F
D' R2 B D L2 F R'
D' R2 B D R' L2 F
L' D F' R U' F2 U'
L' D F' R U2 D R2
L' D F' R D U2 R2
L' D F' R D' L2 U2
L' D F' U' F2 U' L'
L' D F' D R U2 R
L' D F' D' L2 R U2
L' D F' D' R L2 U2
F2 U L2 F U B' R'
B' U D F' B U2 R
B' U D B F' U2 R
B' U D' F' B U2 R'
B' U D' B F' U2 R'
B' U F' D' B U2 R'
U' D B' U F' U2 R
B' U B D F' U2 R
R2 D' U' B' U' B2 R'
R2 D' U2 B R' D L2
R2 D' U2 B D L2 R'
R2 D' U2 B D R' L2
F' U' L' F L B' U'
U' D' R2 B' U' B2 R'
D' U' R2 B' U' B2 R'
U2 D' R2 B R' D L2
U2 D' R2 B D L2 R'
U2 D' R2 B D R' L2
R2 D' B R' D L2 F
R2 D' B D L2 R' F
R2 D' B D L2 F R'
R2 D' B D R' L2 F
B' U' R2 D F' B R
B' U' R2 D B F' R
B' U' R2 D' F' B R'
B' U' R2 D' B F' R'
B' U' R2 F' D' B R'
B' U' R2 B D F' R
B' U' D R2 F' B R
B' U' D R2 B F' R
F' U' D F' B' U' R
F' U' D B' F' U' R
B' U' D' R2 F' B R'
B' U' D' R2 B F' R'
U' D' B' U L F' U2
D' U' B' U L F' U2
F' U' D' B' U L U2
U' D' B' U F' L U2
D' U' B' U F' L U2
D U' B' U F' U2 R
F' U' B' L' F L U'
F' U' B' D F' U' R
F' U' B2 D' B U' R'
D' U2 R2 B R' D L2
D' U2 R2 B D L2 R'
D' U2 R2 B D R' L2
F' U2 L2 U' F U R
B' D R2 U' F' B R
B' D R2 U' B F' R
B' D U F' B U2 R
B' D U B F' U2 R
B' D U' R2 F' B R
B' D U' R2 B F' R
L' F' L U' F2 B' U'
L' F' L U' B' F2 U'
F' D U' F' B' U' R
F' D U' B' F' U' R
L2 F' L' U F2 B' U
L2 F' L' U B' F2 U
D2 F' R U' F' B' U'
D2 F' R U' B' F' U'
B D F' U2 L2 R F
B D F' U2 R L2 F
B D F' B' U2 L2 R
B D F' B' U2 R L2
B D F2 L2 F R B'
B D F2 L2 F B' R
B D F2 L2 B' F R
D2 F' R2 U' B' U' R'
D F' R' U' B' U' R2
L2 F' U F2 B' U R'
F D B' R2 U' F' R
L2 F' U B' F2 U R'
B D B' F' U2 L2 R
B D B' F' U2 R L2
D' F' U' B' U L U2
L F' U B' U' R' U2
D F' U' D B' U' R
D F' U' D' B' U' R
D F' U' D2 B' U' R
D F' U' B' U' R D
D F' U' B' U' R D'
D F' U' B' U' R D2
D F' U' B' U' D R
D F' U' B' U' D' R
D F' U' B' U' D2 R
D F' U' B' D U' R
D F' U' B' D' U' R
D F' U' B' D2 U' R
D F' U2 R U B' U'
D F' D U' B' U' R
D F' D' U' B' U' R
