D' L2 B' L D' R2
D' L2 B' D' L R2
D' L2 B' D' R2 L
B' D' L2 R2 B' L
B' D' L2 B' L R2
B' D' L2 B' R2 L
B' D' R2 L2 B' L
D' L B' L D' R2 B'
D' L B' L D' B' R2
U2 L' U F B L U
F L' U F B U F2
U2 L' U B F L U
F L' U B F U F2
U' L' F L' B U B2
B L' F L' U F' B'
B L' F L' U B' F'
U' L' F B L' U B'
U' L' B F L' U B'
U2 L2 U B U L B2
F L2 U B U L F'
F L2 U B U F' L
D' L2 U' B U B2 L
D2 L2 D B' L D' R2
D2 L2 D B' D' L R2
D2 L2 D B' D' R2 L
D L2 D2 B' L D' R2
D L2 D2 B' D' L R2
D L2 D2 B' D' R2 L
B2 L2 F U' F' B' L'
B2 L2 F U' B' F' L'
U' L2 B L F U B2
U' L2 B U B L B
D' L2 B' L R D' R2
D' L2 B' L R' D' R2
D' L2 B' L R2 D' R2
D' L2 B' L U' B2 U
D' L2 B' L D' R2 D
D' L2 B' L D' R2 D'
D' L2 B' L D' R2 D2
D' L2 B' L2 D' L' R2
D' L2 B' L2 D' R2 L'
D' L2 B' R L D' R2
D' L2 B' R D' L R2
D' L2 B' R D' R2 L
D' L2 B' R' L D' R2
D' L2 B' R' D' L R2
D' L2 B' R' D' R2 L
D' L2 B' R2 L D' R2
D' L2 B' R2 D' L R2
D' L2 B' R2 D' R2 L
D' L2 B' D' L R2 D
D' L2 B' D' L R2 D'
D' L2 B' D' L R2 D2
D' L2 B' D' R2 L D
D' L2 B' D' R2 L D'
D' L2 B' D' R2 L D2
D' L2 B' D' R2 D L
D' L2 B' D' R2 D' L
D' L2 B' D' R2 D2 L
D' L2 B' D2 L D R2
B' R D' L2 R2 B' L
B' R D' L2 B' L R2
B' R D' L2 B' R2 L
B' R D' R2 L2 B' L
L' U' F B U2 R U'
L' U' F' L' F2 B U
L' U' F' L' B F2 U
L' U' F' B L' F2 U
L2 U' F' B U L' B2
L2 U' F' B U B2 L'
L' U' B F U2 R U'
L' U' B F' L' F2 U
L2 U' B F' U L' B2
L2 U' B F' U B2 L'
B' R' D' L2 R2 B' L
B' R' D' L2 B' L R2
B' R' D' L2 B' R2 L
B' R' D' R2 L2 B' L
B' R2 D' L2 R2 B' L
B' R2 D' L2 B' L R2
B' R2 D' L2 B' R2 L
B' R2 D' R2 L2 B' L
U2 D F U B U L'
U' D B U' F U2 L'
U' D' L2 B U B2 L
D' U' L2 B U B2 L
B' U' L2 B2 U B L
D' U' B U' R' F U2
U' D' B U' R' F U2
D' U' B U' F R' U2
U' D' B U' F R' U2
D U' B U' F U2 L'
D U2 F U B U L'
B' U2 D F L2 U2 L
U2 F L' U F B U
U2 F L' U B F U
L' F L' B U F' B2
L' F L' B U B2 F'
U2 F L2 U B U L
D F U B U L' F'
L' F B L' U F' B'
L' F B L' U B' F'
F' D R2 F' U' F2 L'
B' D U2 F L2 U2 L
B' D F L2 U2 L F'
B' D F L2 U2 F' L
B' D' L R2 B' L B'
B' D' L B' L R2 B'
B' D' L B' L B' R2
B' D' L B' R2 L B'
B' D' L2 R B' L R
B' D' L2 R B' R L
B' D' L2 R2 B' L D
B' D' L2 R2 B' L D'
B' D' L2 R2 B' L D2
B' D' L2 R2 B' D L
B' D' L2 R2 B' D' L
B' D' L2 R2 B' D2 L
B' D' L2 B' L R2 D
B' D' L2 B' L R2 D'
B' D' L2 B' L R2 D2
B' D' L2 B' R2 L D
B' D' L2 B' R2 L D'
B' D' L2 B' R2 L D2
B' D' L2 B' R2 D L
B' D' L2 B' R2 D' L
B' D' L2 B' R2 D2 L
R2 F' D R2 U' F L'
B' D' R L2 B' L R
B' D' R L2 B' R L
B' D' R2 L B' L B'
B' D' R2 L2 B' L D
B' D' R2 L2 B' L D'
B' D' R2 L2 B' L D2
B' D' R2 L2 B' D L
B' D' R2 L2 B' D' L
B' D' R2 L2 B' D2 L
B' D' R2 B' L2 B' L'
B' D' B' L2 R2 B' L'
B' D' B' L2 B' L' R2
B' D' B' L2 B' R2 L'
B' D' B' R2 L2 B' L'
B' D2 L2 D R2 B' L
B' D2 L2 D B' L R2
B' D2 L2 D B' R2 L
U' B L' F L' U B'
L2 B L F U F' B2
L2 B L F U B2 F'
U' B L2 U B L B2
U' B U D' L2 B' L
U' B U' D F U2 L'
U' B D U' F U2 L'
U' B D' L2 U B' L
U' B D' U L2 B' L
L' B F L' U F' B'
L' B F L' U B' F'
L2 B' L U' F B2 U
L2 B' L U' B2 F U
D' B' L2 D' R2 B' L'
D' B' L2 D' B' L' R2
D' B' L2 D' B' R2 L'
U' B' L2 B2 U B L
L2 B' U' F' B2 U L'
L2 B' U' B2 F' U L'
D' B' D' L2 R2 B' L'
D' B' D' L2 B' L' R2
D' B' D' L2 B' R2 L'
D' B' D' R2 L2 B' L'
