B L D F L2 U' B'
B L D2 R2 F U' F
B L D2 F R2 U' F
B L F D2 R2 U' F2
R2 L' D F' R B' U
R2 L' D F' B' R U
R2 L' D B' F' R U
B L' D' B' R2 F' U
R' L' B' U F' L' F
L' R' B' U F' L' F
R2 L' B' D F' R U
L' R2 D F' R B' U
L' R2 D F' B' R U
L' R2 D B' F' R U
L2 R2 F' L B' U F2
R2 L2 F' L B' U F2
L' R2 B' D F' R U
L' D R2 F' R B' U
L' D R2 F' B' R U
L' D R2 B' F' R U
L' D' B' U2 L B2 U'
B' U' F B2 U' R B
B' U' B2 F U' R B
B D L2 U2 L B' U
B D' L' B' R2 F' U
B D2 F U' F R B
L' B' U L D L2 F
L' B' U L' D F L2
L' B' U L' F D L2
L' B' U2 L' B2 U' F
L' B' U2 B2 L' U' F
L' B' D F' R U L2
L' B' D2 R F2 U F
L' B' D2 F2 R U F'
