B L2 R' U' D' L2
B L2 R' U2 F2 U
B L2 R' D' U' L2
B L2 R' D2 B2 U'
B' L2 U2 L' F2 U
B L2 D' R' U' L2
B L2 D2 R' B2 U'
B R' L2 U' D' L2
B R' L2 U2 F2 U
B R' L2 D' U' L2
B R' L2 D2 B2 U'
L2 D' R' U' L2 B
L2 D' R' U' B L2
B D2 R' B2 L U'
L2 B R' U' D' L2
L2 B R' U2 F2 U
L2 B R' D' U' L2
L2 B R' D2 B2 U'
L2 B D' R' U' L2
L2 B D2 R' B2 U'
L2 B' U2 L F2 U
L2 B' U2 F2 L U
L2 B' D2 B2 R' U'
D L R U' F2 B' L'
D L R U' B' F2 L'
B L R' D' L U' L
B L R' D2 L B2 U'
D L U R2 U2 F2 B'
D L U R2 U2 B' F2
D' L U B2 R' U2 B
D' L U' D2 L F2 B'
D' L U' D2 L B' F2
D' L U' D2 F2 L B'
D L U' D2 B' L2 F
L2 R D' R' U' L2 B
L2 R D' R' U' B L2
D L U' F2 D2 B' L2
D L U' F2 B' D2 L2
D L U' B' F2 D2 L2
B L D' L R' U' L
B L D' R' L U' L
B L D2 L R' B2 U'
D' L D2 U' L F2 B'
D' L D2 U' L B' F2
D' L D2 U' F2 L B'
B L D2 R' L B2 U'
D L D2 U' B' L2 F
L2 R B R' U' D' L2
L2 R B R' U2 F2 U
L2 R B R' D' U' L2
L2 R B R' D2 B2 U'
L2 R B D' R' U' L2
L2 R B D2 R' B2 U'
L2 R B' U2 L F2 U
L2 R B' U2 F2 L U
L2 R B' D2 B2 R' U'
B' L F2 U2 L F2 U'
B' L F2 U2 F2 L U'
B' L F2 D2 B2 R' U
B L' R' U2 F2 R U
B L' R' D' L' U' L'
B L' R' D2 L' B2 U'
B L' R' D2 B2 L' U'
L2 R' D' R' U' L2 B
L2 R' D' R' U' B L2
D L' U R2 F U2 F
D L' U F R2 U2 F
B' L' U2 F2 L2 R U
B' L' U2 F2 R L2 U
B' L' D' L' U' L' B2
B' L' D' L' U' B2 L'
B2 L' D' L' U' L' B'
B L' D' L' R' U' L'
L2 R' B R' U' D' L2
L2 R' B R' U2 F2 U
L2 R' B R' D' U' L2
L2 R' B R' D2 B2 U'
B L' D' R' L' U' L'
L2 R' B D' R' U' L2
L2 R' B D2 R' B2 U'
B' L' D2 L' R2 B2 U'
B' L' D2 L' B2 R2 U'
B L' D2 L' R' B2 U'
B' L' D2 R2 L' B2 U'
B' L' D2 R2 B2 L' U'
B L' D2 R' L' B2 U'
B L' D2 R' B2 L' U'
L2 R' B' U2 L F2 U
L2 R' B' U2 F2 L U
B' L' D2 B2 L' R2 U'
L2 R' B' D2 B2 R' U'
B' L' D2 B2 R2 L' U'
R' L2 D' R' U' L2 B
R' L2 D' R' U' B L2
L2 R2 D' R' U' L2 B
L2 R2 D' R' U' B L2
R2 L2 D' R' U' L2 B
R2 L2 D' R' U' B L2
R L2 D' R' U' L2 B
R L2 D' R' U' B L2
B' L2 R U2 L' F2 U
B' L2 R' U2 L' F2 U
B L2 R' U D R2 U2
B L2 R' U' L D' L2
B L2 R' U' L' D' L2
B L2 R' U' L2 D' L2
B L2 R' U' D' L2 D
B L2 R' U' D' L2 D'
B L2 R' U' D' L2 D2
B L2 R' U2 F2 U D
B L2 R' U2 F2 U D'
B L2 R' U2 F2 U D2
B L2 R' U2 F2 D U
B L2 R' U2 F2 D' U
B L2 R' U2 F2 D2 U
B L2 R' D U R2 U2
B L2 R' D' U' L2 D
B L2 R' D' U' L2 D'
B L2 R' D' U' L2 D2
B L2 R' D' B U' L2
B L2 R' D' B' U' L2
B L2 R' D' B2 U' L2
B L2 R' D2 B2 U' D
B L2 R' D2 B2 U' D'
B L2 R' D2 B2 U' D2
B L2 R' D2 B2 D U'
B L2 R' D2 B2 D' U'
B L2 R' D2 B2 D2 U'
B' L2 R2 U2 L' F2 U
B L2 R' B U' D' L2
B L2 R' B U2 F2 U
B L2 R' B D' U' L2
B L2 R' B D2 B2 U'
B L2 R' B' U' D' L2
B L2 R' B' U2 F2 U
B L2 R' B' D' U' L2
B L2 R' B' D2 B2 U'
B L2 R' B2 U' D' L2
B L2 R' B2 U2 F2 U
B L2 R' B2 D' U' L2
B L2 R' B2 D2 B2 U'
B L2 R2 U2 F2 L' U
B L2 R2 D' R U' L2
B L2 R2 D2 R B2 U'
B L2 R2 D2 B2 R U'
B' L2 U' L D' L2 B2
B' L2 U' L D' B2 L2
B2 L2 U' L D' L2 B'
B2 L2 U' L' D' B' L2
B2 L2 U' L' B' D' L2
R' L2 B R' U' D' L2
R' L2 B R' U2 F2 U
R' L2 B R' D' U' L2
R' L2 B R' D2 B2 U'
B2 L2 U' D' L' B' L'
R' L2 B D' R' U' L2
B' L2 U2 L F2 L2 U
L2 R2 B R' U' D' L2
L2 R2 B R' U2 F2 U
L2 R2 B R' D' U' L2
L2 R2 B R' D2 B2 U'
B' L2 U2 L' U D' L2
R2 L2 B R' U' D' L2
R2 L2 B R' U2 F2 U
B' L2 U2 L' D' U L2
R2 L2 B R' D' U' L2
R' L2 B D2 R' B2 U'
R2 L2 B R' D2 B2 U'
B' L2 U2 L' F2 U D
B' L2 U2 L' F2 U D'
B' L2 U2 L' F2 U D2
B' L2 U2 L' F2 D U
B' L2 U2 L' F2 D' U
B' L2 U2 L' F2 D2 U
B' L2 U2 L2 F2 L U
R L2 B R' U' D' L2
R L2 B R' U2 F2 U
R L2 B R' D' U' L2
R L2 B R' D2 B2 U'
L2 R2 B D' R' U' L2
B' L2 U2 D' L' U L'
R2 L2 B D' R' U' L2
L2 R2 B D2 R' B2 U'
R2 L2 B D2 R' B2 U'
F' L2 U2 F' B' L U
B' L2 U2 F2 U2 R U'
R L2 B D' R' U' L2
R L2 B D2 R' B2 U'
B2 L2 U2 F' L' F' U
R' L2 B' U2 L F2 U
F' L2 U2 B' L F' U
R' L2 B' U2 F2 L U
F' L2 U2 B' F' L U
R' L2 B' D2 B2 R' U'
B L2 U2 F2 U2 R' U'
L2 R2 B' U2 L F2 U
L2 R2 B' U2 F2 L U
R2 L2 B' U2 L F2 U
R2 L2 B' U2 F2 L U
L2 R2 B' D2 B2 R' U'
R L2 B' U2 L F2 U
R2 L2 B' D2 B2 R' U'
R L2 B' U2 F2 L U
B L2 D R' U R' U2
B L2 D R' B2 U' L
R L2 B' D2 B2 R' U'
B' L2 D' U2 L' U L'
B L2 D' R' U' L2 D
B L2 D' R' U' L2 D'
B L2 D' R' U' L2 D2
B2 L2 D' U' L' B' L'
B L2 D' R' D' B2 U'
B L2 D' R' B U' L2
B L2 D' R' B' U' L2
B L2 D' R' B2 U' L2
B2 L2 D' B' R' U' L2
B L2 D2 R B2 R2 U'
B L2 D2 R' U' D L2
B L2 D2 R' D U' L2
B L2 D2 R' B2 U' D
B L2 D2 R' B2 U' D'
B L2 D2 R' B2 U' D2
B L2 D2 R' B2 D U'
B L2 D2 R' B2 D' U'
B L2 D2 R' B2 D2 U'
B L2 D2 R2 B2 R U'
B' L2 D2 B2 U2 L' U
B2 L2 D2 B' R' B' U'
F L2 D2 F' R B' U'
F L2 D2 F' B' R U'
B L2 D2 B2 U2 L U
F L2 D2 B' F' R U'
F L2 F' B R' B2 U'
F L2 F' B' U2 L U
B' L2 B U2 L' F2 U
B2 L2 B U2 L F2 U
B2 L2 B U2 F2 L U
B2 L2 B D2 B2 R' U'
F L2 B F' R' B2 U'
B2 L2 B' R' U' D' L2
B2 L2 B' R' U2 F2 U
B2 L2 B' R' D' U' L2
B2 L2 B' R' D2 B2 U'
B' L2 B' U2 L' F2 U
B2 L2 B' D' R' U' L2
B2 L2 B' D2 R' B2 U'
F L2 B' F' U2 L U
B' L2 B2 U2 L' F2 U
L2 U D' R F' U2 L2
L2 U D' R' U2 L2 B
L2 U D' R' U2 B L2
B L2 B2 U2 L F2 U
B L2 B2 U2 F2 L U
B L2 B2 D2 B2 R' U'
D R L U' F2 B' L'
D R L U' B' F2 L'
B' R L2 U2 L' F2 U
D' R U F' B2 U2 L2
D' R U B2 F' U2 L2
D R U' L F2 B' L'
D R U' L B' F2 L'
D R U' L2 F2 L' B'
D R U' F2 L B' L2
L2 U' R D' L2 R' B
L2 U' R D' R' L2 B
L2 U' R D' R' B L2
L2 U' D L D2 B' L2
L2 U' D L B' D2 L2
L2 U' D L' D2 L2 B'
L2 U' D' L D2 L B'
L2 U' D' L2 R' B R
L2 U' D' R' L2 B R
L2 U' D' R' B L2 R
L2 U' D' R' B R L2
B R' L D' L U' L
B R' L D2 L B2 U'
B R' L' U2 F2 R U
B R' L' D' L' U' L'
B R' L' D2 L' B2 U'
B R' L' D2 B2 L' U'
B' R' L2 U2 L' F2 U
B R' L2 U D R2 U2
B R' L2 U' L D' L2
B R' L2 U' L' D' L2
B R' L2 U' L2 D' L2
B R' L2 U' D' L2 D
B R' L2 U' D' L2 D'
B R' L2 U' D' L2 D2
