U' L F2 D' B' L
D' L2 B R' B2 U'
D' L2 B' U2 L U
L U' F2 D' B' L
U2 D R2 F L' U
U2 D F L' R2 U
U2 D F R2 L' U
D U2 R2 F L' U
D U2 F L' R2 U
D U2 F R2 L' U
D F L' R2 B U
D F R2 L' B U
D F R2 B L' U
D' B L2 R' B' U'
D' B R' L2 B' U'
L2 B' L' U' F2 B'
L2 B' L' U' B' F2
D' B2 L2 B' R' U'
F2 L R' D R2 B' L
F2 L R' D B' L R2
F2 L R' D B' R2 L
R' L U' F2 D' B' L
R2 L U' F2 D' B' L
L R U' F2 D' B' L
R L U' F2 D' B' L
F2 L R2 B' D L2 R2
F2 L R2 B' D R2 L2
U2 L U F2 D' B' L
B' L U' F2 D' B' L
B2 L U' F2 D' B' L
B L U' F2 D' B' L
F2 L D R2 B' D L2
U' L D' B' D L F2
U' L D' B' D F2 L
U' L F D F B' L'
U' L F D B' F L'
U' L F D' F B' L
U' L F D' B' F L
U' L F B' D F L'
L2 R B' L' U' F2 B'
L2 R B' L' U' B' F2
U' L F' D' F' B' L
U' L F' D' B' L F'
U' L F' D' B' F' L
U L F2 R D' B' L
U' L F2 D' B' L D
U' L F2 D' B' L D'
U' L F2 D' B' L D2
U' L F2 D' B' D L
U' L F2 D' B' D' L
U' L F2 D' B' D2 L
U L F2 D' R B' L
U L F2 D' B' L R
U L F2 D' B' R L
U' L B' F D F L'
L R' U' F2 D' B' L
U2 L' U' F R U2 F
L2 R' B' L' U' F2 B'
L2 R' B' L' U' B' F2
L R2 U' F2 D' B' L
D' L' B L' R' B' U'
D' L' B R' L' B' U'
D' L' B2 L' B' R' U'
D' L2 R B R' B2 U'
D' L2 R B' U2 L U
D' L2 R' B R' B2 U'
D' L2 R' B' U2 L U
D' L2 R2 B R' B2 U'
D' L2 R2 B' U2 L U
U' L2 U B' R' U' F2
R' L2 B' L' U' F2 B'
R' L2 B' L' U' B' F2
L2 R2 B' L' U' F2 B'
L2 R2 B' L' U' B' F2
R2 L2 B' L' U' F2 B'
R2 L2 B' L' U' B' F2
R L2 B' L' U' F2 B'
R L2 B' L' U' B' F2
D' L2 D' R' B' U' B2
D' L2 D' B' R' U' B
U' L2 F2 L' D' B' L
U' L2 F2 U B' R' U'
D' L2 B R B2 R2 U'
D' L2 B R' U' D L2
D' L2 B R' D U' L2
D' L2 B R' B2 U' D
D' L2 B R' B2 U' D'
D' L2 B R' B2 U' D2
D' L2 B R' B2 D U'
D' L2 B R' B2 D' U'
D' L2 B R' B2 D2 U'
D' L2 B R2 B2 R U'
D' L2 B D R' U' L2
B' L2 B' L' U' F2 B'
B' L2 B' L' U' B' F2
D' L2 B' R U2 L U
D' L2 B' R' U2 L U
B2 L2 B' L' U' F2 B'
B2 L2 B' L' U' B' F2
D' L2 B' R2 U2 L U
B L2 B' L' U' F2 B'
B L2 B' L' U' B' F2
D' L2 B' U2 L U D
D' L2 B' U2 L U D'
D' L2 B' U2 L U D2
D' L2 B' U2 L D U
D' L2 B' U2 L D' U
D' L2 B' U2 L D2 U
D' L2 B' U2 D L U
D' L2 B' U2 D' L U
D' L2 B' U2 D2 L U
D' L2 B' D U2 L U
D' L2 B' D' U2 L U
D' L2 B' D2 U2 L U
L' U F U2 F' L' F2
L' U F B U2 F L
L' U F B' R' U2 F
D' R L2 B R' B2 U'
D' R L2 B' U2 L U
L' U B F U2 F L
D R U2 R F L' U
L' U B' R' F U2 F
L' U B' F R' U2 F
U2 R D R2 F L' U
U2 R D F L' R2 U
U2 R D F R2 L' U
R' U' L F2 D' B' L
R2 U' L F2 D' B' L
R U' L F2 D' B' L
L' U' L' F' L' F' B'
L' U' L' F' L' B' F'
L' U' L2 F' B' L' F'
L' U' L2 F2 D2 B' L
L' U' L2 B' F' L' F'
D' R B L2 R' B' U'
D' R B R' L2 B' U'
D' R B2 L2 B' R' U'
F2 R' L D R2 B' L
F2 R' L D B' L R2
F2 R' L D B' R2 L
L U' D' B' D L F2
L U' D' B' D F2 L
L' U' F R U2 R' F
L' U' F R U2 F R'
L' U' F' L' D2 F' B2
L' U' F' L' D2 B2 F'
D' R' L2 B R' B2 U'
D' R' L2 B' U2 L U
L U' F D F B' L'
L U' F D B' F L'
L U' F D' F B' L
L U' F D' B' F L
L U' F B' D F L'
L' U' F' D2 L' F' B2
L' U' F' D2 L' B2 F'
L' U' F' D2 B2 L' F'
L U' F' D' F' B' L
L U' F' D' B' L F'
L U' F' D' B' F' L
L' U' F2 U2 F' R U2
L U' F2 D' B' L D
L U' F2 D' B' L D'
L U' F2 D' B' L D2
L U' F2 D' B' D L
L U' F2 D' B' D' L
L U' F2 D' B' D2 L
D R' U2 R' F L' U
D2 R' D L2 B' U' B2
D R' U2 F L' R' U
D R' U2 F R' L' U
U2 R' D R2 F L' U
U2 R' D F L' R2 U
U2 R' D F R2 L' U
L U' B' F D F L'
D' R' B L2 R' B' U'
D' R' B R' L2 B' U'
R' U2 D R2 F L' U
R' U2 D F L' R2 U
R' U2 D F R2 L' U
D' R' B2 L2 B' R' U'
R2 U2 D R2 F L' U
R2 U2 D F L' R2 U
R2 U2 D F R2 L' U
R U2 D R2 F L' U
R U2 D F L' R2 U
R U2 D F R2 L' U
F2 R2 L B' D L2 R2
F2 R2 L B' D R2 L2
D' R2 L2 B R' B2 U'
D' R2 L2 B' U2 L U
U2 R2 D R2 F L' U
U2 R2 D F L' R2 U
U2 R2 D F R2 L' U
D R2 F L' U2 F' U'
D' R2 B L2 R' B' U'
D' R2 B R' L2 B' U'
D' R2 B2 L2 B' R' U'
R' D U2 R2 F L' U
R' D U2 F L' R2 U
R' D U2 F R2 L' U
R' D F L' R2 B U
R' D F R2 L' B U
R' D F R2 B L' U
R2 D U2 R2 F L' U
R2 D U2 F L' R2 U
R2 D U2 F R2 L' U
R2 D F L' R2 B U
R D U2 R2 F L' U
R D U2 F L' R2 U
R D U2 F R2 L' U
R2 D F R2 L' B U
R2 D F R2 B L' U
R D F L' R2 B U
R D F R2 L' B U
R D F R2 B L' U
U2 D R' F L' R' U
U2 D R' F R' L' U
U' D R2 F L' U R2
U' D F L' R2 U R2
U2 D R2 F L' U D
U2 D R2 F L' U D'
U2 D R2 F L' U D2
U2 D R2 F L' D U
U2 D R2 F L' D' U
U2 D R2 F L' D2 U
U2 D R2 F D L' U
U2 D R2 F D' L' U
U2 D R2 F D2 L' U
U' D F R2 L' U R2
U2 D F L' R2 U D
U2 D F L' R2 U D'
U2 D F L' R2 U D2
U2 D F L' R2 D U
U2 D F L' R2 D' U
U2 D F L' R2 D2 U
U2 D F L' U D' F2
U2 D F L' D' U F2
U2 D F R2 L' U D
U2 D F R2 L' U D'
U2 D F R2 L' U D2
U2 D F R2 L' D U
U2 D F R2 L' D' U
U2 D F R2 L' D2 U
U2 D F R2 D L' U
U2 D F R2 D' L' U
U2 D F R2 D2 L' U
U2 D F D' L' U F2
L' D' L' B' L' U' B'
L' D' L2 U' D' B' L
L' D' L2 D' U' B' L
R' D' L2 B R' B2 U'
R' D' L2 B' U2 L U
R2 D' L2 B R' B2 U'
L D' L2 U' L2 B' L
R2 D' L2 B' U2 L U
R D' L2 B R' B2 U'
R D' L2 B' U2 L U
B' U' L F2 D' B' L
B2 U' L F2 D' B' L
L D' U' B' D L F2
L D' U' B' D F2 L
B U' L F2 D' B' L
R' D' B L2 R' B' U'
R' D' B R' L2 B' U'
D U' R2 F L' U R2
D U' F L' R2 U R2
D U' F R2 L' U R2
R2 D' B L2 R' B' U'
R2 D' B R' L2 B' U'
L D' B L2 U' B2 L
R D' B L2 R' B' U'
R D' B R' L2 B' U'
R' D' B2 L2 B' R' U'
R2 D' B2 L2 B' R' U'
R D' B2 L2 B' R' U'
D U2 R' F L' R' U
D U2 R' F R' L' U
D U2 R2 F L' U D
D U2 R2 F L' U D'
D U2 R2 F L' U D2
D U2 R2 F L' D U
D U2 R2 F L' D' U
D U2 R2 F L' D2 U
D U2 R2 F D L' U
D U2 R2 F D' L' U
D U2 R2 F D2 L' U
D U2 F L' R2 U D
D U2 F L' R2 U D'
D U2 F L' R2 U D2
D U2 F L' R2 D U
D U2 F L' R2 D' U
D U2 F L' R2 D2 U
D U2 F L' U D' F2
D U2 F L' D' U F2
D U2 F R2 L' U D
D U2 F R2 L' U D'
D U2 F R2 L' U D2
D U2 F R2 L' D U
D U2 F R2 L' D' U
D U2 F R2 L' D2 U
D U2 F R2 D L' U
D U2 F R2 D' L' U
D U2 F R2 D2 L' U
D U2 F D' L' U F2
B' U2 D R2 F L' U
B' U2 D F L' R2 U
B' U2 D F R2 L' U
B2 U2 D R2 F L' U
B2 U2 D F L' R2 U
B2 U2 D F R2 L' U
B U2 D R2 F L' U
B U2 D F L' R2 U
B U2 D F R2 L' U
F U2 D F' R U' F2
D F L R2 B L2 U
D F L' R2 D B U
D F L' R2 D' B U
D F L' R2 D2 B U
D F L' R2 B U D
D F L' R2 B U D'
D F L' R2 B U D2
D F L' R2 B D U
D F L' R2 B D' U
D F L' R2 B D2 U
D F L' B R2 B U
D F L' B' R2 B U
D F L' B2 R2 B U
F U2 F' L U' F2 B'
F U2 F' L U' B' F2
D F R2 L B L2 U
D F R2 L' D B U
D F R2 L' D' B U
D F R2 L' D2 B U
D F R2 L' B U D
D F R2 L' B U D'
D F R2 L' B U D2
D F R2 L' B D U
D F R2 L' B D' U
D F R2 L' B D2 U
D F R2 D L' B U
D F R2 D B L' U
D F R2 D' L' B U
U2 F U L B' L' F
D F R2 D' B L' U
D F R2 D2 L' B U
D F R2 D2 B L' U
D F R2 B L' U D
D F R2 B L' U D'
D F R2 B L' U D2
D F R2 B L' D U
D F R2 B L' D' U
D F R2 B L' D2 U
D F R2 B D L' U
D F R2 B D' L' U
D F R2 B D2 L' U
D F R2 B' L' B2 U
U2 F U F L B' L'
L' F U' F' U' L' F2
U2 F D2 R' U F B
U2 F D2 R' U B F
D F B L' R2 B U
D F B R2 L' B U
D F B R2 B L' U
D F B' L' R2 B U
D F B' R2 L' B U
D F B' R2 B L' U
U' F' L D' F' B' L2
U' F' L D' B' L2 F'
U' F' L D' B' F' L2
D F B2 L' R2 B U
U' F' L B' D' L2 F'
U' F' L B' D' F' L2
D F B2 R2 L' B U
D F B2 R2 B L' U
B' D U2 R2 F L' U
B' D U2 F L' R2 U
B' D U2 F R2 L' U
U' F' L' D' L2 F' B'
U' F' L' D' L2 B' F'
B2 D U2 R2 F L' U
B2 D U2 F L' R2 U
B2 D U2 F R2 L' U
U2 F' L F2 U F B'
U2 F' L F2 U B' F
B' D F L' R2 B U
B' D F R2 L' B U
B' D F R2 B L' U
B2 D F L' R2 B U
B2 D F R2 L' B U
B2 D F R2 B L' U
B D U2 R2 F L' U
B D U2 F L' R2 U
B D U2 F R2 L' U
F D U2 F' R U' F2
B D F L' R2 B U
B D F R2 L' B U
B D F R2 B L' U
B' D' L2 B R' B2 U'
B' D' L2 B' U2 L U
B2 D' L2 B R' B2 U'
B2 D' L2 B' U2 L U
B D' L2 B R' B2 U'
B D' L2 B' U2 L U
U' F2 L U' F' U B'
U' F2 L B' U' F' U
U2 F2 L F' U F B'
U2 F2 L F' U B' F
U' F2 L2 U' F' L' U
B' D' B L2 R' B' U'
B' D' B R' L2 B' U'
B2 D' B L2 R' B' U'
B2 D' B R' L2 B' U'
B D' B L2 R' B' U'
B D' B R' L2 B' U'
B' D' B2 L2 B' R' U'
U' F2 U' L F' U B'
B2 D' B2 L2 B' R' U'
U' F2 U' F' L U B'
L2 F2 U F2 B' R' U'
L2 F2 U B' R' F2 U'
L2 F2 U B' F2 R' U'
B D' B2 L2 B' R' U'
L F2 D R2 D2 B' L
L F2 D' B' D2 L R2
L F2 D' B' D2 R2 L
U' B L F2 D' B' L
D' B L2 R B' R2 U'
D' B L2 R' D B' U'
D' B L2 R' D' B' U'
D' B L2 R' D2 B' U'
D' B L2 R' B' U' D
D' B L2 R' B' U' D'
D' B L2 R' B' U' D2
D' B L2 R' B' D U'
D' B L2 R' B' D' U'
D' B L2 R' B' D2 U'
D' B L2 R2 B' R U'
D' B L2 D R' B' U'
D' B L2 D' R' B' U'
D' B L2 D2 R' B' U'
L2 B L' B2 U' F2 B
L2 B L' B2 U' B F2
L B L B' U' F2 B'
L B L B' U' B' F2
D' B R L2 B' R2 U'
D' B R' L2 D B' U'
D' B R' L2 D' B' U'
D' B R' L2 D2 B' U'
D' B R' L2 B' U' D
D' B R' L2 B' U' D'
D' B R' L2 B' U' D2
D' B R' L2 B' D U'
D' B R' L2 B' D' U'
D' B R' L2 B' D2 U'
D' B R' B L2 B' U'
D' B R' B' L2 B' U'
D' B R' B2 L2 B' U'
D' B R2 L2 B' R U'
D B U2 R2 F L' U
D B U2 F L' R2 U
D B U2 F R2 L' U
D B F L' R2 B U
D B F R2 L' B U
D B F R2 B L' U
U' B' L F2 D' B' L
L2 B' L U F U2 F
L2 B' L D' L2 U' B'
L2 B' L' R U' F2 B'
L2 B' L' R U' B' F2
L2 B' L' R' U' F2 B'
L2 B' L' R' U' B' F2
L2 B' L' R2 U' F2 B'
L2 B' L' R2 U' B' F2
L2 B' L' U' F2 D B'
L2 B' L' U' F2 D' B'
L2 B' L' U' F2 D2 B'
L2 B' L' U' F2 B' D
L2 B' L' U' F2 B' D'
L2 B' L' U' F2 B' D2
L2 B' L' U' B' F2 D
L2 B' L' U' B' F2 D'
L2 B' L' U' B' F2 D2
D' B' L2 B' U2 L' U
L B' L B' U' F2 B
L B' L B' U' B F2
L2 B' R L' U' F2 B'
L2 B' R L' U' B' F2
L2 B' R' L' U' F2 B'
L2 B' R' L' U' B' F2
L2 B' R2 L' U' F2 B'
L2 B' R2 L' U' B' F2
L2 B' U2 R U F2 B
L2 B' U2 R U B F2
D B' U2 R2 F L' U
D B' U2 F L' R2 U
D B' U2 F R2 L' U
D B' F L' R2 B U
D B' F R2 L' B U
D B' F R2 B L' U
U' B2 L F2 D' B' L
D' B2 L2 R B' R' U'
D' B2 L2 R' B' R' U'
D' B2 L2 R2 B' R' U'
D' B2 L2 D B' R' U'
D' B2 L2 D' B' R' U'
L2 B2 L' B U' F2 B2
L2 B2 L' B U' B2 F2
D' B2 L2 D2 B' R' U'
D' B2 L2 B' R' U' D
D' B2 L2 B' R' U' D'
D' B2 L2 B' R' U' D2
D' B2 L2 B' R' D U'
D' B2 L2 B' R' D' U'
D' B2 L2 B' R' D2 U'
D' B2 L2 B' D R' U'
D' B2 L2 B' D' R' U'
D' B2 L2 B' D2 R' U'
L B2 L B' U' F2 B2
L B2 L B' U' B2 F2
D' B2 R L2 B' R' U'
D' B2 R' L2 B' R' U'
D' B2 R2 L2 B' R' U'
D B2 U2 R2 F L' U
D B2 U2 F L' R2 U
D B2 U2 F R2 L' U
D B2 F L' R2 B U
D B2 F R2 L' B U
D B2 F R2 B L' U
