D R2 F B' L' U'
D R2 B' F L' U'
D F R2 B' L' U'
B' D R2 F L' U'
D F B' L' R2 U'
D F B' R2 L' U'
B' D F L' R2 U'
B' D F R2 L' U'
D B' R2 F L' U'
D B' F L' R2 U'
D B' F R2 L' U'
F2 L B' U' F' U' L'
B' L' U' D2 F R B2
B' L' U' D2 F B2 R
B' L' U' D2 B2 F R
F' L' D R2 F L' B
F' L' D R2 F B L'
F' L' D R2 B F L'
B' L' D R2 U' F R
B' L' D2 U' F R B2
B' L' D2 U' F B2 R
B' L' D2 U' B2 F R
D' L2 F B R' B2 U
D' L2 F B' U2 L U'
D' L2 B R' F B2 U
D' L2 B R' B2 F U
D' L2 B F R' B2 U
D' L2 B' F U2 L U'
B' R D R2 F L' U'
B' R D F L' R2 U'
B' R D F R2 L' U'
D2 R F B' U' F2 B'
D2 R F B' U' B' F2
D R B' R F L' U'
D2 R B' F U' F2 B'
D2 R B' F U' B' F2
B' R' D R2 F L' U'
B' R' D F L' R2 U'
B' R' D F R2 L' U'
D R' F R' B' L' U'
B' R2 D R2 F L' U'
B' R2 D F L' R2 U'
B' R2 D F R2 L' U'
D R2 D2 F B' L U'
D R2 D2 B' F L U'
D R2 F D B' L' U'
D R2 F D' B' L' U'
D R2 F D2 B' L' U'
D R2 F B L' B2 U'
D R2 F B' L' U' D
D R2 F B' L' U' D'
D R2 F B' L' U' D2
D R2 F B' L' D U'
D R2 F B' L' D' U'
D R2 F B' L' D2 U'
D R2 F B' D L' U'
D R2 F B' D' L' U'
D R2 F B' D2 L' U'
D R2 F B2 L' B U'
L' D R2 U' F L' R
L' D R2 U' F R L'
R' D R2 F B' L' U'
R' D R2 B' F L' U'
D R2 B F L' B2 U'
R2 D R2 F B' L' U'
R2 D R2 B' F L' U'
R D R2 F B' L' U'
D R2 B' F L' U' D
D R2 B' F L' U' D'
D R2 B' F L' U' D2
D R2 B' F L' D U'
D R2 B' F L' D' U'
D R2 B' F L' D2 U'
D R2 B' F D L' U'
D R2 B' F D' L' U'
D R2 B' F D2 L' U'
R D R2 B' F L' U'
D R2 B2 F L' B U'
R' D F R2 B' L' U'
R' D F B' L' R2 U'
R' D F B' R2 L' U'
R2 D F R2 B' L' U'
R2 D F B' L' R2 U'
R2 D F B' R2 L' U'
R D F R2 B' L' U'
R D F B' L' R2 U'
R D F B' R2 L' U'
R' D B' R2 F L' U'
U' D R2 F B' L' U'
R' D B' F L' R2 U'
R' D B' F R2 L' U'
U' D R2 B' F L' U'
U2 D R2 F B' L' U'
R2 D B' R2 F L' U'
U' D F R2 B' L' U'
U2 D R2 B' F L' U'
D U R2 F B' L' U'
R2 D B' F L' R2 U'
R2 D B' F R2 L' U'
D U R2 B' F L' U'
U' D F B' L' R2 U'
U' D F B' R2 L' U'
R D B' R2 F L' U'
U2 D F R2 B' L' U'
U D R2 F B' L' U'
U D R2 B' F L' U'
D U F R2 B' L' U'
R D B' F L' R2 U'
R D B' F R2 L' U'
U2 D F B' L' R2 U'
U2 D F B' R2 L' U'
U D F R2 B' L' U'
D U F B' L' R2 U'
D U F B' R2 L' U'
U D F B' L' R2 U'
U D F B' R2 L' U'
U' D B' R2 F L' U'
U' D B' F L' R2 U'
U' D B' F R2 L' U'
U2 D B' R2 F L' U'
D U B' R2 F L' U'
U2 D B' F L' R2 U'
U2 D B' F R2 L' U'
U D B' R2 F L' U'
D U B' F L' R2 U'
D U B' F R2 L' U'
U D B' F L' R2 U'
U D B' F R2 L' U'
F U' L' D F L' B'
D U' R2 F B' L' U'
D U' R2 B' F L' U'
D U' F R2 B' L' U'
D U' F B' L' R2 U'
D U' F B' R2 L' U'
F2 U' D' F' B' L U'
F2 U' D' B' L F' U'
F2 U' D' B' F' L U'
D U' B' R2 F L' U'
D U' B' F L' R2 U'
D U' B' F R2 L' U'
F2 U' F' D' B' L U'
F2 U' F' B' L' U' F
F2 U' B' L' F' U' F2
F2 U' B' F' L' U' F
D U2 R2 F B' L' U'
D U2 R2 B' F L' U'
D U2 F R2 B' L' U'
D U2 F B' L' R2 U'
D U2 F B' R2 L' U'
D U2 B' R2 F L' U'
D U2 B' F L' R2 U'
D U2 B' F R2 L' U'
D2 F R B' U' F' B'
D2 F R B' U' B' F'
D F R B' L' R U'
D F R B' R L' U'
D F R2 D B' L' U'
