U2 B U L B' U'
U L U F B D L2
U L U B D F L2
U L U B F D L2
U L U2 B' U' F B2
U L U2 B' U' B2 F
U2 L B L' D L2 F2
U2 L B L' D F2 L2
U2 L B U L B2 U'
F' L B D F2 L2 R
F' L B D F2 R L2
F' L B' L2 U' B2 R'
U' L B' R' U' F' B2
U' L B' R' U' B2 F'
B' L' F R U B2 R'
U L' F L2 U F B
U L' F L2 U B F
U L' F U B D2 F2
U L' F U' B' U2 B2
U L2 U L' F B L
U L2 U L' B F L
U L2 U L2 B L F
U L2 U B L' F L2
L2 U D2 B L R2 F
L2 U D2 B L F R2
L2 U D2 B R2 L F
L2 U B D2 L R2 F
L2 U B D2 L F R2
L2 U B D2 R2 L F
R' U' L B' R' U' F'
L2 U' L2 U2 B L F
F2 R2 D F' R U2 F'
D R2 F' R U' L' U'
D U L U F L' B
D U L U F B L'
D U L U B F L'
U D L U F L' B
U D L U F B L'
U D L U B F L'
R2 D F' R U' L' U'
U2 D F B L' D F2
U2 D B F L' D F2
F' U' L B' L2 U' B2
F' U' L' U2 F U B
L2 D2 U B L R2 F
L2 D2 U B L F R2
L2 D2 U B R2 L F
F' U2 L B D L2 F2
F' U2 L B D F2 L2
D U2 F B L' D F2
D U2 B F L' D F2
L' F R U B2 R' B
L' F R B2 U R' B
B' U2 B2 D L' F L'
B' U2 B2 D F L' F
U2 F B U L B' U'
F2 D R2 F' R B U2
L' F B2 R U R2 B'
L' F B2 R U B' R2
R2 F' U' L B' L2 U'
R2 F' U' L' U2 F U
U2 F' B U L B' U'
U2 F2 B U L B' U'
L F2 B D L2 R F'
L F2 B D R L2 F'
L F2 B D R F' L2
U2 B L' U L2 B' U'
U2 B U L D B' U'
U2 B U L D' B' U'
U2 B U L D2 B' U'
U2 B U L B' U' D
U2 B U L B' U' D'
U2 B U L B' U' D2
U2 B U L B' D U'
U2 B U L B' D' U'
U2 B U L B' D2 U'
U2 B D F L' D F2
U2 B F U L B' U'
U2 B F' U L B' U'
U2 B F2 U L B' U'
L B F2 D L2 R F'
L B F2 D R L2 F'
L B F2 D R F' L2
L B' L2 U' B2 R' F'
L B' U L' B' U2 B'
U2 B2 D F B' L' F
U2 B2 D B' L' F L'
U2 B2 D B' F L' F
L' B2 F R U R2 B'
L' B2 F R U B' R2
U B2 D' R2 B' L F
U B2 D' B' L R2 F
U B2 D' B' L F R2
U B2 D' B' R2 L F
