F' L2 U' L' B U2
F' L2 U' B L' U2
B2 L2 F' U R' F2
B2 L2 F' U F2 R'
B2 L2 F' U F2 R'
L2 F' R2 U F' R
L2 F' U R2 F' R
F D' B2 L2 R' F
F D' B2 L2 F R'
F D' B2 R' L2 F
B2 F' L2 U R' F
B2 F' L2 U F R'
F' B2 L2 U R' F
F' B2 L2 U F R'
D2 L U' R2 B U' F'
L2 R F2 U R F' L'
B2 L F' L U R' F
B2 L F' L U F R'
D L F2 B U F U
D' L B U F' U B
D2 L B U' R2 B U'
D L B F2 U F U
F' L' D2 L' U R2 F'
F' L2 R U F2 R F'
F L2 R F2 U R F'
F' L2 R2 U F2 R F
F' L2 R2 U' L' U2 F'
F L2 R2 F2 U R F
F' L2 U R F2 R F'
F' L2 U R2 F2 R F
B2 L2 U R' D' F L'
F' L2 U F' R2 F' R
F' L2 U F2 R2 F' R'
B2 L2 U F R' D' L2
B2 L2 U F D' L2 R'
B2 L2 U F D' R' L2
F' L2 U' L B L2 U2
F' L2 U' L' D B U2
F' L2 U' L' D' B U2
F' L2 U' L' D2 B U2
F' L2 U' L' B U2 D
F' L2 U' L' B U2 D'
F' L2 U' L' B U2 D2
F' L2 U' L' B D U2
F' L2 U' L' B D' U2
F' L2 U' L' B D2 U2
F' L2 U' D L' B U2
F' L2 U' D B L' U2
R L2 F2 U R F' L'
F' L2 U' D' L' B U2
F' L2 U' D' B L' U2
F' L2 U' D2 L' B U2
F' L2 U' D2 B L' U2
F' L2 U' B L' U2 D
F' L2 U' B L' U2 D'
F' L2 U' B L' U2 D2
F' L2 U' B L' D U2
F' L2 U' B L' D' U2
F' L2 U' B L' D2 U2
F' L2 U' B D L' U2
F' L2 U' B D' L' U2
F' L2 U' B D2 L' U2
F' L2 U' B' L' B2 U2
F' L2 D U' L' B U2
F' L2 D U' B L' U2
B2 L2 D F' U R' F2
B2 L2 D F' U F2 R'
F' L2 D' U' L' B U2
F' L2 D' U' B L' U2
B2 L2 D' F' U R' F2
B2 L2 D' F' U F2 R'
F' L2 D2 U' L' B U2
F' L2 D2 U' B L' U2
L U L F' R2 U F'
L U L F' U' B U2
B2 L2 D2 F' U R' F2
B2 L2 D2 F' U F2 R'
U' L2 F' R2 U F' R
B2 L2 F' R U R2 F2
B2 L2 F' R U F2 R2
U' L2 F' U R2 F' R
B2 L2 F' R2 U R F2
U2 L2 F' R2 U F' R
B2 L2 F' U R F2 R2
B2 L2 F' U R' F2 D
B2 L2 F' U R' F2 D'
B2 L2 F' U R' F2 D2
U2 L2 F' U R2 F' R
B2 L2 F' U F R' F
B2 L2 F' U F2 R' D
B2 L2 F' U F2 R' D'
B2 L2 F' U F2 R' D2
B2 L2 F' U F2 D R'
B2 L2 F' U F2 D' R'
B2 L2 F' U F2 D2 R'
B2 L2 F' D R2 U R
U L2 F' R2 U F' R
U L2 F' U R2 F' R
F L2 F2 R2 U F' R'
F L2 F2 U R2 F' R'
F L2 F2 U' B U2 R
F' L2 B' U D2 F2 R
F' L2 B' U' L' B2 U2
F' L2 B' U' B2 L' U2
F' L2 B' D2 U F2 R
F' L2 B2 U' B' L' U2
F' R L2 U F2 R F'
L U F' L R2 U F'
L U F' L U' B U2
F R L2 F2 U R F'
L U F' R2 L U F'
L2 U' L' B U F' U
L2 U' B L' U F' U
B2 R' D' L2 F L' B2
B2 R' D' L2 F B2 L'
B2 R' D' L2 B2 F L'
F R' D' B2 L2 R' F'
F R' D' B2 R' L2 F'
F R' D' B2 R' F' L2
F' R2 L2 U F2 R F
F' R2 L2 U' L' U2 F'
F' R2 U D' F' B2 R'
F' R2 U D' B2 F' R'
F R2 L2 F2 U R F
F' R2 U F' D' B2 R'
F' R2 D' U F' B2 R'
F' R2 D' U B2 F' R'
F R2 D' F' B2 L2 R'
F R2 D' F' B2 R' L2
F R2 D' B2 L2 F' R'
F R2 D' B2 F' L2 R'
F R2 D' B2 F' R' L2
F2 R2 F L2 U F2 R
F2 R2 F' D' B2 L2 R'
F2 R2 F' D' B2 R' L2
D2 R2 B U' D2 F' R
D' R2 B U' F' B R'
D' R2 B U' B F' R'
D2 R2 B D2 U' F' R
F' R2 B2 L2 U F' R'
B2 U L2 F' U R' F2
B2 U L2 F' U F2 R'
L2 D F' R2 U F' R
L2 D F' U R2 F' R
B U L2 D2 F' U R
B U L2 F' B U R'
B U L2 B F' U R'
F' U R' D' B2 R' F'
F' U R2 D' F' B2 R'
F' U R2 D' B2 F' R'
F' U R2 F' D' B2 R'
F' U D' R' B2 R' F'
F' U D' R2 F' B2 R'
F' U D' R2 B2 F' R'
F U D' B2 L2 R' F
F U D' B2 L2 F R'
F U D' B2 R' L2 F
B2 U F' L2 U R' F
B2 U F' L2 U F R'
B U F' L2 B U R'
B U F' B L2 U R'
B U B L2 F' U R'
B U B F' L2 U R'
R' D' F B2 L' R' F'
R' D' F B2 R' L' F'
L2 D' F' R2 U F' R
B2 U' L2 F' U R' F2
B2 U' L2 F' U F2 R'
L2 D' F' U R2 F' R
R' D' F2 B2 R' F' L'
R2 D' B U' F' B R'
R2 D' B U' B F' R'
R' D' B2 R' F L' F2
F' U' D L F2 B U2
F' U' D L B F2 U2
R' D' B2 F L' R' F'
R' D' B2 F R' L' F'
F' U' D F2 L B U2
R' D' B2 F2 R' F' L'
F' U' D' L B U2 B
F' U' D' B U2 B R'
L' D2 L' F' U R2 F'
F U' D' B2 L2 R' F
F U' D' B2 L2 F R'
F U' D' B2 R' L2 F
B2 U' F' L2 U R' F
B2 U' F' L2 U F R'
B2 U2 L2 F' U R' F2
B2 U2 L2 F' U F2 R'
L2 D2 F' R2 U F' R
L2 D2 F' U R2 F' R
F U2 D' B2 L2 R' F
F U2 D' B2 L2 F R'
F U2 D' B2 R' L2 F
B2 U2 F' L2 U R' F
B2 U2 F' L2 U F R'
F D L R2 F2 U2 F
F D L F2 R2 U2 F'
F D L F2 B R2 U2
F D L B R2 F2 U2
F D L B F2 R2 U2
U' F D' B2 L2 R' F
U' F D' B2 L2 F R'
U' F D' B2 R' L2 F
U2 F D' B2 L2 R' F
U2 F D' B2 L2 F R'
U2 F D' B2 R' L2 F
U F D' B2 L2 R' F
U F D' B2 L2 F R'
U F D' B2 R' L2 F
D' F B2 R' D' L2 F
F D R2 L F2 U2 F
D' F B2 D' L2 R' F
D' F B2 D' L2 F R'
D' F B2 D' R' L2 F
F' D U' L F2 B U2
F' D U' L B F2 U2
F' D U' F2 L B U2
U' F' L2 U' L' B U2
U' F' L2 U' B L' U2
L F' L U' L' B U2
L F' L U' B L' U2
U2 F' L2 U' L' B U2
U2 F' L2 U' B L' U2
L2 F' R U R F' R
L2 F' R U F' R F'
U F' L2 U' L' B U2
U F' L2 U' B L' U2
D' F' R2 U F' B2 R'
D' F' R2 U B2 F' R'
F D F2 L R2 U2 F'
F D F2 L B R2 U2
F D F2 R2 L U2 F'
L2 F' R2 U F' R D
L2 F' R2 U F' R D'
L2 F' R2 U F' R D2
L2 F' R2 U F' D R
L2 F' R2 U F' D' R
L2 F' R2 U F' D2 R
D' F' U R' B2 R' F'
D' F' U R2 F' B2 R'
D' F' U R2 B2 F' R'
L2 F' R2 B U F' R
L2 F' R2 B' U F' R
L2 F' R2 B2 U F' R
L2 F' U R F' R F'
D' F' U' L B U2 B
L2 F' U R2 F' R D
L2 F' U R2 F' R D'
L2 F' U R2 F' R D2
L2 F' U R2 F' D R
L2 F' U R2 F' D' R
L2 F' U R2 F' D2 R
L2 F' U F' R2 F' R'
D' F' U' B U2 B R'
L2 F' U' D2 B U2 R'
D F' U' L F' B U2
D F' U' L B F' U2
D F' U' F' L B U2
L2 F' D2 U' B U2 R'
F' D' R2 U F' B2 R'
F' D' R2 U B2 F' R'
U' F' B2 L2 U R' F
U' F' B2 L2 U F R'
F' D' U R' B2 R' F'
F' D' U R2 F' B2 R'
F' D' U R2 B2 F' R'
F D' R' B2 L2 R' F'
F D' R' B2 R' L2 F'
F D' R' B2 R' F' L2
U2 F' B2 L2 U R' F
U2 F' B2 L2 U F R'
F' D' U' L B U2 B
F D' R2 F' B2 L2 R'
F D' R2 F' B2 R' L2
F' D' U' B U2 B R'
F D' R2 B2 L2 F' R'
F D' R2 B2 F' L2 R'
F D' R2 B2 F' R' L2
U F' B2 L2 U R' F
U F' B2 L2 U F R'
F D' U B2 L2 R' F
F D' U B2 L2 F R'
F D' U B2 R' L2 F
D F2 L D' B R' U2
F D' U' B2 L2 R' F
F D' U' B2 L2 F R'
F D' U' B2 R' L2 F
F D' U2 B2 L2 R' F
F D' U2 B2 L2 F R'
F D' U2 B2 R' L2 F
F D' F B2 L2 R' F
F D' F B2 L2 F R'
F D' F B2 R' L2 F
F D' F' B2 L2 R' F
F D' F' B2 L2 F R'
F D' F' B2 R' L2 F
F D' F2 B2 L2 R' F
F D' F2 B2 L2 F R'
F D' F2 B2 R' L2 F
L2 F2 R2 F U R' F2
L2 F2 R2 F U F2 R'
F D' B U2 L2 B R'
F D' B U2 B L2 R'
F D' B U2 B R' L2
F D' B2 L2 R F R2
F D' B2 L2 R' D F
F D' B2 L2 R' D' F
F D' B2 L2 R' D2 F
F D' B2 L2 R' F D
F D' B2 L2 R' F D'
F D' B2 L2 R' F D2
F D' B2 L2 D R' F
F D' B2 L2 D F R'
F D' B2 L2 D' R' F
F D' B2 L2 D' F R'
F D' B2 L2 D2 R' F
F D' B2 L2 D2 F R'
F D' B2 L2 F R' D
F D' B2 L2 F R' D'
F D' B2 L2 F R' D2
F D' B2 L2 F D R'
F D' B2 L2 F D' R'
F D' B2 L2 F D2 R'
F D' B2 L2 F' R' F2
F D' B2 R L2 F R2
F D' B2 R' L2 D F
F D' B2 R' L2 D' F
F D' B2 R' L2 D2 F
F D' B2 R' L2 F D
F D' B2 R' L2 F D'
F D' B2 R' L2 F D2
F D' B2 R' F L2 F
F D' B2 R' F' L2 F
F D' B2 R' F2 L2 F
F D' B2 F L2 R' F
F D' B2 F L2 F R'
F D' B2 F R' L2 F
F D' B2 F' L2 R' F
F D' B2 F' L2 F R'
F D' B2 F' R' L2 F
F D' B2 F2 L2 R' F
F D' B2 F2 L2 F R'
F D' B2 F2 R' L2 F
F D2 R2 B2 U' F' R'
L2 B L' U L F' U
L2 B L' U F' L U
L' B L2 U L F' U
L' B L2 U F' L U
D' B U F' U B R'
D2 B U' R2 B U' R'
L B R2 U' B R' U'
L B U' R2 B R' U'
B2 F L2 F2 U F' R'
B2 F R' D' L2 F B2
