D R' F2 B L R'
D R' F2 B R' L
D R' B L R' F2
D R' B L F2 R'
D R' B R' L F2
D R' B R' L F2
D R' B R' F2 L
D R' B F2 L R'
D R' B F2 R' L
D F2 R' B L R'
D F2 R' B R' L
D F2 B L R' B
D F2 B R' L B
D B L R' F2 B
D B L R' B F2
D B L F2 R' B
D B R' L F2 B
D B R' L B F2
D B R' F2 L B
D B F2 L R' B
D B F2 R' L B
D L R' F2 B L R'
D L R' F2 B R' L
D L R' B L R' F2
D L R' B L F2 R'
D L R' B R' L F2
D L R' B R' F2 L
D L R' B F2 L R'
D L R' B F2 R' L
L2 R F' R B U' L
L2 R F' B R U' L
L2 R B F' R U' L
D L F2 R' B L R'
D L F2 R' B R' L
D L F2 B L R' B
D L F2 B R' L B
D L B L R' F2 B
D L B L R' B F2
D L B L F2 R' B
D L B R' L F2 B
D L B R' L B F2
D L B R' F2 L B
D L B F2 L R' B
D L B F2 R' L B
D L' R' F2 B L R'
D L' R' F2 B R' L
D L' R' B L R' F2
D L' R' B L F2 R'
D L' R' B R' L F2
D L' R' B R' F2 L
D L' R' B F2 L R'
D L' R' B F2 R' L
D L' F2 R' B L R'
D L' F2 R' B R' L
D L' F2 B L R' B
D L' F2 B R' L B
D L' B L R' F2 B
D L' B L R' B F2
D L' B L F2 R' B
D L' B R' L F2 B
D L' B R' L B F2
D L' B R' F2 L B
D L' B F2 L R' B
D L' B F2 R' L B
F' L2 R F' B U' L
F' L2 R B F' U' L
U2 L2 R F' R U' L'
U L2 R F' B R U'
U L2 R B F' R U'
D L2 R' F2 B L R'
D L2 R' F2 B R' L
D L2 R' B L R' F2
D L2 R' B L F2 R'
D L2 R' B R' L F2
D L2 R' B R' F2 L
D L2 R' B F2 L R'
D L2 R' B F2 R' L
R L2 F' R B U' L
R L2 F' B R U' L
R L2 B F' R U' L
R U L2 F' R B U'
U L2 F' R F' B U'
U L2 F' R B F' U'
D L2 F2 R' B L R'
D L2 F2 R' B R' L
D L2 F2 B L R' B
D L2 F2 B R' L B
F' L2 B R F' U' L
D L2 B L R' F2 B
D L2 B L R' B F2
D L2 B L F2 R' B
D L2 B R' L F2 B
D L2 B R' L B F2
D L2 B R' F2 L B
D L2 B F2 L R' B
D L2 B F2 R' L B
F' R L2 F' B U' L
F' R L2 B F' U' L
U2 R L2 F' R U' L'
R U F' L2 R B U'
U R L2 F' B R U'
R U F' R L2 B U'
R U F' R B L2 U'
U R L2 B F' R U'
F' R F' L2 B U' L
U2 R F' L2 R U' L
U2 R F' R L2 U' L
B R F' L2 R U' L'
B R F' R L2 U' L'
F' R F' B L2 U' L'
U R F' L2 B R U'
U R F' B L2 R U'
U R F' B R L2 U'
F' R B F' L2 U' L'
U R B L2 F' R U'
U R B F' L2 R U'
U R B F' R L2 U'
D R' L F2 B L R'
D R' L F2 B R' L
D R' L B L R' F2
D R' L B L F2 R'
D R' L B R' L F2
D R' L B R' F2 L
D R' L B F2 L R'
D R' L B F2 R' L
D R' L' F2 B L R'
D R' L' F2 B R' L
D R' L' B L R' F2
D R' L' B L F2 R'
D R' L' B R' L F2
D R' L' B R' F2 L
D R' L' B F2 L R'
D R' L' B F2 R' L
D R' L2 F2 B L R'
D R' L2 F2 B R' L
D R' L2 B L R' F2
D R' L2 B L F2 R'
D R' L2 B R' L F2
D R' L2 B R' F2 L
D R' L2 B F2 L R'
D R' L2 B F2 R' L
D R' F B R' F L
R U2 L2 F' R U' L'
D R' F' B L F' R'
D R' F2 L B L R'
D R' F2 L B R' L
D R' F2 L' B L R'
D R' F2 L' B R' L
D R' F2 L2 B L R'
D R' F2 L2 B R' L
D R' F2 B L R' D
D R' F2 B L R' D'
D R' F2 B L R' D2
D R' F2 B L D R'
D R' F2 B L D' R'
D R' F2 B L D2 R'
D R' F2 B R' L D
D R' F2 B R' L D'
D R' F2 B R' L D2
D R' F2 B R' D L
D R' F2 B R' D' L
D R' F2 B R' D2 L
D R' F2 B D L R'
D R' F2 B D R' L
D R' F2 B D' L R'
D R' F2 B D' R' L
D R' F2 B D2 L R'
D R' F2 B D2 R' L
D R' B L R F2 R2
D R' B L R' F2 D
D R' B L R' F2 D'
D R' B L R' F2 D2
D R' B L F R' F
D R' B L F2 R' D
D R' B L F2 R' D'
D R' B L F2 R' D2
D R' B L F2 D R'
D R' B L F2 D' R'
D R' B L F2 D2 R'
D R' B L' R' F2 L2
D R' B L' F2 L2 R'
D R' B L' F2 R' L2
D R' B R L F2 R2
D R' B R F2 L R2
D R' B R F2 R2 L
D R' B R' L F2 D
D R' B R' L F2 D'
D R' B R' L F2 D2
D R' B R' L' F2 L2
D R' B R' F' L F'
D R' B R' F2 L D
D R' B R' F2 L D'
D R' B R' F2 L D2
D R' B R' F2 D L
D R' B R' F2 D' L
D R' B R' F2 D2 L
D R' B F R' F L
D R' B F' L F' R'
D R' B F2 L R' D
D R' B F2 L R' D'
D R' B F2 L R' D2
D R' B F2 L D R'
D R' B F2 L D' R'
D R' B F2 L D2 R'
D R' B F2 R' L D
D R' B F2 R' L D'
D R' B F2 R' L D2
D R' B F2 R' D L
D R' B F2 R' D' L
D R' B F2 R' D2 L
D R' B F2 D L R'
D R' B F2 D R' L
D R' B F2 D' L R'
D R' B F2 D' R' L
D R' B F2 D2 L R'
D R' B F2 D2 R' L
R U2 F' L2 R U' L
R U2 F' R L2 U' L
D R2 F2 R B L R'
D R2 F2 R B R' L
F' U L2 R F' B U'
F' U L2 R B F' U'
F' U R L2 F' B U'
F' U R L2 B F' U'
F' U R F' L2 B U'
F' U R F' B L2 U'
F' U R B L2 F' U'
F' U R B F' L2 U'
L2 D B U' L R' B
L2 D B U' R' L B
F' U2 L2 R F' U' L'
F' U2 R L2 F' U' L'
F' U2 R F' L2 U' L
D F R' F B L R'
D F R' F B R' L
D F R' B R' F L
D F R' B F L R'
D F R' B F R' L
B D L R' F2 B R'
B D L R' B R' F2
B D L R' B F2 R'
B D L F2 R' B R'
B D L F2 B R' B
B D L B R' F2 B
B D L B R' B F2
B D L B F2 R' B
B' D R' U2 F2 B R'
B' D R' U2 B R' F2
B' D R' U2 B F2 R'
B' D R' B R' F2 L'
B D R' L F2 B R'
B D R' L B R' F2
B D R' L B F2 R'
B D R' F2 L B R'
D F B R' F L B
U2 F' L2 R F' U' L
U F' L2 R F' B U'
U F' L2 R B F' U'
U2 F' R L2 F' U' L
R F' L2 R B U' L
B' D F2 B R' B L
L2 F' R F' B U' L
L2 F' R B F' U' L
B' D B R' F2 B L
B' D B R' B L F2
B' D B R' B F2 L
B D F2 L R' B R'
B D F2 L B R' B
R F' L2 B R U' L
U F' R L2 F' B U'
U F' R L2 B F' U'
B D F2 R' L B R'
R F' R L2 B U' L
B' D B F2 R' B L
U F' R F' L2 B U'
U F' R F' B L2 U'
U F' R B L2 F' U'
U F' R B F' L2 U'
R F' R B L2 U' L'
L2 F' B R F' U' L
D F' B L F' R' B
R F' B L2 R U' L'
R F' B R L2 U' L'
D F2 L R' B L R'
D F2 L R' B R' L
D F2 L B L R' B
D F2 L B R' L B
D F2 L' R' B L R'
D F2 L' R' B R' L
D F2 L' B L R' B
D F2 L' B R' L B
D F2 L2 R' B L R'
D F2 L2 R' B R' L
D F2 L2 B L R' B
D F2 L2 B R' L B
D F2 R' L B L R'
D F2 R' L B R' L
D F2 R' L' B L R'
D F2 R' L' B R' L
D F2 R' L2 B L R'
D F2 R' L2 B R' L
D F2 R' B L R' D
D F2 R' B L R' D'
D F2 R' B L R' D2
D F2 R' B L D R'
D F2 R' B L D' R'
D F2 R' B L D2 R'
D F2 R' B R' L D
D F2 R' B R' L D'
D F2 R' B R' L D2
D F2 R' B R' D L
D F2 R' B R' D' L
D F2 R' B R' D2 L
D F2 R' B D L R'
D F2 R' B D R' L
D F2 R' B D' L R'
D F2 R' B D' R' L
D F2 R' B D2 L R'
D F2 R' B D2 R' L
D F2 B L R' D B
D F2 B L R' D' B
D F2 B L R' D2 B
D F2 B L R' B D
D F2 B L R' B D'
D F2 B L R' B D2
D F2 B L' R' B L2
D F2 B L2 R' B L'
D F2 B R' L D B
D F2 B R' L D' B
D F2 B R' L D2 B
D F2 B R' L B D
D F2 B R' L B D'
D F2 B R' L B D2
D F2 B R' L' B L2
D F2 B R' L2 B L'
D F2 B R' D L B
D F2 B R' D' L B
D F2 B R' D2 L B
D F2 B D2 L R' B'
D F2 B D2 R' L B'
D' B L R2 F' R B'
D' B L R2 F' B' R
D' B L R2 B' F' R
D B L R' F2 D B
D B L R' F2 D' B
D B L R' F2 D2 B
D B L R' F2 B D
D B L R' F2 B D'
D B L R' F2 B D2
D B L R' B F2 D
D B L R' B F2 D'
D B L R' B F2 D2
D B L F R' F B
D B L F R' B F
D B L F2 R' D B
D B L F2 R' D' B
D B L F2 R' D2 B
D B L F2 R' B D
D B L F2 R' B D'
D B L F2 R' B D2
D B L' R' F2 L2 B
D B L' R' F2 B L2
D B L' R' B L2 F2
D B L' R' B F2 L2
D B L' F2 L2 R' B
D B L' F2 R' L2 B
D B L' F2 R' B L2
D B L2 R' B L' F2
L2 B R F' R U' L
D' B R2 L F' R B'
D' B R2 L F' B' R
D' B R2 L B' F' R
D B R' L F2 D B
D B R' L F2 D' B
D B R' L F2 D2 B
D B R' L F2 B D
D B R' L F2 B D'
D B R' L F2 B D2
D B R' L B F2 D
D B R' L B F2 D'
D B R' L B F2 D2
D B R' L' F2 L2 B
D B R' L' F2 B L2
D B R' L' B L2 F2
D B R' L' B F2 L2
D B R' L2 B L' F2
D' B R2 F' L R B'
D' B R2 F' L B' R
D' B R2 F' R L B'
D B R' F' L F' B
D B R' F' L B F'
D B R' F2 L D B
D B R' F2 L D' B
D B R' F2 L D2 B
D B R' F2 L B D
D B R' F2 L B D'
D B R' F2 L B D2
D B R' F2 L' B L2
D B R' F2 L2 B L'
D B R' F2 D L B
D B R' F2 D' L B
D B R' F2 D2 L B
D B U L R' F2 B
D B U L R' B F2
D B U L F2 R' B
D B U R' L F2 B
D B U R' L B F2
D B U R' F2 L B
D B U F2 L R' B
D B U F2 R' L B
D B U' L R' F2 B
D B U' L R' B F2
D B U' L F2 R' B
D B U' R' L F2 B
D B U' R' L B F2
D B U' R' F2 L B
D B U' F2 L R' B
D B U' F2 R' L B
D B U2 L R' F2 B
D B U2 L R' B F2
D B U2 L F2 R' B
D B U2 R' L F2 B
D B U2 R' L B F2
D B U2 R' F2 L B
D B U2 F2 L R' B
D B U2 F2 R' L B
F' B R F' L2 U' L'
D B F R' F L B
L2 B F' R F' U' L
D B F' L F' R' B
D B F2 L R' D B
D B F2 L R' D' B
D B F2 L R' D2 B
D B F2 L R' B D
D B F2 L R' B D'
D B F2 L R' B D2
D B F2 L' R' B L2
D B F2 L2 R' B L'
D B F2 R' L D B
D B F2 R' L D' B
D B F2 R' L D2 B
D B F2 R' L B D
D B F2 R' L B D'
D B F2 R' L B D2
D B F2 R' L' B L2
D B F2 R' L2 B L'
D B F2 R' D L B
D B F2 R' D' L B
D B F2 R' D2 L B
R B F' L2 R U' L'
R B F' R L2 U' L'
D B F2 D2 L R' B'
D B F2 D2 R' L B'
D B' L R' U2 F2 B
D B' L R' U2 B F2
D B' R' L U2 F2 B
D B' R' L U2 B F2
B F' R F' L2 U' L'
