U L F U F R
U L R F B U F
U L R B F U F
U L F R B U F
U L F U R F R
U L F U R' F R
U L F U R2 F R
U L F U D F R
U L F U D' F R
U L F U D2 F R
U L F U F R D
U L F U F R D'
U L F U F R D2
U L F U F D R
U L F U F D' R
U L F U F D2 R
U L F D U F R
U L F D' U F R
U L F D2 U F R
U L F B U F R
U L F B' U F R
U L F B2 U F R
U L B F U F R
F' L B' U L2 F' R'
F' L B' U F' L2 R'
F' L B' U F' R' L2
U L B' F U F R
U L B2 F U F R
F' L' D' F' B' R' B'
F' L' D' B' F' R' B'
F' L' D' B2 D2 F' R
F' L' F' D' B' R' B'
F' L' F' B D' B2 R'
F' L' F' B' R' D' B2
F' L' F' B' D' R' B2
F' L' B D' F' B2 R'
F' L' B D' B2 F' R'
F' L' B F' D' B2 R'
F' L' B' D' F' R' B2
F' L' B' F' R' D' B2
F' L' B' F' D' R' B2
R' U L F U F R
R2 U L F U F R
R U L F U F R
F' L2 F' D' L B' R'
U R L F B U F
U R L B F U F
F2 U' L U2 F U' L'
B' U2 F2 D R' B L
L F' B' U L' F' R'
B' F' U' L' F' R' B'
F' B' U' L' F' R' B'
L B' F' U L' F' R'
U B2 R' F' U' F' L'
