U2 R' F' U' F B
U2 R' F' U' B F
U2 L R' F' U' F B
U2 L R' F' U' B F
R' L U2 F U' F' B
R' L U2 F U' B F'
D2 L U2 F U' F' B'
D2 L U2 F U' B' F'
L' R F' U F B' U
L' R F' U B' F U
L' R B' R2 U F' B
L' R B' R2 U B F'
L' R B' U' F' B U2
L' R B' U' B F' U2
U L B' U L' R' B
U L B' U R' L' B
U L B' U R' B L'
L R' U2 F U' F' B
L R' U2 F U' B F'
U2 L' R' F' U' F B
U2 L' R' F' U' B F
D L' U B' L U L'
R L' F' U F B' U
R L' F' U B' F U
R' L' B' R2 U F' B2
R' L' B' R2 U B2 F'
L' R' B' R2 U F' B2
L' R' B' R2 U B2 F'
R' L' B' U' B U2 B
L' R' B' U' B U2 B
R L' B' R2 U F' B
R L' B' R2 U B F'
R L' B' U' F' B U2
R L' B' U' B F' U2
D2 L' F U F' B' U
D2 L' F U B' F' U
D L' B' L R2 U F'
D L' B' L U' B U2
D2 L' B' U' F B U2
D2 L' B' U' B F U2
D L' B' R2 L U F'
U2 L2 R' F' U' F B
U2 L2 R' F' U' B F
L' U D B' L U L'
U L2 B' U L2 R' B
U L2 B' U R' L2 B
U L2 B' U R' B L2
B2 R U' F' L' B2 U2
B2 R U' F' B2 L' U2
B R U' F' B' L' U2
B2 R U' B2 F' L' U2
B R U' B' F' L' U2
U2 R' L F' U' F B
U2 R' L F' U' B F
U2 R' L' F' U' F B
U2 R' L' F' U' B F
U2 R' L2 F' U' F B
U2 R' L2 F' U' B F
R U' F' L' U' L U'
B2 R' U' B2 U2 B' R'
U2 R' D F' U' F B
U2 R' D F' U' B F
U2 R' D' F' U' F B
U2 R' D' F' U' B F
U2 R' D2 F' U' F B
U2 R' D2 F' U' B F
U2 R' F' U' D F B
U2 R' F' U' D B F
U2 R' F' U' D' F B
U2 R' F' U' D' B F
U2 R' F' U' D2 F B
U2 R' F' U' D2 B F
U2 R' F' U' F D B
U2 R' F' U' F D' B
U2 R' F' U' F D2 B
U2 R' F' U' F B D
U2 R' F' U' F B D'
U2 R' F' U' F B D2
U2 R' F' U' B D F
U2 R' F' U' B D' F
U2 R' F' U' B D2 F
U2 R' F' U' B F D
U2 R' F' U' B F D'
U2 R' F' U' B F D2
U2 R' F' D U' F B
U2 R' F' D U' B F
U2 R' F' D' U' F B
U2 R' F' D' U' B F
U2 R' F' D2 U' F B
U2 R' F' D2 U' B F
U2 R' B U F' B' U'
U2 R' B U B' F' U'
L U2 R' F U' F' B
L U2 R' F U' B F'
U R' B' R' B2 D' F2
L' D U B' L U L'
B' U R' B' R' F' B2
B' U R' B' R' B2 F'
L' D B' L R2 U F'
L' D B' L U' B U2
L' D B' R2 L U F'
F' U F B' U R' B
D U B' L U L' R'
D U B' L U R' L'
U D B' L U L' R'
U D B' L U R' L'
F U F' B' U R' B
F2 U F2 B' U R' B
B' U B' R' D2 F2 B
B' U B' R' D2 B F2
B2 U B' R' B D2 F2
F' U B' F U R' B
F2 U B' F2 U R' B
F U B' F' U R' B
B U B2 R' B R' F'
U2 D' R' F' R U' F
B' U' B U2 B' R' B
D' U2 R' F' R U' F
B U' B' U2 B' R' B
B2 U' B2 U2 B' R' B
U2 F U' F' B' R' B
U2 F U' B' F' R' B
U2 F' R' F' U' F2 B
U2 F' R' F' U' B F2
U2 F' U' F B' R' B
U2 F' U' B' R' F B
U2 F' U' B' R' B F
U2 F' U' B' F R' B
R F' U F B' U R'
R F' U B' F U R'
U2 F2 R' F' U' F' B
U2 F2 R' F' U' B F'
U2 F2 U' F2 B' R' B
U2 F2 U' B' R' F2 B
U2 F2 U' B' R' B F2
U2 F2 U' B' F2 R' B
R B U' F' B' L' U2
R B U' B' F' L' U2
U B' L U L' R' B
U B' L U R' L' B
U B' L U R' B L'
U B' L' U L R' B
U B' L' U R' L B
U B' L2 U L2 R' B
U B' L2 U R' L2 B
U B' L2 U R' B L2
U B' R' B U' R U
U B' R2 D' R F2 B
U B' R2 D' R B F2
R B' U' F' L' B U2
R B' U' F' B L' U2
R B' U' B F' L' U2
R' B2 U D2 F2 B' R'
R' B2 U D2 B' R' F2
R' B2 U D2 B' F2 R'
U B2 R' B R' D' F2
R' B2 D' R2 U B' R'
R B2 U' F' L' B2 U2
R B2 U' F' B2 L' U2
R B2 U' B2 F' L' U2
R' B2 D2 U F2 B' R'
R' B2 D2 U B' R' F2
R' B2 D2 U B' F2 R'
