B L D B' L2 F2 R
B' L' R F' U F2 U2
B' L' R F' U' D2 B2
B' L' R F' D R2 U'
B' L' R F' D2 U' B2
B' L' R2 U F U2 R
B' L' U D' F L' U2
B' L' D' U F L' U2
B' R L' F' U F2 U2
B' R L' F' U' D2 B2
B' R L' F' D R2 U'
B' R L' F' D2 U' B2
B' R D L' F' R U'
D2 R' B' L' F U' B2
B' R2 L' U F U2 R
R D B' L' F' R U'
B' D2 L' R' F U' B
B' D2 L' F R' U' B
B' D2 R' L' F U' B
D2 B' L' R' F U' B
D2 B' L' F R' U' B
R2 B' L' U F U2 R
D2 B' R' L' F U' B
R B' L' F' U F2 U2
R B' L' F' U' D2 B2
R B' L' F' D R2 U'
R B' L' F' D2 U' B2
R B' D L' F' R U'
