U L' U R' U2 B
R' U' L' U' B R
U2 R' U' L' U' B
B2 D2 L D F2 B'
B2 D2 L D B' F2
B2 D2 L B' D F2
D2 B2 L D F2 B'
D2 B2 L D B' F2
D2 B2 L B' D F2
L' R U R2 U2 B R
L' R U F' R2 U2 R
R' L U' L2 U' B R
B2 L R' D B R F2
B2 L R' B R D F2
B2 L R' B D R F2
R' L U2 D B R F2
B2 L U L2 R' U' B
R' L U2 B R D F2
R' L U2 B D R F2
B2 L U R' L2 U' B
R' L D U2 B R F2
R' L D' B2 U2 R B'
R' L D' B2 U2 B' R
D2 L D F2 B2 L B
D L D F2 B2 L B'
D2 L D B2 L F2 B
D2 L D B2 L B F2
D2 L D B2 F2 L B
D L D B2 L F2 B'
D L D B2 L B' F2
D L D B2 F2 L B'
R L' U R2 U2 B R
R L' U F' R2 U2 R
L2 R' U' L U' B R
L R' U' L2 U' B R
D2 L B2 D L F2 B
D2 L B2 D L B F2
D2 L B2 D F2 L B
L R' U2 D B R F2
L R' U2 B R D F2
U L' R U R2 U2 B
L R' U2 B D R F2
U L' R U F' R2 U2
L2 R' U2 B D' R F'
B2 L' R' U' L2 B R
B2 L' R' U' B L2 R
L R' D U2 B R F2
B2 L' R' U' B R L2
L R' D' B2 U2 R B'
L R' D' B2 U2 B' R
U2 L' U L R' U2 B
U' L' U R' U2 B R
U2 L' U R' L U2 B
U L' U R F' R2 U2
U L' U R' U2 D B
U L' U R' U2 D' B
U L' U R' U2 D2 B
U L' U R' U2 B D
U L' U R' U2 B D'
U L' U R' U2 B D2
U L' U R' D U2 B
U L' U R' D' U2 B
U L' U R' D2 U2 B
U L' U R' F U2 B
U L' U R' F' U2 B
U L' U R' F2 U2 B
U L' U F R' U2 B
U L' U F' R' U2 B
U L' U F2 R' U2 B
U L' U' D2 B2 L B'
U2 L' U' B2 L R' B
U2 L' U' B2 R' L B
U L' U' B2 D2 L B'
U L' D2 U' B2 L B'
U L' D2 B2 U' L B'
R' L2 U' L U' B R
R' L2 U2 B D' R F'
U2 L' B2 U' L R' B
U2 L' B2 U' R' L B
U L' B2 R' U' L B
