U' L2 B' U' R' F'
U F R2 U R' F'
U F U R' F' R2
U F B' R' U R2
U B' R' F U R
U B' F R' U R2
F L U R F R B
F L U R2 F B R
F L U R2 B F R
F L U F R D2 B2
F L U F D2 R B2
F L U F D2 B2 R
F L' U' F' B' U2 R'
F L' U' B' F' U2 R'
R' L' B' U' F' U' L'
L' R' B' U' F' U' L'
U' L' F' L' B' U' R'
U' L' B' U' R' F' L'
U' L2 D B' U' R' F'
U' L2 D' B' U' R' F'
U' L2 D2 B' U' R' F'
U' L2 F' B' L' U' R'
U' L2 B' L U' R' F'
U' L2 B' L' U' R' F'
U' L2 B' L2 U' R' F'
U' L2 B' U' R' D F'
U' L2 B' U' R' D' F'
U' L2 B' U' R' D2 F'
U' L2 B' U' R' F' D
U' L2 B' U' R' F' D'
U' L2 B' U' R' F' D2
U' L2 B' U' D R' F'
U' L2 B' U' D' R' F'
U' L2 B' U' D2 R' F'
U' L2 B' U' F R' F'
U' L2 B' U' F' R' F'
U' L2 B' U' F2 R' F'
U' L2 B' D U' R' F'
U' L2 B' D' U' R' F'
U' L2 B' D2 U' R' F'
U' L2 B' F' L' U' R'
R2 U F B' R' B U
R U F B U2 L U'
R U F B' R' B2 U
R U B F U2 L U'
R2 U B' R' F B U
R2 U B' R' B F U
R U B' R' F B2 U
R U B' R' B2 F U
R2 U B' F R' B U
R U B' F R' B2 U
R' U' L' F' L' B' U'
R' U' L2 F' B' L' U'
U R F R2 U R' F'
U R F U R' F' R2
R' U' L2 B' F' L' U'
U R F B' R' U R2
U R B' R' F U R
U R B' F R' U R2
L2 U' D' B' L U' R'
R' U' F' L' U' D' L2
R' U' F' L' U2 F2 U
R' U' F' L' D' U' L2
R' U' F' L' D2 B2 U'
R' U' F' U2 F2 R U
R' U' F' D' L' U' L'
R' U' F' D2 L' B2 U'
R' U' F' D2 B2 L' U'
U2 R' U' F U R F2
L2 U' B' L' U' R' F
L2 U' B' L' U' F R'
U R' F R2 U R' F'
U R' F U R' F' R2
U R' F B' R' U R2
U R' B' R' F U R
U R' B' F R' U R2
U2 R2 U' F U R F'
U R2 F R2 U R' F'
U R2 F U R' F' R2
U R2 F B' R' U R2
U R2 B' R' F U R
U R2 B' F R' U R2
U' D L2 B' U' R' F'
D' U F R2 U R' F'
D' U F U R' F' R2
D2 U F R2 U R' F'
D2 U F U R' F' R2
D' U F B' R' U R2
D2 U F B' R' U R2
D U F R2 U R' F'
D U F U R' F' R2
U D F R2 U R' F'
U D F U R' F' R2
D U F B' R' U R2
U D F B' R' U R2
B' U F R2 U R' F'
B' U F U R' F' R2
B2 U F R2 U R' F'
B2 U F U R' F' R2
B' U F B' R' U R2
B2 U F B' R' U R2
B U F R2 U R' F'
B U F U R' F' R2
D' U B' R' F U R
D2 U B' R' F U R
B U F B' R' U R2
D' U B' F R' U R2
D2 U B' F R' U R2
D U B' R' F U R
U D B' R' F U R
D U B' F R' U R2
U D B' F R' U R2
B' U B' R' F U R
B2 U B' R' F U R
B' U B' F R' U R2
B2 U B' F R' U R2
B U B' R' F U R
B U B' F R' U R2
U' D' L2 B' U' R' F'
D' U' L2 B' U' R' F'
D2 U' L2 B' U' R' F'
L2 D' U' B' L U' R'
D U' L2 B' U' R' F'
B' U' L2 B' U' R' F'
B2 U' L2 B' U' R' F'
B U' L2 B' U' R' F'
U D' F R2 U R' F'
U D' F U R' F' R2
U D' F B' R' U R2
U D' B' R' F U R
U D' B' F R' U R2
U' D2 L2 B' U' R' F'
U D2 F R2 U R' F'
U D2 F U R' F' R2
U D2 F B' R' U R2
U D2 B' R' F U R
U D2 B' F R' U R2
U F R B' R' U R
U F R' U R' F' R'
U F R' B' R' U R'
U F R2 U R' D F'
U F R2 U R' D' F'
U F R2 U R' D2 F'
U F R2 U R' F' D
U F R2 U R' F' D'
U F R2 U R' F' D2
U F R2 U D R' F'
U F R2 U D' R' F'
U F R2 U D2 R' F'
U F R2 U F R' F'
U F R2 U F' R' F'
U F R2 U F2 R' F'
U F R2 D U R' F'
U F R2 D' U R' F'
U F R2 D2 U R' F'
U F U R U2 B U2
U F U R' F R2 F2
U F U R' F' R2 D
U F U R' F' R2 D'
U F U R' F' R2 D2
U F U R' F2 R2 F
U F U D R' F' R2
U F U D' R' F' R2
U F U D2 R' F' R2
U F U F R' F' R
U F U' L U2 R F
U F U' L' B' U2 R
U F D R2 U R' F'
U F D U R' F' R2
U F D B' R' U R2
U F D' R2 U R' F'
U F D' U R' F' R2
U F D' B' R' U R2
U F D2 R2 U R' F'
U F D2 U R' F' R2
U F D2 B' R' U R2
U F B U2 L U' R
U F B' R' U R2 D
U F B' R' U R2 D'
U F B' R' U R2 D2
U F B' R' D B2 U
U F B' R' B U R2
U F B' R' B' U R2
U F B' R' B2 U R2
U F B' U R D' F2
U F B' D R' U R2
U F B' D' R' U R2
U F B' D2 R' U R2
U F B2 U D' R F'
U F B2 D' U R F'
U F' B' R' F2 U R
U B F U2 L U' R
L' B' L U F U R
U' B' L' U' R' F' L'
L' B' L' U' B' U' R'
L' B' R U B U L
L' B' R' U' F' U' L'
U B' R F R2 U R'
U B' R' D F U R
U B' R' D' F U R
U B' R' D2 F U R
U B' R' F U R D
U B' R' F U R D'
U B' R' F U R D2
U B' R' F U D R
U B' R' F U D' R
U B' R' F U D2 R
U B' R' F D U R
U B' R' F D' U R
U B' R' F D2 U R
U B' R' F B U R
U B' R' F B' U R
U B' R' F B2 U R
U' B' U' R' F' D' L2
U B' R' B F U R
U B' R' B' F U R
U B' R' B2 F U R
U' B' U2 F U R' F'
U B' D R' F U R
U B' D F R' U R2
U B' D' R' F U R
U B' D' F R' U R2
U B' D2 R' F U R
U B' D2 F R' U R2
U B' F R' U R2 D
U B' F R' U R2 D'
U B' F R' U R2 D2
U B' F R' D B2 U
U B' F R' B U R2
U B' F R' B' U R2
U B' F R' B2 U R2
U B' F U R D' F2
U B' F D R' U R2
U B' F D' R' U R2
U B' F D2 R' U R2
U B' F' R' F2 U R
R B2 U F B' R' U
R B2 U B' R' F U
R B2 U B' F R' U
U B2 D' F U R F'
U B2 F U D' R F'
U B2 F D' U R F'
