B' R U2 B' R' U'
B2 U2 B L R U
B2 U2 B R L U
R B' U2 B' R' U'
B2 L U2 B L R U
B2 L U2 B R L U
L2 R F R B2 L U'
R2 L B2 L F R U'
B' L' R F' L' F U
B2 L' U2 B L R U
B2 L' U2 B R L U
B' L' D2 R F' L' U
B' L' F' L' F R U
B' L2 R F U2 R U'
B' L2 R F' L' F2 U
F L2 R F L' B2 U'
F L2 R F B2 L' U'
F L2 R B2 F L' U'
R L2 F R B2 L U'
L2 R2 F B2 L R U'
L2 R2 F B2 R L U'
R2 L2 F B2 L R U'
R2 L2 F B2 R L U'
B2 L2 U2 B L R U
B2 L2 U2 B R L U
L R2 B2 L F R U'
L2 R2 B2 F L R U'
L2 R2 B2 F R L U'
R2 L2 B2 F L R U'
R2 L2 B2 F R L U'
F L2 B2 R F L' U'
B' R L' F' L' F U
B' R L2 F U2 R U'
B' R L2 F' L' F2 U
B' R U L' D' B' L
F R L2 F L' B2 U'
F R L2 F B2 L' U'
F R L2 B2 F L' U'
B' R U2 R B' R' U'
B' R U2 R' B' R' U'
B' R U2 R2 B' R' U'
B' R U2 D B' R' U'
B' R U2 D' B' R' U'
B' R U2 D2 B' R' U'
B' R U2 B' R' U' D
B' R U2 B' R' U' D'
B' R U2 B' R' U' D2
B' R U2 B' R' D U'
B' R U2 B' R' D' U'
B' R U2 B' R' D2 U'
B' R U2 B' D R' U'
B' R U2 B' D' R' U'
B' R U2 B' D2 R' U'
B' R D U2 B' R' U'
U' R D B' U L2 B2
U' R D B' U B2 L2
B' R D' U2 B' R' U'
B' R D2 U2 B' R' U'
U' R D2 F2 B' U B2
U' R D2 B' F2 U B2
B' R F U2 R B' U'
B' R F U2 B' R U'
B' R F' L2 F L U
D2 R F' B' L' F' U
B' R F2 L2 F L' U
D R F' B' L' U L'
D2 R F2 D2 B' L U
U' R B' L2 F U B2
D' R B' U' R U2 B
D R B' L' U L' B'
U' R B' U2 B' U' B'
U' R B' D L2 F U
D2 R B' F' L' F' U
D R B' U L' B' L'
U2 R B' U2 R' B' U'
D R B' F' L' U L'
B2 R2 F' U2 L' R' U
B2 R2 F' U2 R' L' U
B R2 F' L' R' B2 U
B R2 F' R' L' B2 U
B R2 F' R' B2 L' U
U' D R B' U L2 B2
U' D R B' U B2 L2
R D F' B' L' U L'
R D B' L' U L' B'
R D B' U L' B' L'
R D B' F' L' U L'
U' D B' R U L2 B
U' D B' R U B L2
D2 U' R F2 B' U B2
D2 U' R B' F2 U B2
D U' R B' U L2 B2
D U' R B' U B2 L2
D2 U' B' R F2 U B
D U' B' R U L2 B
D U' B' R U B L2
U' D2 R F2 B' U B2
U' D2 R B' F2 U B2
B2 U2 L B L R U
B2 U2 L B R L U
B2 U2 L' B L R U
B2 U2 L' B R L U
B2 U2 L2 B L R U
B2 U2 L2 B R L U
R D2 F' B' L' F' U
U' D2 B' R F2 U B
R D2 F2 D2 B' L U
B2 U2 D B L R U
B2 U2 D B R L U
B2 U2 D' B L R U
R D2 B' F' L' F' U
B2 U2 D' B R L U
B2 U2 D2 B L R U
B2 U2 D2 B R L U
B2 U2 B L R U D
B2 U2 B L R U D'
B2 U2 B L R U D2
B2 U2 B L R D U
B2 U2 B L R D' U
B2 U2 B L R D2 U
B2 U2 B L D R U
B2 U2 B L D' R U
B2 U2 B L D2 R U
B2 U2 B R L U D
B2 U2 B R L U D'
B2 U2 B R L U D2
B2 U2 B R L D U
B2 U2 B R L D' U
B2 U2 B R L D2 U
B2 U2 B R D L U
B2 U2 B R D' L U
B2 U2 B R D2 L U
B2 U2 B D L R U
B2 U2 B D R L U
B2 U2 B D' L R U
B2 U2 B D' R L U
B2 U2 B D2 L R U
B2 U2 B D2 R L U
B' U2 B' R' U' D' F2
B' U2 B' R' U2 R2 U
B' U2 B' R' D' U' F2
B' U2 B' R' D2 L2 U'
B2 U2 B2 R B' L U
L2 F D R U' L2 F'
L2 F D R U' F' L2
B' D R U2 B' R' U'
R F D2 F2 B' L' U
R F D2 B' F2 L' U
L2 F B2 D R U' F'
R F B' U2 R B' U'
R F B' U2 B' R U'
B2 D U2 B L R U
B2 D U2 B R L U
B' D' R U2 B' R' U'
R F' D B' L' U L'
R F' D2 B' L' F2 U
R F' B' L2 F L U
B2 D' U2 B L R U
B2 D' U2 B R L U
L2 F2 L' F' R B2 U'
L2 F2 L' F' B2 R U'
L2 F2 L' B2 F' R U'
B' D2 R U2 B' R' U'
R F2 D2 F2 B' L U
R F2 D2 B' L F2 U
R F2 D2 B' F2 L U
L2 F2 B2 L' F' R U'
R F2 B' L2 F L' U
B2 D2 U2 B L R U
B2 D2 U2 B R L U
F2 D2 F2 R B' L U
F2 D2 F2 B' L R U
F2 D2 F2 B' R L U
R' B R2 F' L' B2 U
R' B R2 F' B2 L' U
R' B R2 B2 F' L' U
F2 D2 B' F2 L R U
F2 D2 B' F2 R L U
U' B' L R U B L
U' B' L2 R F U B
D B' L' R U L' B'
U' B' R L U B L
U' B' R L2 F U B
U' B' R U B D L2
U' B' R U2 B' U' B2
D' B' R U' R U2 B
D2 B' R F' L' F' U
U2 B' R U2 R2 B' U'
U2 B' R U2 B' R2 U'
R B' L' F' L' F U
U2 B' R D2 L2 F U
D B' R L' U L' B'
D B' R U L' B' L'
D B' R F' L' U L'
R' B' R2 U2 B' R' U'
R B' L2 F U2 R U'
R B' L2 F' L' F2 U
B' F' L2 F L R U
B' F' L2 F R L U
F' B' L2 F L R U
F' B' L2 F R L U
R B' U L' D' B' L
R2 B' U2 B' L R' U'
R2 B' U2 B' R' L U'
R B' U2 R B' R' U'
R B' U2 R' B' R' U'
R B' U2 R2 B' R' U'
R B' U2 D B' R' U'
R B' U2 D' B' R' U'
R B' U2 D2 B' R' U'
R B' U2 B' R' U' D
R B' U2 B' R' U' D'
R B' U2 B' R' U' D2
R B' U2 B' R' D U'
R B' U2 B' R' D' U'
R B' U2 B' R' D2 U'
R B' U2 B' D R' U'
R B' U2 B' D' R' U'
R B' U2 B' D2 R' U'
R B' D U2 B' R' U'
R B' D' U2 B' R' U'
R B' D2 U2 B' R' U'
R B' F U2 R B' U'
R B' F U2 B' R U'
R B' F' L2 F L U
R2 B2 L U2 B L U
R B' F2 L2 F L' U
B2 F2 L' R2 F' R U'
F2 B2 L' R2 F' R U'
B2 F2 R2 L' F' R U'
F2 B2 R2 L' F' R U'
R' B2 U2 B L R2 U
R' B2 U2 B R2 L U
L B2 U2 R B L U
U B2 U2 B R U B
L2 B2 F D R U' F'
L2 B2 F2 L' F' R U'
