U' B R' F' B2
U' B R' B2 F'
U L' B' L U2 B'
R' U' B R' F' B2
R' U' B R' B2 F'
R2 U' B R' F' B2
R2 U' B R' B2 F'
R U' B R' F' B2
R U' B R' B2 F'
U' R' D2 F' R B'
U' R' D2 F' B' R
U' R' D2 B' F' R
U' R' F' B R' B2
U' R' B F' R' B2
D' R2 U' B' R' F'
D2 U' R' F' R B'
D2 U' R' F' B' R
D2 U' R' B' F' R
D2 U' B' R' F' R
U' D2 R' F' R B'
U' D2 R' F' B' R
U' D2 R' B' F' R
U' D2 B' R' F' R
U' F B R' F' B2
U' F B R' B2 F'
U' F' B R' F' B2
U' F' B R' B2 F'
U' F2 B R' F' B2
U' F2 B R' B2 F'
U' B R' F' B2 D
U' B R' F' B2 D'
U' B R' F' B2 D2
U' B R' B2 D F'
U' B R' B2 D' F'
U' B R' B2 D2 F'
U' B R' B2 F' D
U' B R' B2 F' D'
U' B R' B2 F' D2
U' B R2 B2 R F'
U B U2 R' F' B2
U B U2 R' B2 F'
U' B F R' F' B2
U' B F R' B2 F'
U' B F' R' F' B2
U' B F' R' B2 F'
U' B F2 R' F' B2
U' B F2 R' B2 F'
U' B' U2 L U2 F
D' L R F' L' U' B'
B L U' R' F' L' B2
B L U' R' F' B2 L'
B L U' R' B2 F' L'
F L U2 R U B R'
U L U2 R F B R'
U L U2 R B R' F
U L U2 R B F R'
U L U2 F R B R'
D2 L F' L' U' R B'
D2 L F' L' U' B' R
U' L B L' R' F' B'
U' L B L' R' B' F'
U' L B R' L' F' B'
U' L B R' L' B' F'
U' L B2 L' B' R' F'
U L B2 U2 F R B
F' L' U' B D2 R' B
U L' F B' L U2 B'
U L' F' B' L U2 B'
U L' F2 B' L U2 B'
U L' B' L U2 D B'
U L' B' L U2 D' B'
U L' B' L U2 D2 B'
U L' B' L U2 B' D
U L' B' L U2 B' D'
U L' B' L U2 B' D2
U L' B' L D U2 B'
U L' B' L D' U2 B'
U L' B' L D2 U2 B'
U L' B' L F U2 B'
U L' B' L F' U2 B'
U L' B' L F2 U2 B'
U L' B' L' F L2 U2
U L' B' F L U2 B'
U L' B' F' L U2 B'
U L' B' F2 L U2 B'
D2 L2 U F L' B' U2
L' U L' F B' L U2
R' U L' B' L U2 B'
L' U L' B' F L U2
B L2 F R U R2 B2
B L2 F R U B2 R2
L2 U L' B' L F U2
R2 U L' B' L U2 B'
U L2 F L B' L U2
R U L' B' L U2 B'
U L2 F B' L B' U2
U' L2 B L2 R' F' B'
U' L2 B L2 R' B' F'
U' L2 B R' L2 F' B'
U' L2 B R' L2 B' F'
U' L2 B2 L2 B' R' F'
U L2 B' F L B' U2
D' R L F' L' U' B'
L2 U D2 F L' B' U2
L2 U F L' B' L U2
L2 U F B U2 R' F'
L2 U F B' L U2 F
U2 R U B R' F' B2
U2 R U B R' B2 F'
D2 R U' R' F' R B'
D2 R U' R' F' B' R
D2 R U' R' B' F' R
D2 R U' B' R' F' R
R' U B U2 R' F' B2
R' U B U2 R' B2 F'
L' U B' L U2 F B'
L' U B' L U2 B' F
R2 U B U2 R' F' B2
R2 U B U2 R' B2 F'
L2 U B F U2 R' F'
R U B U2 R' F' B2
R U B U2 R' B2 F'
U' R U2 B U2 R' B2
L2 U B' F L U2 F
U' R D2 R2 F' R B'
U' R D2 R2 F' B' R
U' R D2 R2 B' F' R
R' U' R' D2 F' R B'
R' U' R' D2 F' B' R
R' U' R' D2 B' F' R
R' U' R' F' B R' B2
R' U' R' B F' R' B2
U' R B R' B2 D2 F2
R2 U' R' D2 F' R B'
R2 U' R' D2 F' B' R
R2 U' R' D2 B' F' R
R2 U' R' F' B R' B2
R2 U' R' B F' R' B2
R U' R' D2 F' R B'
R U' R' D2 F' B' R
R U' R' D2 B' F' R
R U' R' F' B R' B2
R U' R' B F' R' B2
U' R B' U2 L B2 U2
U' R B' U2 B2 U2 R'
R' U' D2 R' F' R B'
R' U' D2 R' F' B' R
R' U' D2 R' B' F' R
L' U' D2 R' F' B R
L' U' D2 R' B F' R
R' U' D2 B' R' F' R
R2 U' D2 R' F' R B'
R2 U' D2 R' F' B' R
R2 U' D2 R' B' F' R
R U' D2 R' F' R B'
R U' D2 R' F' B' R
R U' D2 R' B' F' R
R2 U' D2 B' R' F' R
R' U' F B R' F' B2
R' U' F B R' B2 F'
R U' D2 B' R' F' R
R2 U' F B R' F' B2
R2 U' F B R' B2 F'
R' U' F' B R' F' B2
R' U' F' B R' B2 F'
R U' F B R' F' B2
R U' F B R' B2 F'
R2 U' F' B R' F' B2
R2 U' F' B R' B2 F'
R' U' F2 B R' F' B2
R' U' F2 B R' B2 F'
U2 R' U B R' F' B2
U2 R' U B R' B2 F'
R U' F' B R' F' B2
R U' F' B R' B2 F'
D2 R' U' R' F' R B'
D2 R' U' R' F' B' R
D2 R' U' R' B' F' R
R' U' B R' F' B2 D
R' U' B R' F' B2 D'
R' U' B R' F' B2 D2
R' U' B R' B2 D F'
R' U' B R' B2 D' F'
R' U' B R' B2 D2 F'
R' U' B R' B2 F' D
R' U' B R' B2 F' D'
R' U' B R' B2 F' D2
R' U' B R2 B2 R F'
D2 R' U' B' R' F' R
R2 U' F2 B R' F' B2
R2 U' F2 B R' B2 F'
L2 U' B R' F' D2 B2
R' U' B F R' F' B2
R' U' B F R' B2 F'
R' U' B F' R' F' B2
R' U' B F' R' B2 F'
L' U' B D2 R' F' B
L' U' B D2 R' B F'
R U' F2 B R' F' B2
R U' F2 B R' B2 F'
R' U' B F2 R' F' B2
R' U' B F2 R' B2 F'
R2 U' B R' F' B2 D
R2 U' B R' F' B2 D'
R2 U' B R' F' B2 D2
R2 U' B R' B2 D F'
R2 U' B R' B2 D' F'
R2 U' B R' B2 D2 F'
R2 U' B R' B2 F' D
R2 U' B R' B2 F' D'
R2 U' B R' B2 F' D2
R2 U' B R2 B2 R F'
R U' B R' F' B2 D
R U' B R' F' B2 D'
R U' B R' F' B2 D2
R U' B R' B2 D F'
R U' B R' B2 D' F'
R U' B R' B2 D2 F'
R U' B R' B2 F' D
R U' B R' B2 F' D'
R U' B R' B2 F' D2
R U' B R2 B2 R F'
R' U' B' U2 L U2 F
R2 U' B F R' F' B2
R2 U' B F R' B2 F'
R2 U' B F' R' F' B2
R2 U' B F' R' B2 F'
R2 U' B F2 R' F' B2
R2 U' B F2 R' B2 F'
R U' B F R' F' B2
R U' B F R' B2 F'
R U' B F' R' F' B2
R U' B F' R' B2 F'
R U' B F2 R' F' B2
R U' B F2 R' B2 F'
R2 U' B' U2 L U2 F
U' R' D B' D F' R
R U' B' U2 L U2 F
U' R' D' B' D' F' R
U' R' D2 F' R D B'
U' R' D2 F' R D' B'
U' R' D2 F' R D2 B'
U' R' D2 F' R B' D
U' R' D2 F' R B' D'
U' R' D2 F' R B' D2
U' R' D2 F' R' B' R2
U' R' D2 F' D R B'
U' R' D2 F' D B' R
U' R' D2 F' D' R B'
U' R' D2 F' D' B' R
U' R' D2 F' D2 R B'
U' R' D2 F' D2 B' R
U' R' D2 F' B R B2
U' R' D2 F' B' R D
U' R' D2 F' B' R D'
U' R' D2 F' B' R D2
U' R' D2 F' B' D R
U' R' D2 F' B' D' R
U' R' D2 F' B' D2 R
U' R' D2 B F' R B2
U' R' D2 B' F' R D
U' R' D2 B' F' R D'
U' R' D2 B' F' R D2
U' R' D2 B' F' D R
U' R' D2 B' F' D' R
U' R' D2 B' F' D2 R
U' R' F B R' F2 B2
U' R' F B R' B2 F2
U' R' F' R B R' B2
U' R' F' R' B R' B2
U' R' F' R2 B R' B2
U' R' F' B R B2 R2
U' R' F' B R' B2 D
U' R' F' B R' B2 D'
U' R' F' B R' B2 D2
U' R' F' B R2 B2 R
U' R' F' B' U2 L U2
L U2 R U B R' F'
U' R' F2 B R' F B2
U' R' F2 B R' B2 F
U' R' B F R' F2 B2
U' R' B F R' B2 F2
U' R' B F' R B2 R2
U' R' B F' R' B2 D
U' R' B F' R' B2 D'
U' R' B F' R' B2 D2
U' R' B F' R2 B2 R
U' R' B F2 R' F B2
U' R' B F2 R' B2 F
U' R' B' U2 L U2 F'
U' R' B' F' U2 L U2
U2 R2 U B R' F' B2
U2 R2 U B R' B2 F'
D2 R2 U' R' F' R B'
D2 R2 U' R' F' B' R
D2 R2 U' R' B' F' R
D' R2 U' R' F' B' R'
D' R2 U' R' B' F' R'
D' R2 U' D B' R' F'
D' R2 U' D' B' R' F'
D' R2 U' D2 B' R' F'
D' R2 U' F B' R' F'
D' R2 U' F' B' R' F'
D' R2 U' F2 B' R' F'
D2 R2 U' B' R' F' R
D' R2 U' B' R' D F'
D' R2 U' B' R' D' F'
D' R2 U' B' R' D2 F'
D' R2 U' B' R' F' D
D' R2 U' B' R' F' D'
D' R2 U' B' R' F' D2
D' R2 U' B' D R' F'
D' R2 U' B' D' R' F'
D' R2 U' B' D2 R' F'
D' R2 U' B' F R' F'
D' R2 U' B' F' R' F'
D' R2 U' B' F2 R' F'
D' R2 D U' B' R' F'
D' R2 D' U' B' R' F'
D' R2 D2 U' B' R' F'
U' R2 B R F' R2 B2
U' R2 B R F' B2 R2
U' R2 B R B2 F' R2
U R2 B R' B2 L F
L' D F' L' R F U'
L' D F' R L' F U'
D2 U L2 F L' U2 F
L D F' L' F U' B'
U' D R' D F' R B'
U' D R' D F' B' R
U' D R' D B' F' R
U' D R' B' D F' R
D2 U F2 U2 B' R' F'
U' D B' R' D F' R
U' D B' D R' F' R
U' D B2 D' B R' F'
R' D' R2 U' B' R' F'
L D' R F' L' U' B'
R2 D' R2 U' B' R' F'
R D' R2 U' B' R' F'
U' D' R' F' B' D' R2
D' U' R' F' B' D' R2
D2 U' R' F' R D B'
D2 U' R' F' R D' B'
D2 U' R' F' R D2 B'
D2 U' R' F' R B' D
D2 U' R' F' R B' D'
D2 U' R' F' R B' D2
D2 U' R' F' R' B' R2
D2 U' R' F' D R B'
D2 U' R' F' D B' R
D2 U' R' F' D' R B'
D2 U' R' F' D' B' R
D2 U' R' F' D2 R B'
D2 U' R' F' D2 B' R
D2 U' R' F' B R B2
D2 U' R' F' B' R D
D2 U' R' F' B' R D'
D2 U' R' F' B' R D2
D2 U' R' F' B' D R
D2 U' R' F' B' D' R
D2 U' R' F' B' D2 R
U' D' R' B' D' F' R2
D' U' R' B' D' F' R2
U' D' R' B' F' D' R2
D' U' R' B' F' D' R2
D2 U' R' B F' R B2
D2 U' R' B' F' R D
D2 U' R' B' F' R D'
D2 U' R' B' F' R D2
D2 U' R' B' F' D R
D2 U' R' B' F' D' R
D2 U' R' B' F' D2 R
D U' R' D F' R B'
D U' R' D F' B' R
D U' R' D B' F' R
D2 U' R2 F' R F' B'
D2 U' R2 F' R B' F'
D2 U' R2 F' B' R F'
D2 U' R2 B' R F' R
D2 U' R2 B' F' R F'
D U' R' B' D F' R
D2 U' F' R B' D2 F2
D2 U' F' R' F' R2 B'
D2 U' F' R' F' B' R2
D2 U' F' R' B' F' R2
D2 U' F' B' R' F' R2
D2 U' B R' F' R B2
D2 U' B R' F' B2 R
D2 U' B R' B2 F' R
D2 U' B' R' F' R D
D2 U' B' R' F' R D'
D2 U' B' R' F' R D2
D2 U' B' R' F' D R
D2 U' B' R' F' D' R
D2 U' B' R' F' D2 R
D2 U' B' R2 F' R F'
U' D' B' D' R' F' R
D' U' B' D' R' F' R
D2 U' B' F' R' F' R2
U2 D' B' R' B U B'
D2 U' B2 R' F' R B
D U' B' R' D F' R
U' D' B2 D B R' F'
D' U' B2 D B R' F'
D U' B' D R' F' R
D2 U' B2 D2 B R' F'
D U' B2 D' B R' F'
F U' B R' B2 D' F2
U D2 L2 F L' U2 F
U' D2 R' F' R D B'
U' D2 R' F' R D' B'
U' D2 R' F' R D2 B'
U' D2 R' F' R B' D
U' D2 R' F' R B' D'
U' D2 R' F' R B' D2
U' D2 R' F' R' B' R2
U' D2 R' F' D R B'
U' D2 R' F' D B' R
U' D2 R' F' D' R B'
U' D2 R' F' D' B' R
U' D2 R' F' D2 R B'
U' D2 R' F' D2 B' R
U' D2 R' F' B R B2
U' D2 R' F' B' R D
U' D2 R' F' B' R D'
U' D2 R' F' B' R D2
U' D2 R' F' B' D R
U' D2 R' F' B' D' R
U' D2 R' F' B' D2 R
R' D2 U' R' F' R B'
R' D2 U' R' F' B' R
R' D2 U' R' B' F' R
L2 D2 U F L' B' U2
U' D2 R' B F' R B2
U' D2 R' B' F' R D
U' D2 R' B' F' R D'
U' D2 R' B' F' R D2
U' D2 R' B' F' D R
U' D2 R' B' F' D' R
U' D2 R' B' F' D2 R
L' D2 U' R' F' B R
L' D2 U' R' B F' R
R' D2 U' B' R' F' R
U' D2 R2 F' R F' B'
U' D2 R2 F' R B' F'
U' D2 R2 F' B' R F'
R2 D2 U' R' F' R B'
R2 D2 U' R' F' B' R
R2 D2 U' R' B' F' R
U' D2 R2 B' R F' R
U' D2 R2 B' F' R F'
R2 D2 U' B' R' F' R
R D2 U' R' F' R B'
R D2 U' R' F' B' R
R D2 U' R' B' F' R
R D2 U' B' R' F' R
U' D2 F' R B' D2 F2
U' D2 F' R' F' R2 B'
U' D2 F' R' F' B' R2
U' D2 F' R' B' F' R2
U' D2 F' B' R' F' R2
L D2 F' L' U' R B'
L D2 F' L' U' B' R
U' D2 B R' F' R B2
U' D2 B R' F' B2 R
U' D2 B R' B2 F' R
F U2 R U B R' B2
U' D2 B' R' F' R D
U' D2 B' R' F' R D'
U' D2 B' R' F' R D2
U' D2 B' R' F' D R
U' D2 B' R' F' D' R
U' D2 B' R' F' D2 R
U' D2 B' R2 F' R F'
D' U2 B' R' B U B'
U D2 F2 U2 B' R' F'
F U2 R B U R' B2
U' D2 B' F' R' F' R2
U' D2 B2 R' F' R B
U' D2 B2 D2 B R' F'
U F L' B' L U2 B'
U' F R' D2 F' R B'
U' F R' D2 F' B' R
U' F R' D2 B' F' R
U' F R' F' B R' B2
U' F R' B F' R' B2
F U2 B R U R2 B2
F U2 B R U B2 R2
L F U2 R U B R'
U F U2 B R' F' B2
U F U2 B R' B2 F'
U' F D2 R' F' R B'
U' F D2 R' F' B' R
U' F D2 R' B' F' R
B D L2 F R U R2
U' F D2 B' R' F' R
U' F B R' F' B2 D
U' F B R' F' B2 D'
U' F B R' F' B2 D2
U' F B R' B2 D F'
U' F B R' B2 D' F'
U' F B R' B2 D2 F'
U' F B R' B2 F' D
U' F B R' B2 F' D'
U' F B R' B2 F' D2
U' F B R2 B2 R F'
U' F B' U2 L U2 F
U F B U2 R' F' B2
U F B U2 R' B2 F'
L F' L' U' B R' B2
U F' L' B' L U2 B'
U' F' R' D2 F' R B'
U' F' R' D2 F' B' R
U' F' R' D2 B' F' R
U' F' R' F' B R' B2
U' F' R' B F' R' B2
L2 F' D L' R2 F U'
L2 F' D L' F R2 U'
L2 F' D R2 L' F U'
U F' U2 B R' F' B2
U F' U2 B R' B2 F'
U' F' D2 R' F' R B'
U' F' D2 R' F' B' R
U' F' D2 R' B' F' R
L F' D L' F U' B'
U' F' D2 B' R' F' R
U' F' B R' F' B2 D
U' F' B R' F' B2 D'
U' F' B R' F' B2 D2
U' F' B R' B2 D F'
U' F' B R' B2 D' F'
U' F' B R' B2 D2 F'
U' F' B R' B2 F' D
U' F' B R' B2 F' D'
U' F' B R' B2 F' D2
U' F' B R2 B2 R F'
U' F' B' U2 L U2 F
U F' B U2 R' F' B2
U F' B U2 R' B2 F'
U F2 L' B' L U2 B'
U' F2 R' D2 F' R B'
U' F2 R' D2 F' B' R
U' F2 R' D2 B' F' R
U' F2 R' F' B R' B2
U' F2 R' B F' R' B2
U F2 U2 B R' F' B2
U F2 U2 B R' B2 F'
U' F2 D2 R' F' R B'
U' F2 D2 R' F' B' R
U' F2 D2 R' B' F' R
U' F2 D2 B' R' F' R
U' F2 B R' F' B2 D
U' F2 B R' F' B2 D'
U' F2 B R' F' B2 D2
U' F2 B R' B2 D F'
U' F2 B R' B2 D' F'
U' F2 B R' B2 D2 F'
U' F2 B R' B2 F' D
U' F2 B R' B2 F' D'
U' F2 B R' B2 F' D2
U' F2 B R2 B2 R F'
U' F2 B' U2 L U2 F
U' B L R' B2 L' F'
U F2 B U2 R' F' B2
U F2 B U2 R' B2 F'
U' B L' R' F' L B2
U' B L2 R' F' L2 B2
U' B L2 R' F' B2 L2
U' B L2 R' B2 L2 F'
U' B L2 R' B2 F' L2
U B L U2 R' F B2
U B L U2 R' B2 F
U B L U2 F R' B2
U' B R F R2 F' B2
U' B R F R2 B2 F'
U' B R F' R2 F' B2
U' B R F' R2 B2 F'
U' B R F2 R2 F' B2
U' B R F2 R2 B2 F'
U' B R' L B2 L' F'
U' B R' L' F' L B2
U' B R' L2 F' L2 B2
U' B R' L2 F' B2 L2
U' B R' L2 B2 L2 F'
U' B R' L2 B2 F' L2
U' B R' D F' D' B2
U' B R' D' F' D B2
U' B R' F' L B2 L'
U' B R' F' L2 B2 L2
U' B R' F' R' B2 R
U' B R' F' R2 B2 R2
U' B R' F' B D B
U' B R' F' B D' B
U' B R' F' B D2 B
U' B R' F' B' D B'
U' B R' F' B' D' B'
U' B R' F' B' D2 B'
U' B R' F2 B2 D F
U' B R' F2 B2 D' F
U' B R' F2 B2 D2 F
U' B R' B D F' B
U' B R' B D B F'
U' B R' B D' F' B
U' B R' B D' B F'
U' B R' B D2 F' B
U' B R' B D2 B F'
U' B R' B F' D B
U' B R' B F' D' B
U' B R' B F' D2 B
U' B R' B' D F' B'
U' B R' B' D B' F'
U' B R' B' D' F' B'
U' B R' B' D' B' F'
U' B R' B' D2 F' B'
U' B R' B' D2 B' F'
U' B R' B' F' D B'
U' B R' B' F' D' B'
U' B R' B' F' D2 B'
U' B R' B2 L' F' L
U' B R' B2 L2 F' L2
U' B R' B2 D F' D
U' B R' B2 D F' D'
U' B R' B2 D F' D2
U' B R' B2 D' F' D
U' B R' B2 D' F' D'
U' B R' B2 D' F' D2
U' B R' B2 D2 F' D
U' B R' B2 D2 F' D'
U' B R' B2 D2 F' D2
U' B R' B2 F2 D F
U' B R' B2 F2 D' F
U' B R' B2 F2 D2 F
U' B R2 B' R F' B'
U' B R2 B' R B' F'
U' B R2 B2 R D F'
U' B R2 B2 R D' F'
U' B R2 B2 R D2 F'
U' B R2 B2 R F' D
U' B R2 B2 R F' D'
U' B R2 B2 R F' D2
U B R B2 L R2 F
U B R B2 L F R2
U B R B2 R2 L F
U2 B U2 L U' R' B2
U' B D R' D' F' B2
U' B D R' D' B2 F'
U' B D R' F' D' B2
U B U2 R' F' B2 D
U B U2 R' F' B2 D'
U B U2 R' F' B2 D2
U B U2 R' B2 D F'
U B U2 R' B2 D' F'
U B U2 R' B2 D2 F'
U B U2 R' B2 F' D
U B U2 R' B2 F' D'
U B U2 R' B2 F' D2
U B U2 R2 B2 R F'
U B U2 F R' F' B2
U B U2 F R' B2 F'
U B U2 F' R' F' B2
U B U2 F' R' B2 F'
U B U2 F2 R' F' B2
U B U2 F2 R' B2 F'
U' B D2 R' D2 F' B2
U' B D2 R' D2 B2 F'
U' B F R' F' B2 D
U' B F R' F' B2 D'
U' B F R' F' B2 D2
U' B F R' B2 D F'
U' B F R' B2 D' F'
U' B F R' B2 D2 F'
U' B F R' B2 F' D
U' B F R' B2 F' D'
U' B F R' B2 F' D2
U' B F R2 B2 R F'
U' B F' R' F' B2 D
U' B F' R' F' B2 D'
U' B F' R' F' B2 D2
U' B F' R' B2 D F'
