U2 R' U' L' F' R
F' L R F L' D B2
F' L R F D L' B2
F' L R F D B2 L'
F' L R' U' R2 F L'
F' L R' U' F L' R2
F' L R' U' F R2 L'
U2 L R' U' L2 F' R
U2 L R' U' F' L2 R
U2 L R' U' F' R L2
R' L U' F' L2 R F2
R' L U' F' R L2 F2
R' L U' F' R F2 L2
B2 L U F' L2 R F2
B2 L U F' R L2 F2
B2 L U F' R F2 L2
L R F L2 D B2 R'
R L F L2 D B2 R'
R' L F' U' L2 R F2
R' L F' U' R L2 F2
R' L F' U' R F2 L2
B2 L F L2 D' B2 R'
B2 L F' U L2 R F2
B2 L F' U R L2 F2
B2 L F' U R F2 L2
L R' U' F' L2 R F2
L R' U' F' R L2 F2
L R' U' F' R F2 L2
U L' U R' U' F' R
L R' F' U' L2 R F2
L R' F' U' R L2 F2
L R' F' U' R F2 L2
U2 L2 R' U' L F' R
U2 L2 R' U' F' L R
U2 L2 R' U' F' R L
F' R L F L' D B2
F' R L F D L' B2
F' R L F D B2 L'
F' R' L U' R2 F L'
F' R' L U' F L' R2
F' R' L U' F R2 L'
U2 R' L U' L2 F' R
U2 R' L U' F' L2 R
U2 R' L U' F' R L2
U2 R' L2 U' L F' R
U2 R' L2 U' F' L R
U2 R' L2 U' F' R L
U' R' U' L' R' F' R
U' R' U' R' L' F' R
U2 R' U' L F' L2 R
U2 R' U' L F' R L2
U2 R' U' L' F' R D
U2 R' U' L' F' R D'
U2 R' U' L' F' R D2
U2 R' U' L' F' D R
U2 R' U' L' F' D' R
U2 R' U' L' F' D2 R
U2 R' U' L2 F' L R
U2 R' U' L2 F' R L
R' U2 R' U L' F' R
U2 R' B U' L' F' R
U2 R' B' U' L' F' R
U2 R' B2 U' L' F' R
L F L2 R D B2 R'
L F R L2 D B2 R'
R' F' L U' R F L'
L F' L2 R F2 D B2
L F' R L2 F2 D B2
L F' R F2 L2 D B2
L F' R' U' L2 R2 F2
L F' R' U' L2 F2 R2
L F' R' U' R2 L2 F2
L F' R' U' R2 F2 L2
L F' R' U' F2 L2 R2
L F' R' U' F2 R2 L2
B2 D' L B' U F L2
B2 F' L U R F L'
D' B2 L B' U F L2
F' B2 L U R F L'
