L2 B' L' R2 U' R'
L2 B' R2 L' U' R'
L2 R U R B' L' U'
L2 R U B' L' R U'
L2 R U B' R L' U'
F2 L R2 D F2 B U'
F2 L R2 D B F2 U'
F2 L R2 D2 B U' R2
F2 L R2 B U L2 U2
F2 L R2 B U' D2 R2
F2 L R2 B D F2 U'
F2 L R2 B D2 U' R2
R2 L D F U' L' R'
R2 L D F U' R' L'
L2 R B' L' R U' R'
L2 R B' R L' U' R'
F2 L' U' L2 R2 B U'
F2 L' U' R2 L2 B U'
F2 L' U' R2 B L2 U'
R L2 U R B' L' U'
R L2 U B' L' R U'
R L2 U B' R L' U'
L R2 D F U' L' R'
L R2 D F U' R' L'
D2 L2 U2 B' L' U' R
R L2 B' L' R U' R'
R L2 B' R L' U' R'
L2 R2 B' D L' F U'
R2 L2 B' D L' F U'
R U L2 R B' L' U'
R U L2 B' L' R U'
R U L2 B' R L' U'
R U R L2 B' L' U'
U' L2 B' L' R2 U' R'
U2 L2 B' L' R2 U' R'
U' L2 B' R2 L' U' R'
B L2 B' L R2 U' R'
U2 L2 B' R2 L' U' R'
B L2 B' R2 L U' R'
U L2 B' L' R2 U' R'
U L2 B' R2 L' U' R'
L2 U B' L' R2 U' R'
L2 U B' R2 L' U' R'
D R B2 U' R' F U
D R B2 U' F R' U
L2 U' B' L' R2 U' R'
L2 U' B' R2 L' U' R'
B2 R' D F B2 L U
B2 R' D B2 F L U
B2 R' F U2 R' U' R'
B2 R' F D B2 L U
B2 R' F B2 L U R2
B2 R' B2 F L U R2
F2 R2 L D F2 B U'
F2 R2 L D B F2 U'
F2 R2 L D2 B U' R2
F2 R2 L B U L2 U2
F2 R2 L B U' D2 R2
F2 R2 L B D F2 U'
F2 R2 L B D2 U' R2
R2 U2 F U2 L U' R'
B2 R2 U2 R F U R2
B' R2 U2 F R U R2
L2 U2 B' L' R2 U' R'
L2 U2 B' R2 L' U' R'
F2 R2 F2 L B U' R
R' D F B2 L R' U
R' D F B2 R' L U
R' D B2 R' F L U
R' D B2 F L R' U
R' D B2 F R' L U
F U2 L R2 F' U' R
F U2 L F' R2 U' R'
F U2 R2 L F' U' R
F U2 R2 F' L U' R
F U2 F' L R2 U' R'
F U2 F' R2 L U' R'
R' F U2 L R' U' R'
R' F U2 R' L U' R'
R' F D B2 L R' U
R' F D B2 R' L U
B2 D R' F U R2 B2
B2 D R' F U B2 R2
R' F B2 L R' U R'
R' F B2 R' L U R'
R2 F' L U' R' D' L2
R2 F' L U' D' L2 R'
R2 F' L U' D' R' L2
R2 F' L U2 F2 U R'
R2 F' L D' U' L2 R'
R2 F' L D' U' R' L2
F D B2 R' B U B'
R2 F' D' L U' L R'
R2 F' D' L U' R' L
R2 F2 L U2 F' U R'
B2 D2 R' F L2 U R2
L2 B L' B2 R2 U' R'
R2 B L2 B' L U' R'
L2 B' L' R2 U' R' D
L2 B' L' R2 U' R' D'
L2 B' L' R2 U' R' D2
L2 B' L' R2 U' D R'
L2 B' L' R2 U' D' R'
L2 B' L' R2 U' D2 R'
L2 B' L' R2 D U' R'
L2 B' L' R2 D' U' R'
L2 B' L' R2 D2 U' R'
L2 B' L' R2 F U' R'
L2 B' L' R2 F' U' R'
L2 B' L' R2 F2 U' R'
L2 B' L' U' D R B2
L2 B' L' U' D B2 R
L2 B' L' D U' R B2
L2 B' L' D U' B2 R
B2 F D R' B U B
L2 B' R2 L' U' R' D
L2 B' R2 L' U' R' D'
L2 B' R2 L' U' R' D2
L2 B' R2 L' U' D R'
L2 B' R2 L' U' D' R'
L2 B' R2 L' U' D2 R'
L2 B' R2 L' D U' R'
L2 B' R2 L' D' U' R'
L2 B' R2 L' D2 U' R'
L2 B' R2 L' F U' R'
L2 B' R2 L' F' U' R'
L2 B' R2 L' F2 U' R'
L2 B' R2 D L' U' R'
L2 B' R2 D' L' U' R'
L2 B' R2 D2 L' U' R'
L2 B' R2 F U' R' F'
L2 B' D L' U' R B2
L2 B' D L' U' B2 R
L2 B2 L' B R2 U' R'
R' B2 R' F L U R'
D2 B2 R' F L2 U R2
D B2 R U' R2 F U
D B2 R U' F R2 U
D B2 R F' D' L2 F2
D B2 R F' D' F2 L2
D B2 U' R' F U R2
R' B2 F L R' U R'
R' B2 F R' L U R'
F B2 D R' B U B
