U' L' B' U R' F'
L' R U B U B' L
L R U B L2 U L
R L U B L2 U L
L R B L2 U F L
R L B L2 U F L
L' R B U' B' U2 L
U L B L2 F U R
R L' U B U B' L
L' R' U2 F' U' F L
R' L' U2 F' U' F L
U' L' R B' U R' F'
U' L' R' B' U R' F'
U' L' R2 B' U R' F'
B L' U L' F L2 R
B L' U L' F R L2
U' L' U2 L F U' R
U' L' U2 F L U' R
U' L' D B' U R' F'
R L' B U' B' U2 L
U' L' D' B' U R' F'
U' L' D2 B' U R' F'
U L' F' U' L' U2 L
U L' B U2 B' U' R'
U' L' B' U R' D F'
U' L' B' U R' D' F'
U' L' B' U R' D2 F'
U' L' B' U R' F' D
U' L' B' U R' F' D'
U' L' B' U R' F' D2
U' L' B' U D R' F'
U' L' B' U D' R' F'
U' L' B' U D2 R' F'
U' L' B' U F R' F'
U' L' B' U F' R' F'
U' L' B' U F2 R' F'
U' L' B' D U R' F'
U' L' B' D' U R' F'
U' L' B' D2 U R' F'
U' L' B2 R' B U R'
U' L' B2 D' R' B U
L2 U L F U L R
L2 U L F U R L
R U L B L2 F U
R U L' B U2 B' U'
L U L2 F U L R
L U L2 F U R L
L2 U F L U L R
L2 U F L U R L
U' R L' B' U R' F'
R U B L2 F L U
R' U' L' U2 L F' U'
R' U' L' U2 F' L U'
R2 U' L' B2 R' B U
R U' L' B2 R' B' U
U' R' L' B' U R' F'
R' U' F' U2 F L' U
R U' B L' U2 L U'
R U' B' L' B2 R' U
L U2 L' U' B' L' U
U' R2 L' B' U R' F'
L' U2 F' U' F L R
L' U2 F' U' F R L
B' R2 F' D R' B R'
B' R2 F' D B R' B
U' D L' B' U R' F'
L D F2 R U B U
U' D' L' B' U R' F'
D' U' L' B' U R' F'
D2 U' L' B' U R' F'
D U' L' B' U R' F'
U' D2 L' B' U R' F'
U' F' U2 F L' U R
L F2 R U L2 B U
L F2 R U B L2 U
U' B L' D' B2 R' U
R B L' U L' F L2
L B L2 U F L R
L B L2 U F R L
U B L2 F L U R
L' B U' B' U2 L R'
L' B U' B' U2 R' L
U' B' L' U2 L U' R'
