U L' F2 R U B
U' L D' L U' L B'
B L F2 U2 L U' R
B L F2 B2 R' U R2
B L B2 R' F2 U R
B L B2 F2 R' U R2
U2 L' U' F2 R U B
U' L' U2 F2 R U B'
U' L' D2 B2 L' U' B
U L' F2 L R U B
U L' F2 L' R U B
U L' F2 L2 R U B
U L' F2 R L U B
U L' F2 R L' U B
U L' F2 R L2 U B
U L' F2 R U D B
U L' F2 R U D' B
U L' F2 R U D2 B
U L' F2 R U B D
U L' F2 R U B D'
U L' F2 R U B D2
U L' F2 R D U B
U L' F2 R D' U B
U L' F2 R D2 U B
U L' F2 D R U B
U L' F2 D' R U B
U L' F2 D2 R U B
B' L2 R' D2 B2 U' R2
U' L2 U' L D' B' L2
U' L2 U' L B' D' L2
U' L2 U' L' D' L2 B'
U' L2 U2 L F2 U B'
B L2 U2 L' F2 U R
U' L2 U2 F2 L U B'
F L2 D F2 B' R' U'
F L2 D B' R' F2 U'
F L2 D B' F2 R' U'
U' L2 D' B R' U' L2
U' L2 D2 R' B2 U' B'
U' L2 D2 B2 R' U' B
R' U L' F2 R U B
F L2 D2 B' R' U' R'
R2 U L' F2 R U B
R U L' F2 R U B
F L2 B' R' U L2 U2
F L2 B' R' U' D2 R2
F L2 B' R' D F2 U'
F L2 B' R' D2 U' R2
F L2 B' D R' F2 U'
F L2 B' D F2 R' U'
F L2 B' D2 R' U' R'
B' R D R2 U2 F2 B2
B' R D R2 U2 B2 F2
B' R D' F2 B2 U2 L2
B' R D' B2 F2 U2 L2
U R F2 U D F2 B
U R F2 U D B F2
U R F2 U B D F2
U R F2 U2 L2 U' B
U R F2 D U F2 B
U R F2 D U B F2
B' R' L2 D2 B2 U' R2
U R' F2 U2 L2 U' B'
D R2 U R U F2 B
D R2 U R U B F2
D R2 U' L' U' F2 B'
D R2 U' L' U' B' F2
L2 D R F2 U' L' B'
D R2 B U L U F2
D R2 B' U' R' U' F2
B U L F2 U2 L U'
B U L' F2 L2 R U
B U L' F2 R L2 U
D U R U F2 L' B
D U R U F2 B L'
D U R U B F2 L'
U D R U F2 L' B
U D R U F2 B L'
U D R U B F2 L'
B' U F2 U2 L2 R' U'
B' U F2 U2 R' L2 U'
B U F2 L U2 L U'
B U F2 D L U F2
B U F2 D2 L R2 U
B U F2 D2 R2 L U
B' U' L2 R' U' D' L2
B' U' L2 R' U2 F2 U
B' U' L2 R' D' U' L2
B' U' L2 R' D2 B2 U'
B' U' L2 D' R' U' L2
B' U' L2 D2 R' B2 U'
B U' L2 U2 L' F2 U
B' U' R' L2 U' D' L2
B' U' R' L2 U2 F2 U
B' U' R' L2 D' U' L2
B' U' R' L2 D2 B2 U'
B' U' D2 R' B2 L U'
F2 U2 L2 R' U' R B
F2 U2 L2 F R U' R'
F2 U2 R' L2 U' R B
F2 U2 F L2 R U' R'
F2 U2 F R L2 U' R'
U2 F L2 B' R U' R'
U2 F U L2 R B' U'
U2 F U L2 B' R U'
U2 F U R L2 B' U'
F2 D L U F2 R B
B' D R2 U' R U' F2
B D R2 U L U F2
F2 D B L U F2 R
D F' R2 B U L U
B2 D' R F' B2 U2 L2
B2 D' R B2 F' U2 L2
B2 D' R' B2 U2 B' L2
U F2 L' U2 L' U' B'
L' F2 R U' L F U2
U F2 R U D F2 B
U F2 R U D B F2
U F2 R U B D F2
U F2 R U2 L2 U' B
U F2 R D U F2 B
U F2 R D U B F2
U F2 R' D2 R2 U B
B' D' B2 U L U L
B2 D' B2 R F' U2 L2
B2 D' B2 R' U2 L2 B
B2 D' B2 R' U2 B L2
B D' B2 U' R' U' L2
L F2 U2 L U' R B
U F2 D R U F2 B
U F2 D R U B F2
B' D2 U' R' B2 L U'
D2 B U L R2 F' U
D2 B U R2 L F' U
D2 B U R2 F' L U
D B R2 U L U F2
L2 B D2 B2 R' U' R'
B' F U' L2 R' B' U'
B' F U' R' L2 B' U'
F2 B D L U F2 R
L2 B' R' D2 B2 U' R2
D B' R2 U' R U' F2
D' B' U' R' U' L2 F
F2 B' U2 L2 R' U' R
F2 B' U2 R' L2 U' R
F B' U' L2 R' B' U'
F B' U' R' L2 B' U'
D' B2 U' B R' U' L2
D' B2 U2 L D L B'
B' F2 U2 L2 R' U' R
B' F2 U2 R' L2 U' R
B F2 D L U F2 R
