D F' R B2 U
D F' B2 R U
D B2 F' R U
U L' F R2 D' L2
R U R F' L' F
R U D2 R F' L'
F' R U D2 R F'
R U F' L' F R
F' R D2 U R F'
F' U L' R2 F L
F' U L' F L R2
F' U L' F R2 L
F' U R D2 R F'
F' U R2 L' F L
F' U' L B' U2 R2
F' U' L' U2 R2 F
F' U' L' U2 F R2
F' U2 L' U' R2 F
F' U2 L' U' F R2
R D2 U R F' L'
L' F' L U R2 F2
L' F' L U F2 R2
B2 D F' R B2 U
B' D F' R B2 U
B' D F' B2 R U
B2 D F' B2 R U
B D F' R B2 U
D F' R U D' R2
D F' R D' U R2
B D F' B2 R U
D F' R B2 U D
D F' R B2 U D'
D F' R B2 U D2
D F' R B2 D U
D F' R B2 D' U
D F' R B2 D2 U
D' F' R2 B R' U
D F' R' B2 R2 U
B' D B2 F' R U
B2 D B2 F' R U
B D B2 F' R U
D F' D' R U R
D F' B' R B' U
D F' B2 R U D
D F' B2 R U D'
D F' B2 R U D2
D F' B2 R D U
D F' B2 R D' U
D F' B2 R D2 U
D F' B2 D R U
D F' B2 D' R U
D F' B2 D2 R U
D B' F' R B' U
D B2 F' R U D
D B2 F' R U D'
D B2 F' R U D2
D B2 F' R D U
D B2 F' R D' U
D B2 F' R D2 U
D B2 F' D R U
D B2 F' D' R U
D B2 F' D2 R U
U L F R2 D' L2 F
U' L B' U F' U R2
F' L B2 L' U R2 F'
D L B2 L' F' R U
U L' R' D' R' F L'
U L' R' D' F L' R'
U L' R' D' F R' L'
U L' R2 U B U' F
U L' R2 F U B U'
U' L' U F' U R2 F2
U' L' U F' U F2 R2
U2 L' U' F R2 D' L2
U L' U' F' U R2 F2
U L' U' F' U F2 R2
U' L' U2 F R2 D' L2
U2 L' U2 F' U R2 F2
U2 L' U2 F' U F2 R2
U L' D F D' L2 R2
U L' D F D' R2 L2
U' L' F R2 D' L2 B
U' L' F R2 D' B L2
U' L' F R2 B D' L2
U L' F L R2 D' L2
U L' F L' R2 D' L2
U L' F L2 R2 D' L2
U L' F R D' L2 R
U L' F R D' R L2
U L' F R' D' L2 R'
U L' F R' D' R' L2
U L' F R2 L D' L2
U L' F R2 L' D' L2
U L' F R2 L2 D' L2
U L' F R2 U' F2 U
U L' F R2 D' L2 D
U L' F R2 D' L2 D'
U L' F R2 D' L2 D2
U L' F U' F2 U R2
B' L' F' L U R2 F2
B' L' F' L U F2 R2
U L' F D' L2 D R2
B2 L' F' L U R2 F2
B2 L' F' L U F2 R2
D L' F' L R B2 U
B L' F' L U R2 F2
B L' F' L U F2 R2
D L' F' L B2 R U
D L' F' R L B2 U
U' L' F' U F2 R2 B
U L' F' R2 F2 D' L2
F L' F2 L U F' R2
U L2 R2 U B L U'
R' U L' D' R' F L'
R' U L' D' F L' R'
R' U L' D' F R' L'
R U L' R F' L' F2
R2 U L' B U' F B'
R2 U L' B U' B' F
D L2 F' L2 R B2 U
D L2 F' L2 B2 R U
D L2 F' R L2 B2 U
D L2 F' R B2 L2 U
R U R L' F' L' F2
D L2 F' B2 L2 R U
D L2 F' B2 R L2 U
R U R F' L' D F
R U R F' L' D' F
R U R F' L' D2 F
R U R F' L' F D
R U R F' L' F D'
R U R F' L' F D2
R U R F2 L' F L'
R U R' F' L' R2 F
R U R' F' L' F R2
R U R' F' R2 L' F
R U R2 F' L' R' F
R U R2 F' L' F R'
R U R2 F' R' L' F
D L2 B2 L2 F' R U
D L2 B2 F' L2 R U
D L2 B2 F' R L2 U
R U D2 L R F' L'
R U D2 L' R F' L'
R U D2 L2 R F' L'
R U D2 R L F' L'
R U D2 R L' F' L'
R U D2 R L2 F' L'
R U D2 R D F' L'
R U D2 R D' F' L'
R U D2 R D2 F' L'
R U D2 R F' L' D
R U D2 R F' L' D'
R U D2 R F' L' D2
R U D2 R F' D L'
R U D2 R F' D' L'
R U D2 R F' D2 L'
L' U F' L U R2 F2
L' U F' L U F2 R2
F' R U L' R F L
F' R U R L' F L
B' R U R F' L' F
R U F' L' R F R
R U F' L' R' F R
R U F' L' R2 F R
R U F' L' D F R
R U F' L' D' F R
R U F' L' D2 F R
R U F' L' F R D
R U F' L' F R D'
R U F' L' F R D2
R U F' L' F D R
R U F' L' F D' R
R U F' L' F D2 R
B2 R U R F' L' F
D2 R U D2 F' L' R2
D2 R U D2 F' R2 L'
R U F' R L' F R
F' R U D2 R D F'
F' R U D2 R D' F'
F' R U D2 R D2 F'
F' R U D2 R F' D
F' R U D2 R F' D'
F' R U D2 R F' D2
R U F' R' L' F R
B' R U D2 R F' L'
D2 R U F' D2 L' R2
D2 R U F' D2 R2 L'
R U F' R2 L' F R
B' R U F' L' F R
B R U R F' L' F
B2 R U D2 R F' L'
B2 R U F' L' F R
B R U D2 R F' L'
F' R U' L B' U2 R
D2 R U' L2 U2 F' L'
F' R U' L' U2 R F
B R U F' L' F R
F' R U2 L' U' R F
F' R D' B R' U R2
D2 R D' B2 U F' L'
F' R D2 R' U R2 F'
D2 R D2 U F' L' R2
D2 R D2 U F' R2 L'
B' R D2 U R F' L'
F' R D2 U R D F'
F' R D2 U R D' F'
F' R D2 U R D2 F'
F' R D2 U R F' D
F' R D2 U R F' D'
F' R D2 U R F' D2
B2 R D2 U R F' L'
F' R D2 B U R F'
B R D2 U R F' L'
F' R D2 B' U R F'
F' R D2 B2 U R F'
R U' L B' R' U2 R2
F R F2 U' L' U2 F
F' R B U D2 R F'
F' R B D2 U R F'
F' R B' U D2 R F'
F' R B' D2 U R F'
F' R B2 U D2 R F'
D R B2 R' F' R U
F' R B2 D2 U R F'
L' U' F' L U R2 F2
L' U' F' L U F2 R2
U R' L' D' R' F L'
U R' L' D' F L' R'
U R' L' D' F R' L'
F' R' U L' R' F L
F' R' U L' F L R'
F' R' U L' F R' L
F' R' U R' L' F L
F' R' U R2 D2 R F'
F' R' U D2 R F' R2
F' R' U' L' U2 R' F
F' R' U' L' U2 F R'
F' R' U' L2 U2 R' F'
F' R' U' B2 L B' U2
F' R' U2 L' U' R' F
F' R' U2 L' U' F R'
F' R' D2 R U F' R2
F' R' D2 U R F' R2
R U2 L' B' U' R F
D R' F' R F' B2 U
D R' F' R B2 F' U
D R' F' B2 R F' U
F' R' B2 U' L B' U2
D R' B2 R F' R U
D R' B2 F' R F' U
U R2 L' U B U' F
L' U2 F' L U R2 F2
L' U2 F' L U F2 R2
U R2 L' F U B U'
U R2 L2 U B L U'
U R2 U L' B U' F
U R2 U B L' U' F
F' R2 D' B R' U R
F' R2 D2 R U F' R'
R D R' F' R U R
R2 D R2 F' R U R
F' U L' R' F L R'
F' U L' R' F R' L
F' U L' R2 D F L
F' U L' R2 D' F L
F' U L' R2 D2 F L
F' U L' R2 F L D
F' U L' R2 F L D'
F' U L' R2 F L D2
F' U L' R2 F D L
F' U L' R2 F D' L
F' U L' R2 F D2 L
F' U L' R2 F' L F2
F' U L' R2 F2 L F'
F U L R2 D' L2 F
F' U L' F L R2 D
F' U L' F L R2 D'
F' U L' F L R2 D2
B' U L' F R2 D' L2
F' U L' F R2 L D
F' U L' F R2 L D'
F' U L' F R2 L D2
F' U L' F R2 D L
F' U L' F R2 D' L
F' U L' F R2 D2 L
F' U L' F' L R2 F2
F' U L' F' L F2 R2
F' U L' F' R2 L F2
F' U L' F' R2 F2 L
F' U L' F2 L F' R2
B2 U L' F R2 D' L2
L' D F' L B2 U F2
F U L' R2 D' F L2
B U L' F R2 D' L2
F' U R D2 R D F'
F' U R D2 R D' F'
F' U R D2 R D2 F'
F' U R D2 R F' D
F' U R D2 R F' D'
F' U R D2 R F' D2
F' U R' L' F L R'
F' U R' L' F R' L
F' U R' D2 R F' R2
F' U R2 L' D F L
F' U R2 L' D' F L
F' U R2 L' D2 F L
F' U R2 L' F L D
F' U R2 L' F L D'
F' U R2 L' F L D2
F' U R2 L' F D L
F' U R2 L' F D' L
F' U R2 L' F D2 L
F' U R2 L' F' L F2
F' U R2 L' F2 L F'
F' U R2 U L' U' F
F' U R2 D2 R F' R'
F' U R2 F L' F L
F' U R2 F' L' F L
F' U R2 F2 L' F L
F U R2 L D' L2 F
F U R2 L' D' F L2
U2 D F' R B2 L U
F' U D2 R D2 F' R2
F' U D2 R F' D2 R2
F' U D2 R' D2 R2 F'
D U F' R B2 U B2
F' U F L' R2 F L
U D F' R B2 U B2
F' U F L' F L R2
F' U F L' F R2 L
F' U F R D2 R F'
D U F' B2 R U B2
F' U F R2 L' F L
U D F' B2 R U B2
F' U F' L' R2 F L
F' U F' L' F L R2
F' U F' L' F R2 L
F' U F' R D2 R F'
F' U F' R2 L' F L
F' U F2 L' R2 F L
F' U F2 L' F L R2
F' U F2 L' F R2 L
F' U F2 R D2 R F'
F' U F2 R2 L' F L
D U B2 F' R U B2
U D B2 F' R U B2
F' U' L D2 L2 U2 F
F' U' L D2 B' L2 U2
F' U' L B' L U2 R2
F' U' L B' L' U2 R2
F' U' L B' L2 U2 R2
F' U' L B' U2 R2 D
F' U' L B' U2 R2 D'
F' U' L B' U2 R2 D2
F' U' L B' D2 L2 U2
F' U' L B2 U2 R2 F'
F' U' L' U2 R' F R'
F' U' L' U2 R2 D F
F' U' L' U2 R2 D' F
F' U' L' U2 R2 D2 F
F' U' L' U2 R2 F D
F' U' L' U2 R2 F D'
F' U' L' U2 R2 F D2
F' U' L' U2 F R2 D
F' U' L' U2 F R2 D'
F' U' L' U2 F R2 D2
F' U' L' U2 F' R2 F2
F' U' L' D2 L2 B' U2
F' U' L' B U2 R2 F
F' U' L' B U2 F R2
F' U' L' B' U2 R2 F
F' U' L' B' U2 F R2
F' U' L' B2 U2 R2 F
F' U' L' B2 U2 F R2
F' U' L2 U2 R' F' R'
R D' B R' F' U R2
U2 D' F2 L2 B' L U'
F' U' B L B' U2 R2
F' U' B L' U2 R2 F
F' U' B L' U2 F R2
F' U' B' L B' U2 R2
F' U' B' L' U2 R2 F
F' U' B' L' U2 F R2
