U B L B R' F'
U L R B U2 L B
U L R' U2 F' L' B2
U L R' U2 F' B2 L'
U L R' U2 B2 F' L'
U' L U2 F B L B
B L U2 F U B R'
U' L U2 B F L B
U' L U2 B2 D2 F L'
U' L F' L' F2 B2 R'
U' L F' L' B2 R' F2
U' L F' L' B2 F2 R'
U' L F' U2 L' F2 B2
U' L F' U2 L' B2 F2
U' L F' U2 B2 L' F2
U' L B U2 F B L
U' L B U2 B F L
U L B U2 L F B
U L B U2 L B F
U L B' R' U2 F' B'
U L B' R' U2 B' F'
B2 L' R' U B' L U'
B L' B R' D L2 F2
B L' B R' D F2 L2
B L' B D L2 R' F2
B L' B D L2 F2 R'
B L' B D R' L2 F2
B L' B D R' F2 L2
B L' B D F2 L2 R'
B L' B D F2 R' L2
B2 L' B' L U' B R'
U' L' B' L2 F R U2
U' L' B2 D2 R2 F' L'
B2 L2 R' D L' F L'
B2 L2 R' D F L' F
B2 L2 D L' R' F L'
B2 L2 D L' F L' R'
B2 L2 D L' F R' L'
B2 L2 D R' L' F L'
B2 L2 D R' F L' F
B2 L2 D F L' R' F
B2 L2 D F L' F R'
B2 L2 D F R' L' F
L U R' F U F2 B2
L U R' F U B2 F2
U R L B U2 L B
L U F R' U F' B2
L U F R' U B2 F'
R' U B L B R' F'
R2 U B L B R' F'
R U B L B R' F'
U2 R B U' B R' F'
U R B U2 L B R'
U R' L U2 F' L' B2
U R' L U2 F' B2 L'
U R' L U2 B2 F' L'
B2 R' L' U B' L U'
B2 R' L2 D L' F L'
B2 R' L2 D F L' F
U R' U2 F' B2 L' R'
U R' U2 F' B2 R' L'
U R' U2 B2 F' L' R'
U R' U2 B2 F' R' L'
U R' F' B L B R'
U R' B L F' B R'
U R' B L B F' R'
U R' B F' L B R'
B' R' B2 U B L R'
B' R' B2 U B R' L
L U2 F R U R' B2
F' U B L B R' F'
F2 U B L B R' F'
F U B L B R' F'
D2 U' F2 L U2 F L'
B U2 L U' B L R'
B U2 L U' B R' L
U' D2 F2 L U2 F L'
U' F L R U2 F B2
U' F L R U2 B2 F
U' F R L U2 F B2
U' F R L U2 B2 F
L F L' U B2 R' F'
U' F R U2 B2 R' F'
U' F R2 B2 L R' F
U' F R2 B2 L F R'
U' F R2 B2 R' L F
U F B L B R' F'
U' F' L U2 F L2 B2
U' F' L U2 F B2 L2
U' F' L U2 B2 F L2
U' F' L' B2 D2 R2 F'
U' F' U2 B2 L' R' F'
U' F' U2 B2 R' L' F'
U' F' B2 L R' F L2
U' F' B2 L F L2 R'
U' F' B2 L F R' L2
U' F' B2 R' L F L2
U F' B L B R' F'
U' F2 L U2 F L' B2
U' F2 L U2 F B2 L'
U' F2 L U2 B2 F L'
U' F2 L F L' B2 R'
U' F2 B2 L R' F L'
U' F2 B2 L F L' R'
U' F2 B2 L F R' L'
U' F2 B2 R' L F L'
U F2 B L B R' F'
L' B L B2 U' R' B'
U B L F B R' F'
U B L F' B R' F'
U B L F2 B R' F'
U B L B R' D F'
U B L B R' D' F'
U B L B R' D2 F'
U B L B R' F' D
U B L B R' F' D'
U B L B R' F' D2
U B L B D R' F'
U B L B D' R' F'
U B L B D2 R' F'
U B L B F R' F'
U B L B F' R' F'
U B L B F2 R' F'
U B L' B L2 R' F'
U B L' B R' L2 F'
U B L' B R' F' L2
U B L2 B L' R' F'
U B L2 B R' L' F'
U' B U2 B L R' F'
U' B U2 B R' L F'
U' B U2 B R' F' L
U2 B U' B L R' F'
U2 B U' B R' L F'
U2 B U' B R' F' L
U B U2 L F B R'
U B U2 L B R' F
U B U2 L B F R'
U B F L B R' F'
U B F' L B R' F'
U B F2 L B R' F'
L B' U R' F U B'
L B' U F R' U B'
U' B2 L R' F' L' F2
U' B2 L F R' D2 L2
U' B2 L F' L' R' F2
U' B2 L F' L' F2 R'
U' B2 L F' R' L' F2
U' B2 L2 R' F' L' F
U' B2 L2 F' L' R' F
U' B2 L2 F' L' F R'
U' B2 L2 F' R' L' F
U' B2 R' L F' L' F2
U' B2 R' L2 F' L' F
U' B2 R' F' L F L2
U' B2 R' F2 L F L'
U B2 R' D2 F L' F2
U B2 R' F' B' L B
U B2 R' F2 D2 F L'
U B2 R' B' L F' B
U B2 R' B' L B F'
U B2 R' B' F' L B
L2 B2 D F L' F R
U' B2 F' L R' F L2
U' B2 F' L F L2 R'
U' B2 F' L F R' L2
U' B2 F' R' L F L2
U' B2 F2 L R' F L'
U' B2 F2 L F L' R'
U' B2 F2 L F R' L'
U' B2 F2 R' L F L'
U B2 D2 R' F L' F2
U B2 D2 F L' R' F'
U B2 D2 F R' L' F'
U B2 D2 F2 R' F' L'
