F2 L R U F R
F2 L R2 B U F
F2 L U F D R2
F2 L U2 F' U' F2
F2 R L U F R
F2 R2 L B U F
L F2 U D F' R
L F2 D U F' R
L2 B' L' F2 U F'
F2 L R U R F R
F2 L R U R' F R
F2 L R U R2 F R
F2 L R U D F R
F2 L R U D' F R
F2 L R U D2 F R
F2 L R U F R D
F2 L R U F R D'
F2 L R U F R D2
F2 L R U F D R
F2 L R U F D' R
F2 L R U F D2 R
F2 L R D U F R
F2 L R D' U F R
F2 L R D2 U F R
F2 L R B U F R
F2 L R B' U F R
F2 L R B2 U F R
F2 L R2 D B U F
F2 L R2 D' B U F
F2 L R2 D2 B U F
F2 L R2 B R U F
F2 L R2 B R' U F
F2 L R2 B R2 U F
F2 L R2 B U D F
F2 L R2 B U D' F
F2 L R2 B U D2 F
F2 L R2 B U F D
F2 L R2 B U F D'
F2 L R2 B U F D2
F2 L R2 B D U F
F2 L R2 B D' U F
F2 L R2 B D2 U F
F2 L U D F D R2
F2 L U D' F D R2
F2 L U D2 F D R2
F2 L U F R D R2
F2 L U F R' D R2
F2 L U F R2 D R2
F2 L U F U F2 U'
F2 L U F D R2 D
F2 L U F D R2 D'
F2 L U F D R2 D2
F2 L U2 D F' U' F2
F2 L U2 D' F' U' F2
F2 L U2 D2 F' U' F2
F2 L U2 F' L U' F2
F2 L U2 F' L' U' F2
F2 L U2 F' L2 U' F2
F2 L U2 F' U' F2 D
F2 L U2 F' U' F2 D'
F2 L U2 F' U' F2 D2
F2 L U2 F' D' L2 U'
F2 L D R U F R
F2 L D R2 B U F
F2 L D U F D R2
F2 L D U2 F' U' F2
F' L D F' U R2 F2
F' L D F' U F2 R2
F2 L D' R U F R
F2 L D' R2 B U F
F2 L D' U F D R2
F2 L D' U2 F' U' F2
F2 L D2 R U F R
F2 L D2 R2 B U F
F2 L D2 U F D R2
F2 L D2 U2 F' U' F2
F' L D2 F' B2 U F2
R' L F2 U D F' R
F' L D2 B2 F' U F2
L R F2 U D F' R
R2 L F2 U D F' R
R' L F2 D U F' R
R L F2 U D F' R
R2 L F2 D U F' R
L R F2 D U F' R
R L F2 D U F' R
F' L F' R2 B U F2
F' L F' U2 F' U' F'
F' L F' D R2 B U
L2 R B' L' F2 U F'
F2 L B R U F R
F2 L B R2 B U F
F2 L B U F D R2
F2 L B U2 F' U' F2
F2 L B' R U F R
F2 L B' R2 B U F
F2 L B' U F D R2
F2 L B' U2 F' U' F2
F2 L B2 R U F R
F2 L B2 R2 B U F
F2 L B2 U F D R2
F2 L B2 U2 F' U' F2
L R' F2 U D F' R
L R' F2 D U F' R
L2 R' B' L' F2 U F'
F2 L2 R2 B L' U F
L R2 F2 U D F' R
L R2 F2 D U F' R
D' L2 U' B' L' U F
R' L2 B' L' F2 U F'
L2 R2 B' L' F2 U F'
R2 L2 B' L' F2 U F'
R L2 B' L' F2 U F'
D' L2 B' L' U F L
U L2 B' L' R' F2 U
U L2 B' L' F2 R' U
U L2 B' R' L' F2 U
F L2 B' U2 L' U F
L U D F' R F2 L'
F2 R L U R F R
F2 R L U R' F R
F2 R L U R2 F R
F2 R L U D F R
F2 R L U D' F R
F2 R L U D2 F R
F2 R L U F R D
F2 R L U F R D'
F2 R L U F R D2
F2 R L U F D R
F2 R L U F D' R
F2 R L U F D2 R
F2 R L D U F R
F2 R L D' U F R
F2 R L D2 U F R
F2 R L B U F R
F2 R L B' U F R
F2 R L B2 U F R
L2 U B' L' F2 U F'
F2 R D L U F R
F2 R D' L U F R
F2 R D2 L U F R
L' U' L2 F2 U F' R
L' U' D' L2 F R B2
L' U' D' L2 F B2 R
L' U' D' L2 B2 F R
L2 U' B' L' F2 U F'
F2 R' D2 L B' U F
F2 R2 L D B U F
F2 R2 L D' B U F
F2 R2 L D2 B U F
F2 R2 L B R U F
F2 R2 L B R' U F
F2 R2 L B R2 U F
F2 R2 L B U D F
F2 R2 L B U D' F
F2 R2 L B U D2 F
