U2 L U' B U'
U2 L R2 U F' U
U2 L U' D B U'
U2 L U' D' B U'
U2 L U' D2 B U'
U2 L U' B U' D
U2 L U' B U' D'
U2 L U' B U' D2
U2 L U' B D U'
U2 L U' B D' U'
U2 L U' B D2 U'
U2 L D U' B U'
U2 L D' U' B U'
U2 L D2 U' B U'
L' U D F2 B U'
L' U D B F2 U'
L' U D2 B U' R2
L' U B U L2 U2
L' U B U' D2 R2
L' U B D F2 U'
L' U B D2 U' R2
L2 U F2 B U' R
L2 U B U L' U2
L2 U B F2 U' R
L U B U2 B' U
R2 U' F' U' L U2
R2 U' F' B2 U R'
B2 R' U B' U' B'
R' U2 L U F U
R2 U' B2 F' U R'
L' U2 L2 U' B U'
R2 U2 L U F' U
L2 U2 L' U' B U'
B2 R' B D L2 B
B2 R' B D B L2
B2 R' B2 U B U'
U2 R2 L U F' U
L' D U F2 B U'
L' D U B F2 U'
U2 D L U' B U'
U2 D' L U' B U'
B' U B2 U' B' R'
L' D2 R2 U' F' U
U2 D2 L U' B U'
D2 U2 L U' B U'
D' U2 L U' B U'
L' D2 U B U' R2
D U2 L U' B U'
B' D L2 B' R' B2
B' D B' L2 R' B2
B' D B' R' L2 B2
B' D B' R' B2 L2
B' D' B' R' B2 L
U B U' B R' B'
U B U2 B U R'
U B D2 F' U' R
U2 L R' U F' U L'
U2 L R' U' B U' L
U2 L R2 U D F' U
U2 L R2 U D' F' U
U2 L R2 U D2 F' U
U2 L R2 U F' U D
U2 L R2 U F' U D'
U2 L R2 U F' U D2
U2 L R2 U F' D U
U2 L R2 U F' D' U
U2 L R2 U F' D2 U
R2 L U' F' U2 F U'
U2 L R2 D U F' U
U2 L R2 D' U F' U
U2 L R2 D2 U F' U
U2 L U R2 F' R2 U
U2 L U F U2 B U'
U2 L U F' U2 B U'
U2 L U F2 U2 B U'
D' L U B U2 B' U
D2 L U B U2 B' U
B' L U B2 U' B' R'
D L U B U2 B' U
U2 L U' L B L' U'
U2 L U' L2 B L2 U'
U L U' L' B U' B'
U2 L U' D B U' D
U2 L U' D B U' D'
U2 L U' D B U' D2
U2 L U' D B D U'
U2 L U' D B D' U'
U2 L U' D B D2 U'
U2 L U' D' B U' D
U2 L U' D' B U' D'
U2 L U' D' B U' D2
U2 L U' D' B D U'
U2 L U' D' B D' U'
U2 L U' D' B D2 U'
U2 L U' D2 B U' D
U2 L U' D2 B U' D'
U2 L U' D2 B U' D2
U2 L U' D2 B D U'
U2 L U' D2 B D' U'
U2 L U' D2 B D2 U'
U2 L U' B' U' D L2
U2 L U' B' D U' L2
U2 L U' B2 D B' U'
U2 L U' B2 D' B' U'
U2 L U' B2 D2 B' U'
U2 L U2 L U B U'
U2 L U2 L' U B U'
U2 L U2 L2 U B U'
U2 L U2 B' D L2 B
U2 L U2 B' D B L2
B' L D L2 B' R' B2
U2 L D R2 U F' U
U2 L D U' B U' D
U2 L D U' B U' D'
U2 L D U' B U' D2
U2 L D U' B D U'
U2 L D U' B D' U'
U2 L D U' B D2 U'
B' L D B' L2 R' B2
B' L D B' R' L2 B2
B' L D B' R' B2 L2
U2 L D' R2 U F' U
U2 L D' U' B U' D
U2 L D' U' B U' D'
U2 L D' U' B U' D2
U2 L D' U' B D U'
U2 L D' U' B D' U'
U2 L D' U' B D2 U'
B' L D' B' R' B2 L
U2 L D2 R2 U F' U
U2 L D2 U' B U' D
U2 L D2 U' B U' D'
U2 L D2 U' B U' D2
U2 L D2 U' B D U'
U2 L D2 U' B D' U'
U2 L D2 U' B D2 U'
U L B L' U L U2
U L B' L' B2 U' R'
U2 L B' D B U2 L2
U2 L B' D' R2 U2 F'
U2 L B' D' B R2 U2
R2 L' U' D' F' B2 U
R2 L' U' D' B2 F' U
R2 L' U' D2 F' U R2
R2 L' U' F' U D2 R2
R2 L' U' F' U' L2 U2
R2 L' U' F' D' B2 U
R2 L' U' F' D2 U R2
L2 R' U2 L' U' B' U'
R2 L' U2 L2 U F' U
B2 L' R' B' D' B' L
R2 L' D' U' F' B2 U
R2 L' D' U' B2 F' U
D2 L' U D F2 B U'
D2 L' U D B F2 U'
D' L' U D F2 B U'
D' L' U D B F2 U'
R2 L' D2 R2 U B U'
D2 L' U D2 B U' R2
D' L' U D2 B U' R2
R2 L' D2 U' F' U R2
D L' U D F2 B U'
D L' U D B F2 U'
D2 L' U B U L2 U2
D2 L' U B U' D2 R2
D L' U D2 B U' R2
D2 L' U B D F2 U'
D2 L' U B D2 U' R2
D' L' U B U L2 U2
D' L' U B U' D2 R2
D' L' U B D F2 U'
D' L' U B D2 U' R2
D L' U B U L2 U2
D L' U B U' D2 R2
D L' U B D F2 U'
B' L' U B2 U' B' R'
D L' U B D2 U' R2
U2 L' U' D F2 B U'
U2 L' U' D B F2 U'
U2 L' U' D2 B U' R2
U2 L' U' B U L2 U2
U2 L' U' B U' D2 R2
U2 L' U' B D F2 U'
U2 L' U' B D2 U' R2
D2 L' U2 L2 U' B U'
D' L' U2 L2 U' B U'
D L' U2 L2 U' B U'
B' L' D L2 B' R' B2
D2 L' D U F2 B U'
D2 L' D U B F2 U'
D' L' D U F2 B U'
D' L' D U B F2 U'
U L' D L F2 B U'
U L' D L B F2 U'
U2 L' D U' F2 B U'
U2 L' D U' B F2 U'
D L' D U F2 B U'
D L' D U B F2 U'
B' L' D B' L2 R' B2
B' L' D B' R' L2 B2
B' L' D B' R' B2 L2
U L' D F2 L B U'
B' L' D' B' R' B2 L
D2 L' D2 R2 U' F' U
D' L' D2 R2 U' F' U
D2 L' D2 U B U' R2
D' L' D2 U B U' R2
U L' D2 L B U' R2
D L' D2 R2 U' F' U
U2 L' D2 U' B U' R2
D L' D2 U B U' R2
L' R2 U' D' F' B2 U
L' R2 U' D' B2 F' U
L' R2 U' D2 F' U R2
L' R2 U' F' U D2 R2
L' R2 U' F' U' L2 U2
L' R2 U' F' D' B2 U
L' R2 U' F' D2 U R2
R' L2 U2 L' U' B' U'
L R2 U' F' U2 F U'
L' R2 U2 L2 U F' U
L2 R2 U2 L' U F' U
R2 L2 U2 L' U F' U
L' R2 D' U' F' B2 U
L' R2 D' U' B2 F' U
L' R2 D2 R2 U B U'
L' R2 D2 U' F' U R2
B2 L2 R' U' F U B2
B2 L2 R' B2 U' F U
D2 L2 U F2 B U' R
D' L2 U F2 B U' R
D2 L2 U B U L' U2
D' L2 U B U L' U2
D2 L2 U B F2 U' R
D' L2 U B F2 U' R
B' L2 U B2 U' B' R'
F2 L2 U B U' F2 R
D L2 U F2 B U' R
D L2 U B U L' U2
D L2 U B F2 U' R
B2 L2 U' F U R' B2
U2 L2 U' F2 B U' R
D2 L2 U2 L' U' B U'
U2 L2 U' B U L' U2
D' L2 U2 L' U' B U'
U2 L2 U' B F2 U' R
D L2 U2 L' U' B U'
B' L2 D L2 B' R' B2
U2 L2 D L' U' B U'
B' L2 D B' L2 R' B2
B' L2 D B' R' L2 B2
B' L2 D B' R' B2 L2
U2 L2 D' L' U' B U'
U L2 D B U' F2 R
B' L2 D' B' R' B2 L
U2 L2 D2 L' U' B U'
B2 L2 F U F' R' B2
L U L2 B L2 F U'
F2 L2 F2 U B U' R
F L2 F2 R D' F L'
U L2 F2 L2 B U' R
U L2 F2 B L2 U' R
F2 L2 B U' F2 R B'
F2 L2 B U' F2 B' R
F2 L2 B U' B' F2 R
U L2 B L2 U L U2
U L2 B U' D F2 R
U L2 B D U' F2 R
U L2 B F2 L2 U' R
U L2 B' L2 B2 U' R'
L' U D F2 D B U'
L' U D F2 D' B U'
L' U D F2 D2 B U'
L' U D F2 B U' D
L' U D F2 B U' D'
L' U D F2 B U' D2
L' U D F2 B D U'
L' U D F2 B D' U'
L' U D F2 B D2 U'
L' U D B U' D R2
L' U D B D U' R2
L' U D B F2 U' D
L' U D B F2 U' D'
L' U D B F2 U' D2
L' U D B F2 D U'
L' U D B F2 D' U'
L' U D B F2 D2 U'
L2 U D F2 B U' R
L2 U D B U L' U2
L2 U D B F2 U' R
L U D B U2 B' U
L' U D' B U2 B U
B L2 B2 D L2 B' R'
L2 U D' F2 B U' R
L2 U D' B U L' U2
L2 U D' B F2 U' R
L' U D2 F B U' R2
L U D' B U2 B' U
L' U D2 F' B U' R2
L' U D2 F2 B U' R2
L' U D2 B U' R2 D
L' U D2 B U' R2 D'
L' U D2 B U' R2 D2
L' U D2 B D' F2 U'
L' U D2 B F U' R2
L' U D2 B F' U' R2
L' U D2 B F2 U' R2
L2 U D2 F2 B U' R
L2 U D2 B U L' U2
L2 U D2 B F2 U' R
R' U F U L R U2
R' U F U R L U2
L U D2 B U2 B' U
L' U F D F2 B U'
L' U F D B F2 U'
L' U F D2 B U' R2
L' U F B U L2 U2
L' U F B U' D2 R2
L' U F B D F2 U'
L' U F B D2 U' R2
R2 U F D2 B2 U' R'
R' U F' U L U2 L2
R' U F' U' L' D2 R2
L U F B U2 B' U
L' U F' D F2 B U'
L' U F' D B F2 U'
L' U F' D2 B U' R2
L' U F' B U L2 U2
L' U F' B U' D2 R2
L' U F' B D F2 U'
L' U F' B D2 U' R2
R' U F' B2 U' L' R'
R' U F' B2 U' R' L'
R2 U F' U L U2 L'
L2 U F' D2 B U' R'
L U F' B U2 B' U
B2 R U B' U' R2 B'
B2 R U B' U' B' R2
L' U F2 D F2 B U'
L' U F2 D B F2 U'
L' U F2 D2 B U' R2
L' U F2 B U L2 U2
L' U F2 B U' D2 R2
L' U F2 B D F2 U'
L' U F2 B D2 U' R2
L2 U F2 D B U' R
L2 U F2 D' B U' R
L2 U F2 D2 B U' R
L2 U F2 B U' R D
L2 U F2 B U' R D'
L2 U F2 B U' R D2
L2 U F2 B U' D R
L2 U F2 B U' D' R
L2 U F2 B U' D2 R
L2 U F2 B D U' R
L2 U F2 B D' U' R
L2 U F2 B D2 U' R
L' U B U L2 U2 D
L' U B U L2 U2 D'
L' U B U L2 U2 D2
L' U B U L2 D U2
L' U B U L2 D' U2
L' U B U L2 D2 U2
L' U B U' R D2 R2
L' U B U' R' D2 R2
L' U B U' R2 D2 R2
L' U B U' D2 R2 D
L' U B U' D2 R2 D'
L' U B U' D2 R2 D2
L U F2 B U2 B' U
L' U B U2 D' B2 U
L' U B D F2 U' D
L' U B D F2 U' D'
L' U B D F2 U' D2
L' U B D F2 D U'
L' U B D F2 D' U'
L' U B D F2 D2 U'
L' U B D' U2 B2 U
L2 U B U L' U2 D
L2 U B U L' U2 D'
L2 U B U L' U2 D2
L2 U B U L' D U2
L2 U B U L' D' U2
L2 U B U L' D2 U2
L' U B D2 U' R2 D
L' U B D2 U' R2 D'
L' U B D2 U' R2 D2
L2 U B U D L' U2
L2 U B U D' L' U2
L' U B D2 F U' R2
L2 U B U D2 L' U2
L' U B D2 F' U' R2
L' U B D2 F2 U' R2
L U B L2 F L2 U'
L' U B F U L2 U2
L' U B F U' D2 R2
L' U B F D F2 U'
L' U B F D2 U' R2
L2 U B U' F2 R F2
L' U B F' U L2 U2
L' U B F' U' D2 R2
L' U B F' D F2 U'
L' U B F' D2 U' R2
L' U B F2 U L2 U2
L' U B F2 U' D2 R2
L' U B F2 D F2 U'
L' U B F2 D2 U' R2
L2 U B D U L' U2
L2 U B D F2 U' R
L2 U B D' U L' U2
L2 U B D' F2 U' R
L2 U B D2 U L' U2
L2 U B D2 F2 U' R
L U B U2 D B' U
L U B U2 D' B' U
L U B U2 D2 B' U
L U B U2 B' U D
L U B U2 B' U D'
L U B U2 B' U D2
L U B U2 B' D U
L U B U2 B' D' U
L U B U2 B' D2 U
L2 U B F2 U' R D
L2 U B F2 U' R D'
L2 U B F2 U' R D2
L2 U B F2 U' D R
L2 U B F2 U' D' R
L2 U B F2 U' D2 R
L2 U B F2 D U' R
L2 U B F2 D' U' R
L U B D U2 B' U
L2 U B F2 D2 U' R
L U B D' U2 B' U
L U B D2 U2 B' U
L U B F U2 B' U
L U B F' U2 B' U
L' U B' D F2 U' L2
L U B F2 U2 B' U
L' U B2 D F2 B' U'
L' U B2 D B' F2 U'
L' U B2 D2 B' U' R2
R' U B2 F' U' L' R'
R' U B2 F' U' R' L'
R2 U B2 U2 F' U R'
F' R D' F L' D2 R2
L U B2 D' B' U' R2
L U B2 D2 F2 B' U'
L U B2 D2 B' F2 U'
U2 R D2 L U' B' U'
B' R B' R' B D L2
R2 U' D F' U' L U2
R2 U' D F' B2 U R'
B2 R B2 R2 U' F' U
B2 R B2 U B U' R2
R2 U' D B2 F' U R'
L' U' D' B2 U2 B' U'
R2 U' D' F' U' L U2
R2 U' D' F' B2 U R'
U2 R' L U F' U L'
U2 R' L U' B U' L
R2 U' D' B2 F' U R'
R2 U' D2 F' U' L U2
R2 U' D2 F' B2 U R'
R2 U' D2 B2 F' U R'
B2 R' L' B' D' B' L
B2 R' L2 U' F U B2
L U' F U2 F' B U'
L U' F U2 B F' U'
B2 R' L2 B2 U' F U
B2 R' U R B' U' B'
R2 U' F' U B2 R' B2
R2 U' F' U' L U2 D
R2 U' F' U' L U2 D'
R2 U' F' U' L U2 D2
R2 U' F' U' L D U2
R2 U' F' U' L D' U2
R2 U' F' U' L D2 U2
R2 U' F' U' D L U2
R2 U' F' U' D' L U2
R2 U' F' U' D2 L U2
B2 R' U R' B' U' B'
B2 R' U R2 B' U' B'
R2 U' F' D U' L U2
R2 U' F' D B2 U R'
B2 R' U D' R2 B' U'
R2 U' F' D' U' L U2
B2 R' U D' B' R2 U'
R2 U' F' D' B2 U R'
R2 U' F' D2 U' L U2
R2 U' F' D2 B2 U R'
L U' F' U2 F B U'
L U' F' U2 B F U'
R2 U' F' B2 U R' D
R2 U' F' B2 U R' D'
R2 U' F' B2 U R' D2
R2 U' F' B2 U D R'
R2 U' F' B2 U D' R'
R2 U' F' B2 U D2 R'
R2 U' F' B2 D U R'
R2 U' F' B2 D' U R'
R2 U' F' B2 D2 U R'
B2 R' U B' R U' B'
B2 R' U B' R' U' B'
B2 R' U B' R2 U' B'
B2 R' U B' U' D B'
B2 R' U B' U' D' B'
B2 R' U B' U' D2 B'
B2 R' U B' U' B' D
B2 R' U B' U' B' D'
B2 R' U B' U' B' D2
B2 R' U B' D U' B'
B2 R' U B' D' U' B'
B2 R' U B' D2 U' B'
B2 R' U' L2 F U B2
L2 U' F2 U2 B U' R
B2 R' U' D L2 F U
L U' F2 U2 F2 B U'
L U' F2 U2 B F2 U'
D2 R' U2 L U F U
D' R' U2 L U F U
L' U' B U' L2 U2 L2
L2 U' B U' L' U2 L
D R' U2 L U F U
R2 U' B D2 F' U R
L' U' B' D2 F2 U R2
L2 U' B' D2 F2 U R
B2 R' D U' L2 F U
R' U2 L R U F U
R' U2 L R' U F U
R' U2 L R2 U F U
R' U2 L U D F U
R' U2 L U D' F U
R' U2 L U D2 F U
R' U2 L U F U D
R' U2 L U F U D'
R' U2 L U F U D2
R' U2 L U F D U
R' U2 L U F D' U
R' U2 L U F D2 U
R' U2 L D U F U
B2 R' D' U R2 B' U'
R2 U' B2 D F' U R'
B2 R' D' U B' R2 U'
R' U2 L D' U F U
R2 U' B2 D' F' U R'
R' U2 L D2 U F U
R2 U' B2 D2 F' U R'
R2 U' B2 F' U R' D
R2 U' B2 F' U R' D'
R2 U' B2 F' U R' D2
R2 U' B2 F' U D R'
R2 U' B2 F' U D' R'
R2 U' B2 F' U D2 R'
R2 U' B2 F' D U R'
R2 U' B2 F' D' U R'
R2 U' B2 F' D2 U R'
B2 R' D' B D L2 B2
B2 R' D' B D B2 L2
R2 U2 L R2 U' B U'
R2 U2 L U D F' U
R2 U2 L U D' F' U
R2 U2 L U D2 F' U
R2 U2 L U F' U D
R2 U2 L U F' U D'
R2 U2 L U F' U D2
R2 U2 L U F' D U
R2 U2 L U F' D' U
R2 U2 L U F' D2 U
R U2 L R U F' U
R2 U2 L D U F' U
R U2 L R' U' B U'
R2 U2 L D' U F' U
R2 U2 L D2 U F' U
L2 U2 L' R2 U F' U
L2 U2 L' U' D B U'
L2 U2 L' U' D' B U'
L2 U2 L' U' D2 B U'
L2 U2 L' U' B U' D
L2 U2 L' U' B U' D'
L2 U2 L' U' B U' D2
L2 U2 L' U' B D U'
L2 U2 L' U' B D' U'
L2 U2 L' U' B D2 U'
L2 U2 L' D U' B U'
L2 U2 L' D' U' B U'
L2 U2 L' D2 U' B U'
L' U2 L2 R2 U F' U
L' U2 L2 U' D B U'
L' U2 L2 U' D' B U'
L' U2 L2 U' D2 B U'
L' U2 L2 U' B U' D
L' U2 L2 U' B U' D'
L' U2 L2 U' B U' D2
L' U2 L2 U' B D U'
L' U2 L2 U' B D' U'
L' U2 L2 U' B D2 U'
L' U2 L2 D U' B U'
L' U2 L2 D' U' B U'
L' U2 L2 D2 U' B U'
R' U2 R L U F U
R' U2 R' L U F U
R U2 R L U F' U
B2 R' B L D L2 B
B2 R' B L D B L2
R' U2 R2 L U F U
B2 R' B L' D L2 B
B2 R' B L' D B L2
B2 R' B L2 D L2 B
B2 R' B L2 D B L2
R U2 R' L U' B U'
L' U2 R2 L2 U F' U
B2 R' B U B2 U' B'
B2 R' B D L' B L'
B2 R' B D L2 D B
B2 R' B D L2 D' B
B2 R' B D L2 D2 B
B2 R' B D L2 B D
B2 R' B D L2 B D'
B2 R' B D L2 B D2
B2 R' B D B L2 D
B2 R' B D B L2 D'
B2 R' B D B L2 D2
B2 R' B D B' L2 B2
L2 U2 R2 L' U F' U
B2 R' B D' B D2 L2
B2 R' B D2 B D' L2
R2 U2 R2 L U' B U'
U R' B R B U' R'
R' U2 D L U F U
L U2 R2 U F' U R2
L2 U2 D L' U' B U'
R' U2 D' L U F U
R2 U2 D L U F' U
B2 R' B2 L U B U'
B2 R' B2 L' U B U'
B2 R' B2 L2 U B U'
B2 R' B2 U D B U'
B2 R' B2 U D' B U'
B2 R' B2 U D2 B U'
B2 R' B2 U B U' D
B2 R' B2 U B U' D'
B2 R' B2 U B U' D2
B2 R' B2 U B D U'
B2 R' B2 U B D' U'
B2 R' B2 U B D2 U'
L2 U2 D' L' U' B U'
B2 R' B2 D U B U'
R' U2 D2 L U F U
R2 U2 D' L U F' U
B2 R' B2 D' U B U'
B2 R' B2 D2 U B U'
U R' B2 R B U' R2
U2 R2 L U D F' U
U2 R2 L U D' F' U
U2 R2 L U D2 F' U
U2 R2 L U F' U D
U2 R2 L U F' U D'
U2 R2 L U F' U D2
