R' F' U' L' U' R
R' L F' U' L' U' R
F L' R' U R2 U B
F L' R' D F' B2 U2
F L' R' D B2 F' U2
F L' R' D' F' U2 F'
F L' R' F' U R2 U
F L' R' F' U2 D' F2
F L' R' F' D B2 U2
F L' R' F' D' U2 F2
R' L' F' U' L' U' R
L' R' F' U' L' U' R
L2 R' F' U' L' U' R
L R' F' U' L' U' R
R' L2 F' U' L' U' R
F R U' L' R2 F' U2
F R U' R2 L' F' U2
F R D' F2 U B R
R2 U' R F' B U2 R
R2 U' R B F' U2 R
R U' R2 F' U2 R F'
R U' D2 L2 B R' F'
R U' D2 B L2 R' F'
R U' D2 B R' L2 F'
R U' D2 B R' F' L2
F R' L' U R2 U B
F R' L' D F' B2 U2
F R' L' D B2 F' U2
F R' L' D' F' U2 F'
F R' L' F' U R2 U
F R' L' F' U2 D' F2
F R' L' F' D B2 U2
F R' L' F' D' U2 F2
F' R' U' L' U' R2 B
F R' D L' F' B2 U2
F R' D L' B2 F' U2
F R' D B2 L' F' U2
F R' D' L' F' U2 F'
F2 R' D' F' L' U2 F
F R' D' F' U2 F' R
D' R' F' U' L' F U'
F2 R' F' L' U R U
R' D' F' U' L' F U'
R D2 U' L2 B R' F'
R D2 U' B L2 R' F'
R D2 U' B R' L2 F'
R D2 U' B R' F' L2
R' F L' F2 U' L' U'
F2 D R' F' L' B U2
F2 D R' F' B L' U2
F2 D R' B F' L' U2
R' F' L U' L2 U' R
R' F' L U2 R D F2
R' F' L U2 D R F2
R' F' L D U2 R F2
R' F' L D' B2 U2 R
R' F' L2 U' L U' R
R' F' U' L' U' R D
R' F' U' L' U' R D'
R' F' U' L' U' R D2
R' F' U' L' U' D R
R' F' U' L' U' D' R
R' F' U' L' U' D2 R
R' F' U' L' D U' R
R' F' U' L' D' U' R
R' F' U' L' D2 U' R
R' F' U' D L' U' R
R' F' U' D' L' U' R
R' F' U' D2 L' U' R
R' F' U2 R U L' U'
R' F' D U' L' U' R
R' F' D' U' L' U' R
R' F' D2 U' L' U' R
R' F' B U' L' U' R
F2 D' R' F' L' U2 F
R' F' B' U' L' U' R
R' F' B2 U' L' U' R
R' F2 D F U2 R F'
F' B R B L D F2
R' B F' U' L' U' R
B2 F' L R D F2 B
B2 F' L R D B F2
B2 F' L R B D F2
B2 F' L D R F2 B
B2 F' L D R B F2
B2 F' R L D F2 B
B2 F' R L D B F2
B2 F' R L B D F2
B F' R B L D F2
R' B' F' U' L' U' R
F' B2 L R D F2 B
F' B2 L R D B F2
F' B2 L R B D F2
F' B2 L D R F2 B
F' B2 L D R B F2
F' B2 R L D F2 B
F' B2 R L D B F2
F' B2 R L B D F2
R' B2 F' U' L' U' R
