F' R F2 U R' B
F U L' U' L B
B U' F U2 L' U'
B U' F' R F2 U
U' F U2 L' U' B
D2 B U' R' F U
D2 B U' F R' U
F' B U' R F2 U
B F U L' U' L
F B U L' U' L
B F' U' R F2 U
F' L R F2 U R' B
F L U L2 U' L2 B
F L U L2 U' B L2
D2 L D L' F L' B
D2 L D L' F B L'
D2 L D L' B F L'
D' L D L2 F L' B
D' L D L2 F B L'
D' L D L2 B F L'
D2 L D F L' F B
D2 L D F L' B F
D2 L D F B L' F
D2 L D B L' F L'
B L D F D2 L' F
D2 L D B F L' F
F L D F2 D' L2 B
F L D F2 D' B L2
F L D F2 B D' L2
F L D B F2 D' L2
B2 L D' L' F B' L
B2 L D' L' B' F L
B L D' L' D2 F L'
F L D2 R2 U R2 B
F' L B U' R F2 U
F L B U L2 U' L2
F L B D F2 D' L2
F' L' R F2 U R' B
B L' U' F' R U L'
D' L' F L' B D L2
U' L' F2 U B L F
F' L' B U' R F2 U
F' L2 R F2 U R' B
F L2 U L U' L' B
F L2 U L U' B L'
D2 L2 U B' L U' B2
B L2 U D2 B' L U'
B L2 D' L' D F L'
B L2 D2 U B' L U'
U L2 D2 B' L U' B2
B L2 F U B' L' U'
D' L2 B L D F L2
D' L2 B L F D L2
D' L2 B L' D L2 F
D2 L2 B U B2 L U'
F' L2 B U' R F2 U
D' L2 B D L F L
F L2 B2 R' U R B'
F L2 B2 R' U B' R
F' R L F2 U R' B
L2 U D2 B' L U' B2
F' R L' F2 U R' B
F' R L2 F2 U R' B
F' R U R' D' L2 B
F' R U R' D' B L2
F' R U R' B D' L2
F2 R U' R' F' B L
F2 R U' R' B L F'
F2 R U' R' B F' L
F R U2 L' U' R' B
U' R D' F L' U F
D R F U R' F2 B
D R F U R' B F2
D R F U F2 R' B
D R F' R' D' L2 B
D R F' R' D' B L2
D R F' R' B D' L2
B R F' R' D' L2 F2
B R F' R' D' F2 L2
F' R F2 L U R' B
F' R F2 L' U R' B
F' R F2 L2 U R' B
F' R F2 U R' D B
F' R F2 U R' D' B
F' R F2 U R' D2 B
F' R F2 U R' B D
F' R F2 U R' B D'
F' R F2 U R' B D2
F R' U2 L' U' R B'
F R' U2 L' U' B' R
B R' D R F' D' L2
F' R' D' L2 R F2 B
F' R' D' L2 R B F2
F' R' D' R L2 F2 B
F' R' D' R L2 B F2
F' R' D' R F2 L2 B
F' R' D' R F2 B L2
F' R' D' R B L2 F2
F' R' D' R B F2 L2
U' R' F U2 L' U' B'
U' R' F' R F2 U B
F R2 U2 L' U' R2 B
U2 R2 F' U R F2 U
R' D R F' D' L2 B
R' D R F' D' B L2
R' D R F' B D' L2
R' D R B F' D' L2
F U L' U' L D B
F U L' U' L D' B
F U L' U' L D2 B
F U L' U' L B D
F U L' U' L B D'
F U L' U' L B D2
F U L' U' L' B L2
F U L' U' L2 B L'
F U L' U' D L B
F U L' U' D' L B
F U L' U' D2 L B
F U L' D U' L B
F U L' D' U' L B
F U L' D2 U' L B
D2 U L2 B' L U' B2
L D F D2 L' F B
L D F D2 L' B F
L D F D2 B L' F
L D F B D2 L' F
B U L2 D2 B' L U'
L D B F D2 L' F
F U D L' U' L B
F U D' L' U' L B
L' D' L' F B D L2
B U D2 L2 B' L U'
L' D' L' B D F L2
L' D' L' B F D L2
F U D2 L' U' L B
L2 D' L' D F L' B
L2 D' L' D F B L'
L2 D' L' D B F L'
L2 D' L' B D F L'
L D' L' D2 F L' B
L D' L' D2 F B L'
L D' L' D2 B F L'
L D' L' F B' L B2
L D' L' B' F L B2
L D' L2 B' L F B2
L D' L2 B' L B2 F
D' U' L' U F B L
U' D' L' U F B L
D' U' L' U B F L
U' D' L' U B F L
F U B' L' U' L B2
F U B2 L' U' L B'
R D' F L' U R' F
R D' F L' U F R'
U' D' F L' U F B
D' U' F L' U F B
U' D' F L' U B F
D' U' F L' U B F
L2 D' B L D L2 F
L2 D' B L' D F L2
L2 D' B L' F D L2
B U' R F U2 L' U'
B U' R F' R F2 U
B U' R' F U2 L' U'
B U' R' F' R F2 U
L D' B' L' F L2 B2
L D' B' L' F B2 L2
L D' B' L' B2 F L2
B U' R2 F U2 L' U'
B U' R2 F' R F2 U
B U' D R F U F2
B U' D F R U F'
B' U' F U2 L' U' B2
B' U' F' R F2 U B2
B U' F R U2 L' U'
B U' F R' U2 L' U'
B2 U' F' R F2 U B'
B U' F R2 U2 L' U'
B U' F U2 L' U' D
B U' F U2 L' U' D'
B U' F U2 L' U' D2
B U' F U2 L' D U'
B U' F U2 L' D' U'
B U' F U2 L' D2 U'
B U' F U2 D L' U'
B U' F U2 D' L' U'
B U' F U2 D2 L' U'
B U' F D U2 L' U'
B U' F D' U2 L' U'
B U' F D2 U2 L' U'
B U' F' R U D' L2
B U' F' R D' U L2
B U' F' R F2 U D
B U' F' R F2 U D'
B U' F' R F2 U D2
B U' F' R F2 D U
B U' F' R F2 D' U
B U' F' R F2 D2 U
B U' F' R' F2 R2 U
B U' F' R2 F2 R' U
F' U' F2 U2 L' U' B
B U' F' D' R U L2
U D2 L2 B' L U' B2
L2 D2 U B' L U' B2
F U2 L' U L U2 B
F U2 L' U' B2 R' B'
L2 D2 B U B2 L U'
U' F L U D F2 B
U' F L U D B F2
U' F L U B D F2
U' F L U2 L2 U' B
U' F L D U F2 B
U' F L D U B F2
U' F L2 U2 L U' B
L F L B D L2 F2
L F L B D F2 L2
U' F R' U2 L' U' B'
D F R U F' R' B
U' F U B U L' U'
L2 F U B' L' U' B2
U' F U2 L' U' D B
U' F U2 L' U' D' B
U' F U2 L' U' D2 B
U' F U2 L' U' B D
U' F U2 L' U' B D'
U' F U2 L' U' B D2
U' F U2 L' D U' B
U' F U2 L' D' U' B
U' F U2 L' D2 U' B
U' F U2 D L' U' B
U' F U2 D' L' U' B
U' F U2 D2 L' U' B
U' F D U2 L' U' B
U F U2 L' F' U' B
R F U2 L' U' R' B
U' F D' U2 L' U' B
U' F D2 U2 L' U' B
B D R F' R' D' L2
B D R F' D' L2 R'
B D R F' D' R' L2
L2 F B L D L2 F2
L2 F B L D F2 L2
L2 F B U L' B2 U'
L2 F B U B2 L' U'
D' F' L D' L2 F B
D' F' L D' L2 B F
F D U L' U' L B
B D U' R F U F2
D' F' L' D' F L2 B
D' F' L' D' F B L2
D' F' L' D' B F L2
B D U' F R U F'
D' F' L' B D' F L2
L' F' R U R' B L
R F' R' D' L2 F2 B
R F' R' D' L2 B F2
R F' R' D' F2 L2 B
R F' R' D' F2 B L2
R F' R' D' B L2 F2
R F' R' D' B F2 L2
F D B U L' U' L
R F' R' B D' L2 F2
R F' R' B D' F2 L2
B D' L D L2 F L'
F' D' L2 B U' R U
F' D' R U L2 R' B
F' D' R U R' L2 B
F' D' R U R' B L2
D' F' B L D' L2 F
D' F' B L' D' F L2
D2 F' B U' R' F2 U
D2 F' B U' F2 R' U
F D' U L' U' L B
D' F2 L' F D' L2 B
D' F2 L' F D' B L2
D' F2 L' F B D' L2
D' F2 L' B F D' L2
B D' F' L D' L2 F
B D' F' L' D' F L2
F' D' B L2 U' R U
B D' F2 L' F D' L2
F' D' B U' R U L2
F D' B U L' U' L
B D2 L D L' F L'
B D2 L D F L' F
B D2 L2 U B' L U'
D' F2 B L' F D' L2
D2 F2 B U' F' R' U
D' B L D L2 F L'
B D2 U L2 B' L U'
F D2 U L' U' L B
D B R F' R' D' L2
D B R F' D' L2 R'
D B R F' D' R' L2
L2 B R' D L2 R F'
L2 B R' D R L2 F'
L2 B R' D R F' L2
F D2 B U L' U' L
D2 B U' R F R2 U
D2 B U' R' D F U
D2 B U' R' D' F U
D2 B U' R' D2 F U
D2 B U' R' F U D
D2 B U' R' F U D'
D2 B U' R' F U D2
D2 B U' R' F D U
D2 B U' R' F D' U
D2 B U' R' F D2 U
D2 B U' D R' F U
D2 B U' D F R' U
D2 B U' D' R' F U
D2 B U' D' F R' U
D2 B U' D2 R' F U
D2 B U' D2 F R' U
D2 B U' F R' U D
D2 B U' F R' U D'
D2 B U' F R' U D2
D2 B U' F R' D U
D2 B U' F R' D' U
D2 B U' F R' D2 U
D2 B U' F D R' U
D2 B U' F D' R' U
D2 B U' F D2 R' U
D2 B U' F' R' F2 U
L' B U' F' R U L'
F' B L U' R F2 U
D B U' R F U F2
F' B L' U' R F2 U
B F L U L2 U' L2
D B U' F R U F'
B F L D F2 D' L2
D2 B D U' R' F U
D2 B D U' F R' U
F B L U L2 U' L2
F B L D F2 D' L2
L2 B D L' D2 L' F
F' B L2 U' R F2 U
L2 B D L2 R F' R'
L2 B D R L2 F' R'
L2 B D R F' L2 R'
L2 B D R F' R' L2
D2 B D' U' R' F U
D2 B D' U' F R' U
L2 B D' L D2 L2 F
L2 B D' L' D2 F L2
L2 B D' L' F D2 L2
B F L2 U L U' L'
D2 B D2 U' R' F U
D2 B D2 U' F R' U
F B L2 U L U' L'
L B D F D2 L' F
F' B R' D' L2 R F2
F' B R' D' R L2 F2
F' B R' D' R F2 L2
L B D' L' D2 F L'
L2 B F L D L2 F2
L2 B F L D F2 L2
D' B F' L D' L2 F
D' B F' L' D' F L2
L2 B F U L' B2 U'
D2 B F' U' R' F2 U
L2 B F U B2 L' U'
D2 B F' U' F2 R' U
B' F U L' U' L B2
D' B F2 L' F D' L2
B2 F U L' U' L B'
D2 B F2 U' F' R' U
F' B U' R U D' L2
B F U L' U' L D
B F U L' U' L D'
B F U L' U' L D2
B F U L' U' D L
B F U L' U' D' L
B F U L' U' D2 L
F' B U' R D' U L2
B F U L' D U' L
B F U L' D' U' L
B F U L' D2 U' L
F' B U' R F2 U D
F' B U' R F2 U D'
F' B U' R F2 U D2
F' B U' R F2 D U
F' B U' R F2 D' U
F' B U' R F2 D2 U
F' B U' R' F2 R2 U
F' B U' R2 F2 R' U
F' B U' D' R U L2
B F U D L' U' L
B F U D' L' U' L
B F U D2 L' U' L
B' F U2 L' U' B2 R'
F B U L' U' L D
F B U L' U' L D'
F B U L' U' L D2
F B U L' U' D L
F B U L' U' D' L
F B U L' U' D2 L
F B U L' D U' L
F B U L' D' U' L
F' B U' F2 U2 L' U'
F B U L' D2 U' L
B F U B L' U' L
F2 B U' F' R' U F'
B F U B' L' U' L
F B U D L' U' L
B F U B2 L' U' L
F B U D' L' U' L
F B U D2 L' U' L
F B U B L' U' L
F B U B' L' U' L
F B U B2 L' U' L
F' B D' L2 U' R U
F' B D' U' R U L2
B F D U L' U' L
F B D U L' U' L
B F D' U L' U' L
F B D' U L' U' L
B F D2 U L' U' L
F B D2 U L' U' L
B F' L U' R F2 U
B F' L' U' R F2 U
B' F' R F2 U R' B2
B F' L2 U' R F2 U
F' B' R F2 U R' B2
B2 F' R F2 U R' B'
B F' R' D' L2 R F2
B F' R' D' R L2 F2
B F' R' D' R F2 L2
B' F' U' R F2 U B2
F' B' U' R F2 U B2
B2 F' U' R F2 U B'
F B' U L' U' L B2
B F' U' R U D' L2
B F' U' R D' U L2
B F' U' R F2 U D
B F' U' R F2 U D'
B F' U' R F2 U D2
B F' U' R F2 D U
B F' U' R F2 D' U
B F' U' R F2 D2 U
B F' U' R' F2 R2 U
B F' U' R2 F2 R' U
B F' U' D' R U L2
B F' U' F2 U2 L' U'
F B' U2 L' U' B2 R'
B F' D' L2 U' R U
B F' D' U' R U L2
F' B2 R F2 U R' B'
F' B2 U' R F2 U B'
F B2 U L' U' L B'
B F2 U' F' R' U F'
L B2 D' B' L' F L2
