B' D' B' L U' B'
F' L' R B2 U' F R
F L' U F D L2 R2
F L' U F D R2 L2
B2 L' U' F U' L' U
F L' U2 F' B2 U' F2
F L' U2 B2 F' U' F2
B2 L' D R' U' F B
B2 L' D R' U' B F
B L' D2 B R' U' F
B2 L' F' R F U' F
F' L' B2 R U' F R
B2 L2 D' L U' F B'
B2 L2 D' L U' B' F
F' R L' B2 U' F R
F' R D F L' U' L'
B' R D' B' L U' B'
F' R F L' B2 U' F
F' R F B2 L' U' F
F' R B2 L' U' F R
F' R B2 D F L' U'
F' R B2 F L' U' F
B' R' D' B' L U' B'
D' R' B' L U' B' L
D' R' B2 U' L F B'
D' R' B2 U' L B' F
B' R2 D' B' L U' B'
L' D R' U' F L2 B
L' D R' U' F B L2
L' D R' U' B F L2
L D R' U' L2 F B
L D R' U' L2 B F
B2 U F U L' U F
B2 U' L' D' F L B'
B2 U' L' F L D' B2
B2 U' F U' L' U F
U2 F L' U D F L2
U2 F L' U F D L2
B2 U2 F L' F' U F2
U2 F L' U2 B2 U' F
U2 F L' D U F L2
U2 F L' D2 F2 U F'
F' D R F L' U' L'
L' F' R F B2 U' F
L' F' R B2 F U' F
B' D' R B' L U' B'
B' D' R' B' L U' B'
B' D' R2 B' L U' B'
L' F' B2 R F U' F
B' D' B' L R U' B'
B' D' B' L R' U' B'
B' D' B' L R2 U' B'
B' D' B' L U' D B'
B' D' B' L U' D' B'
B' D' B' L U' D2 B'
B' D' B' L U' B' D
B' D' B' L U' B' D'
B' D' B' L U' B' D2
B' D' B' L D U' B'
B' D' B' L D' U' B'
B' D' B' L D2 U' B'
B' D' B' R L U' B'
B' D' B' R' L U' B'
B' D' B' R2 L U' B'
B2 D' B' L B U' B2
B D' B' L B2 U' B
B D2 B R' U B U2
L' B D2 B R' U' F
L B D2 B R' U' F2
D' B' L U R2 U2 B'
D' B' L U' D2 B' L2
D' B' L U' B' D2 L2
D' B' L D B2 U' B
D' B' L D2 U' B' L2
B2 F' L' R U' F R
B2 F' R L' U' F R
B2 F' R D F L' U'
B2 F' R F L' U' F
R' B' D' B' L U' B'
R2 B' D' B' L U' B'
R B' D' B' L U' B'
B2 F' D R F L' U'
B2 F' D2 R F U' F2
F' B2 L' R U' F R
F' B2 R L' U' F R
F' B2 R D F L' U'
F' B2 R F L' U' F
L' B2 U' F U' L' U
L' B2 D R' U' F B
L' B2 D R' U' B F
L2 B2 D' L U' F B'
L2 B2 D' L U' B' F
F' B2 D R F L' U'
L' B2 F' R F U' F
F' B2 D2 R F U' F2
