B' L2 U' B' U' R
U' L2 B' U' R F
U2 R F' D' L2 F
B' R' U F U R2
L2 U' B' U' R F
B' R2 U F U R'
F U' F' B' U2 R
F U' B' F' U2 R
B' U2 R U' F U
F' D' L2 F R B'
F' D' L2 F B' R
F' D' L2 B' F R
U2 F' D' L2 F R
R F' D' L2 F B'
R F' D' L2 B' F
R' B' U F U R2
U2 L R D L F L'
U2 L D L R F L'
U2 L D R L F L'
B2 L D' B R' U2 R2
L2 R' U' B' U' R2 F
L2 R' U' B' U' F R2
B' L' U B U L R
B' L' U B U R L
U' L' U' R F' L' F
L2 R' F R2 B D L2
U' L' U' D2 R F' L'
U' L' U' F' L' F R
B' L' U2 R U B U'
U' L' D2 U' R F' L'
R' L2 U' B' U' R2 F
R' L2 U' B' U' F R2
U2 L2 R U B' U' F
U2 L2 R F U B' U'
B' L2 R' U' B' U' R2
R' L2 F R2 B D L2
U2 L2 U B' U' R F
B' L2 U' D B' U' R
B' L2 U' D' B' U' R
B' L2 U' D2 B' U' R
D2 L2 U' B' U' R F
D' L2 U' B' U' R F
B' L2 U' B' U' R D
B' L2 U' B' U' R D'
B' L2 U' B' U' R D2
B' L2 U' B' U' D R
B' L2 U' B' U' D' R
B' L2 U' B' U' D2 R
B' L2 U' B' D U' R
B' L2 U' B' D' U' R
B' L2 U' B' D2 U' R
F L2 U' F' U2 R F2
B' L2 U2 R U B' U'
D L2 U' B' U' R F
B' L2 D U' B' U' R
U' L2 D B' U' R F
B' L2 D' U' B' U' R
F' L2 D' F R B' L2
F' L2 D' F B' L2 R
F' L2 D' F B' R L2
U' L2 D' B' U' R F
F' L2 D' B' F L2 R
F' L2 D' B' F R L2
B' L2 D2 U' B' U' R
U' L2 D2 B' U' R F
F' L2 F2 U F' R B'
F' L2 F2 U F' B' R
F' L2 F2 U B' F' R
B2 L2 B U' B2 U' R
B2 L2 B U2 R D L2
B2 L2 B U2 D L2 R
B2 L2 B U2 D R L2
B2 L2 B D U2 L2 R
B2 L2 B D U2 R L2
B2 L2 B D' R2 U2 R'
U' L2 B' U' R D F
U' L2 B' U' R D' F
U' L2 B' U' R D2 F
U' L2 B' U' R F D
U' L2 B' U' R F D'
U' L2 B' U' R F D2
U' L2 B' U' R' F R2
U' L2 B' U' R2 F R'
U' L2 B' U' D R F
U' L2 B' U' D' R F
U' L2 B' U' D2 R F
U' L2 B' D U' R F
F' L2 B' D' F L2 R
F' L2 B' D' F R L2
U' L2 B' D' U' R F
U2 L2 B' U' B R F
U' L2 B' D2 U' R F
B L2 B2 U' B U' R
U2 R L D L F L'
R' U F U' B' U2 R2
R' U F B2 U R2 F'
U2 R L2 U B' U' F
U2 R L2 F U B' U'
U2 R U L2 B' U' F
B' R U F U2 F' U'
U2 R U' F U' B' U2
U2 R U2 B' U F U
U2 R D F' D' L2 F
F' R D' L2 F R B'
F' R D' L2 F B' R
F' R D' L2 B' F R
R' U B2 F U R2 F'
U2 R D' F' D' L2 F
U2 R D2 F' D' L2 F
R' U' L2 B' U' R2 F
R' U' L2 B' U' F R2
U2 R F' L2 D' F L2
D2 R F' D' L2 F B'
D2 R F' D' L2 B' F
D' R F' D' L2 F B'
D' R F' D' L2 B' F
U2 R F' D' L2 D F
U2 R F' D' L2 D' F
U2 R F' D' L2 D2 F
U2 R F' D' L2 F D
U2 R F' D' L2 F D'
U2 R F' D' L2 F D2
U2 R F' D' F L2 F
U2 R F' D' F' L2 F
U2 R F' D' F2 L2 F
D R F' D' L2 F B'
D R F' D' L2 B' F
U2 R F2 L2 F D' L2
L2 U' D B' U' R F
L2 U' D' B' U' R F
L2 U' D2 B' U' R F
B' R' L2 U' B' U' R2
R U' F U' B' U2 B
B' R' U D F B2 U
B' R' U D B2 F U
B' R' U F U R2 D
B' R' U F U R2 D'
B' R' U F U R2 D2
B' R' U F D B2 U
B' R' U F B U R2
B' R' U F B' U R2
B' R' U F B2 U R2
B2 R' U F R U R
B' R' U B F U R2
B' R' U B' F U R2
B' R' U B2 F U R2
B' R' U2 R2 U' F U
L2 U' B' U' R D F
L2 U' B' U' R D' F
L2 U' B' U' R D2 F
L2 U' B' U' R F D
L2 U' B' U' R F D'
L2 U' B' U' R F D2
L2 U' B' U' R' F R2
L2 U' B' U' R2 F R'
L2 U' B' U' D R F
L2 U' B' U' D' R F
L2 U' B' U' D2 R F
B' R' D U F B2 U
L2 U' B' D U' R F
B' R' D U B2 F U
L2 U' B' D' U' R F
L2 U' B' D2 U' R F
F' R' D' L2 F R B'
F' R' D' L2 F B' R
F' R' D' L2 B' F R
B' R' D2 L2 U' B' U'
U R' F U' B' U2 R2
U2 R' F' R2 D' L2 F
U R' F B2 U R2 F'
L2 U2 R U B' U' F
L2 U2 R F U B' U'
R2 U2 R' F' D' L2 F
R' U2 R2 F' D' L2 F
D2 R' B' U F U R2
D' R' B' U F U R2
D R' B' U F U R2
B R' B2 U F U R2
U R' B2 F U R2 F'
R' U2 F' R2 D' L2 F
R2 U2 F' R' D' L2 F
B' R2 U D F U R'
B' R2 U D' F U R'
B' R2 U D2 F U R'
B' R2 U F U R' D
B' R2 U F U R' D'
B' R2 U F U R' D2
B' R2 U F U D R'
B' R2 U F U D' R'
B' R2 U F U D2 R'
B' R2 U F D U R'
B' R2 U F D' U R'
B' R2 U F D2 U R'
R2 U2 F' D' L2 R' F
R2 U2 F' D' L2 F R'
R2 U2 F' D' R' L2 F
B2 R2 U F U R' F2
B2 R2 U F U F2 R'
B' R2 U2 R' U' F U
B2 R2 U2 F' R' D' L2
B2 R2 U2 F' D' L2 R'
B2 R2 U2 F' D' R' L2
B' R2 D U F U R'
L2 U2 B' U' B R F
R U2 B' U F U B
F' R2 D' L2 F R B'
F' R2 D' L2 F B' R
F' R2 D' L2 B' F R
B' R2 D' U F U R'
B' R2 D2 U F U R'
L D L U2 R F L'
B2 R2 F' R' D' L2 B'
U2 R2 F' R' D' L2 F
B2 R2 F' D' L2 R' B'
B2 R2 F' D' R' L2 B'
U2 R2 F' D' L2 R' F
U2 R2 F' D' L2 F R'
U2 R2 F' D' R' L2 F
L2 D U' B' U' R F
U' D L2 B' U' R F
B' U R F R' U R
R D F' D' L2 F B'
R D F' D' L2 B' F
U2 D R F' D' L2 F
R' D B' U F B' U
R' D B' U B' F U
B' U R2 F R2 U R
B2 U R2 F U R' F2
B2 U R2 F U F2 R'
B U D' R2 F U R'
U2 D F' D' L2 F R
B' U F U F' R F
B' U F U2 F' U' R
B2 U F R2 U F' R
B2 U F U R2 F' R
B' U F D2 B U R'
L D' L' B' U2 L R
L D' L' B' U2 R L
U' D' L2 B' U' R F
D' U' L2 B' U' R F
D2 U' L2 B' U' R F
L2 D' U' B' U' R F
F U B2 R2 F' B R
F U B2 R2 B F' R
D U' L2 B' U' R F
U2 D' R F' D' L2 F
B' U' L2 B' L2 U' R
F U' L2 F' U2 R F2
R D' F' D' L2 F B'
R D' F' D' L2 B' F
U2 D' F' D' L2 F R
B U' D L2 B' U' R
R' D2 L2 U' B' U' F
F U' D2 F' B' L U2
F U' D2 B' L F' U2
F U' D2 B' F' L U2
F U' F B' L' F2 U2
F U' F' L2 U2 R F
F U' F' D B' U2 R
F U' F' D' B' U2 R
F U' F' D2 B' U2 R
F U' F' B' L U2 R
F U' F' B' L' U2 R
F U' F' B' L2 U2 R
F U' F' B' U2 R D
F U' F' B' U2 R D'
F U' F' B' U2 R D2
F U' F' B' U2 D R
F U' F' B' U2 D' R
F U' F' B' U2 D2 R
F U' F' B' D U2 R
F U' F' B' D' U2 R
F U' F' B' D2 U2 R
U' D2 L2 B' U' R F
D' U2 R F' D' L2 F
D2 U2 R F' D' L2 F
U2 D2 R F' D' L2 F
F U' B' L F' U2 R
F U' B' L' F' U2 R
F U' B' L2 F' U2 R
D U2 R F' D' L2 F
F U' B' F L' F2 U2
F U' B' F' L U2 R
F U' B' F' L' U2 R
F U' B' F' L2 U2 R
F U' B' F' U2 R D
F U' B' F' U2 R D'
F U' B' F' U2 R D2
F U' B' F' U2 D R
F U' B' F' U2 D' R
F U' B' F' U2 D2 R
F U' B' F' D U2 R
F U' B' F' D' U2 R
F U' B' F' D2 U2 R
L2 D2 U' B' U' R F
B' U2 L2 R U B' U'
B' U2 L2 U B' U' R
D' U2 F' D' L2 F R
D2 U2 F' D' L2 F R
B' U2 R L2 U B' U'
B' U2 R U' D F U
B' U2 R U' D' F U
B' U2 R U' D2 F U
B' U2 R U' F U D
B' U2 R U' F U D'
B' U2 R U' F U D2
B' U2 R U' F D U
B' U2 R U' F D' U
B' U2 R U' F D2 U
U2 D2 F' D' L2 F R
B' U2 R D U' F U
B' U2 R D' U' F U
B' U2 R D2 U' F U
B' U2 R F' D' F L2
D U2 F' D' L2 F R
B' U2 R' U' F U R2
R D2 F' D' L2 F B'
R D2 F' D' L2 B' F
R' D2 B' L2 U' B' U'
B' U2 R2 U' F U R'
B2 U2 R2 F' R' D' L2
B2 U2 R2 F' D' L2 R'
B2 U2 R2 F' D' R' L2
B' U2 D R U' F U
B' U2 D' R U' F U
F' U2 D' L2 F B' R'
F' U2 D' L2 B' R' F
F' U2 D' L2 B' F R'
B' U2 D2 R U' F U
R' F L2 U R2 F B
R' F L2 U R2 B F
B' U2 F' D' F L2 R
B' U2 F' D' F R L2
R' F U R2 B D2 F2
R' F U B2 R2 F' B
R' F U B2 R2 B F'
R' F U' F' B' U2 R2
D' F U' F' B' U2 R
D2 F U' F' B' U2 R
R' F U' B' U2 R2 B
R' F U' B' F' U2 R2
D' F U' B' F' U2 R
D2 F U' B' F' U2 R
D F U' F' B' U2 R
D F U' B' F' U2 R
U F U' D2 B' L U2
B' D L2 U' B' U' R
B' D R' U F U R2
B' D R2 U F U R'
U F D2 U' B' L U2
F' D R2 F B' U2 R
F' D R2 B' F U2 R
R' F B2 U R2 F' B
R' F B2 U R2 B F'
B' D U2 R U' F U
B D U' L2 B' U' R
U F B2 R2 U F' R
U F B2 U R2 F' R
F' D F B' R2 U2 R'
U2 F' L2 D' F L2 R
U2 F' L2 D' F R L2
U2 F' R D' L2 F R
R F' L2 D' F B' L2
R F' L2 D' B' F L2
R F' L2 B' D' F L2
U2 F' R' D' L2 F R
R' F' R2 D' L2 F B'
R' F' R2 D' L2 B' F
R2 F' R' D' L2 F B'
R2 F' R' D' L2 B' F
F' D B' R2 F U2 R
U2 F' R2 D' L2 F R
F' D B' F R2 U2 R'
F' D' L2 R F R B'
F' D' L2 R F B' R
B' D' L2 U' B' U' R
F' D' L2 R B' F R
F' D' L2 R' F R B'
F' D' L2 R' F B' R
F' D' L2 R' B' F R
F' D' L2 R2 F R B'
F' D' L2 R2 F B' R
F' D' L2 R2 B' F R
D2 F' D' L2 F R B'
F' D' L2 D F R B'
D2 F' D' L2 F B' R
F' D' L2 D F B' R
D2 F' D' L2 B' F R
F' D' L2 D B' F R
D' F' D' L2 F R B'
D' F' D' L2 F B' R
D' F' D' L2 B' F R
F' D' L2 D' F R B'
F' D' L2 D' F B' R
F' D' L2 D' B' F R
F' D' L2 D2 F R B'
F' D' L2 D2 F B' R
F' D' L2 D2 B' F R
F' D' L2 F R D B'
F' D' L2 F R D' B'
F' D' L2 F R D2 B'
F' D' L2 F R B' D
F' D' L2 F R B' D'
F' D' L2 F R B' D2
F' D' L2 F R' B' R2
F' D' L2 F D R B'
F' D' L2 F D B' R
F' D' L2 F D' R B'
F' D' L2 F D' B' R
F' D' L2 F D2 R B'
F' D' L2 F D2 B' R
F' D' L2 F B R B2
F' D' L2 F B' R D
F' D' L2 F B' R D'
F' D' L2 F B' R D2
F' D' L2 F B' D R
F' D' L2 F B' D' R
F' D' L2 F B' D2 R
F' D' L2 B F R B2
F' D' L2 B' R F R
F' D' L2 B' R' F R
F' D' L2 B' R2 F R
F' D' L2 B' D F R
F' D' L2 B' D' F R
F' D' L2 B' D2 F R
F' D' L2 B' F R D
F' D' L2 B' F R D'
F' D' L2 B' F R D2
F' D' L2 B' F D R
F' D' L2 B' F D' R
F' D' L2 B' F D2 R
F' D' R L2 F R B'
F' D' R L2 F B' R
F' D' R L2 B' F R
U2 F' D' L2 R F R
U2 F' D' L2 R' F R
U2 F' D' L2 R2 F R
U2 F' D' L2 D F R
U2 F' D' L2 D' F R
U2 F' D' L2 D2 F R
U2 F' D' L2 F R D
U2 F' D' L2 F R D'
U2 F' D' L2 F R D2
U2 F' D' L2 F D R
U2 F' D' L2 F D' R
U2 F' D' L2 F D2 R
U2 F' D' R L2 F R
U2 F' D' R' L2 F R
U2 F' D' R2 L2 F R
R2 F' D' L2 R' F B'
R2 F' D' L2 R' B' F
R2 F' D' L2 F R' B'
U2 F' D' F L2 R F
U2 F' D' F R L2 F
R2 F' D' R' L2 F B'
R2 F' D' R' L2 B' F
D F' D' L2 F R B'
D F' D' L2 F B' R
D F' D' L2 B' F R
B' D' R' U F U R2
F' D' R' L2 F R B'
F' D' R' L2 F B' R
F' D' R' L2 B' F R
R F' D' L2 D F B'
R F' D' L2 D B' F
R F' D' L2 D' F B'
R F' D' L2 D' B' F
R F' D' L2 D2 F B'
R F' D' L2 D2 B' F
R F' D' L2 F D B'
R F' D' L2 F D' B'
R F' D' L2 F D2 B'
R F' D' L2 F B' D
R F' D' L2 F B' D'
R F' D' L2 F B' D2
R F' D' L2 B' D F
R F' D' L2 B' D' F
R F' D' L2 B' D2 F
R F' D' L2 B' F D
R F' D' L2 B' F D'
R F' D' L2 B' F D2
