B L R U L2 U2
B L R U' D2 R2
B L R D F2 U'
B L R D2 U' R2
B L D R F2 U'
B L D2 R U' R
B R L U L2 U2
B R L U' D2 R2
B R L D F2 U'
B R L D2 U' R2
B R F2 L U' R
B L R U L2 U2 D
B L R U L2 U2 D'
B L R U L2 U2 D2
B L R U L2 D U2
B L R U L2 D' U2
B L R U L2 D2 U2
B L R U' R D2 R2
B L R U' R' D2 R2
B L R U' R2 D2 R2
B L R U' D2 R2 D
B L R U' D2 R2 D'
B L R U' D2 R2 D2
B L R U2 D' B2 U
B L R D F2 U' D
B L R D F2 U' D'
B L R D F2 U' D2
B L R D F2 D U'
B L R D F2 D' U'
B L R D F2 D2 U'
B L R D' U2 B2 U
B L R D2 U' R2 D
B L R D2 U' R2 D'
B L R D2 U' R2 D2
B L R D2 F U' R2
B L R D2 F' U' R2
B L R D2 F2 U' R2
B L R F U L2 U2
B L R F U' D2 R2
B L R F D F2 U'
B L R F D2 U' R2
B L R F' U L2 U2
B L R F' U' D2 R2
B L R F' D F2 U'
B L R F' D2 U' R2
B L R F2 U L2 U2
B L R F2 U' D2 R2
B L R F2 D F2 U'
B L R F2 D2 U' R2
B L R' D F2 U' B2
B L R2 D R' F2 U'
B L R2 D F2 R' U'
B L R2 D2 R' U' R'
B L U L2 U' R U'
B L D R U' D R2
B L D R D U' R2
B L D R F2 U' D
B L D R F2 U' D'
B L D R F2 U' D2
B L D R F2 D U'
B L D R F2 D' U'
B L D R F2 D2 U'
B L D R' F2 R2 U'
B L D R2 F2 R' U'
B L D F2 U2 L' U
B L D' R U' D' R2
B L D' R U2 B2 U
B L D' R D' U' R2
B L D' R D2 F2 U'
B L D2 R U' R D
B L D2 R U' R D'
B L D2 R U' R D2
B L D2 R U' D R
B L D2 R U' D' R
B L D2 R U' D2 R
B L D2 R D U' R
B L D2 R D' U' R
B L D2 R D2 U' R
B L F2 D F2 R U'
F2 L' R2 F' U R' F'
B L' U' L2 R U' L2
B L' U' R L2 U' L2
