L F2 U F R U
F2 L R D' B R' U2
D L U' R2 B L U'
F2 L U' B L B' U'
F2 L U2 D L F L'
U2 L U2 F D' L2 B'
F2 L D U2 L F L'
F2 L D' R B R' U2
F2 L D' B R' U2 F'
F2 L D' B' U2 L F
R' L F2 U2 D' F L'
R' L F2 D' U2 F L'
F' L F' U F R U
U2 L F2 U F U F2
U2 L F2 U2 F' D' L2
L R' F2 U2 D' F L'
L R' F2 D' U2 F L'
D' L2 F' R' U F' R
F2 R L D' B R' U2
R U' L F2 B U2 L
R U' L B F2 U2 L
L U' D R2 B L U'
F' R' U F' B2 R' B
F' R' U B2 F' R' B
R U' F2 L B U2 L
L U2 L F D' L2 B'
F' R' B2 U F' R' B
L D U' R2 B L U'
F2 U F R U' L U2
F2 U F R B2 U R'
F2 U F B2 R U R2
F2 U B2 F R U R2
D2 U' F' U B2 R' F'
U' D2 F' U B2 R' F'
D' F D' B2 L2 R' F'
D' F D' B2 R' L2 F'
D' F D' B2 R' F' L2
B2 D R2 B U' R F'
D2 F B2 R' D' L2 F'
D2 F B2 R' D' F' L2
D2 F B2 D' L2 R' F'
D2 F B2 D' R' L2 F'
D2 F B2 D' R' F' L2
D2 F' R' U F' B2 R'
D2 F' R' U B2 F' R'
U' F' U' L F' U2 F2
U' F' U' F' L U2 F
F D' L U2 L F B'
F D' L U2 L B' F
U2 F2 L U2 D F L'
U2 F2 L D U2 F L'
F D' F L U2 L F
L F2 R B U F U
L F2 R' U F U F2
L F2 R' U2 F' D' L2
F D' B' L2 B' R' F'
L F2 U R F R U
L F2 U R' F R U
L F2 U R2 F R U
L F2 U D F R U
F D' B2 L2 R' F' B'
F D' B2 L2 R' B' F'
L F2 U D' F R U
L F2 U D2 F R U
L F2 U F R U D
L F2 U F R U D'
L F2 U F R U D2
L F2 U F R D U
L F2 U F R D' U
L F2 U F R D2 U
F D' B2 R' L2 F' B'
F D' B2 R' L2 B' F'
L F2 U F D R U
L F2 U F D' R U
L F2 U F D2 R U
L F2 U2 L D F L'
L F2 D U F R U
L F2 D' U F R U
L F2 D2 U F R U
D2 F2 B2 R' F' D' L2
L F2 B U F R U
L F2 B' U F R U
L F2 B2 U F R U
B2 F R' D' L2 F' B'
B2 F R' D' L2 B' F'
L B F2 U F R U
B' F D' L2 B' R' F'
B2 F D' L2 R' F' B'
B2 F D' L2 R' B' F'
B2 F D' R' L2 F' B'
B2 F D' R' L2 B' F'
B2 F' R2 U B R F'
F2 B' U F R B U
L B' F2 U F R U
F B' D' L2 B' R' F'
D2 B2 R' D' F L' F2
D2 B2 R' F2 D' F L'
D B2 R2 B U' R F'
D2 B2 U' F' U R' F'
B2 F2 R' F' D' L2 B'
F2 B2 R' F' D' L2 B'
F' B2 R2 U B R F'
B' F2 U F R B U
F B2 R' D' L2 F' B'
F B2 R' D' L2 B' F'
B2 F2 U F R U R2
F2 B2 U F R U R2
D2 B2 F R' D' L2 F'
D2 B2 F R' D' F' L2
D2 B2 F D' L2 R' F'
D2 B2 F D' R' L2 F'
D2 B2 F D' R' F' L2
D2 B2 F2 R' F' D' L2
F B2 D' L2 R' F' B'
F B2 D' L2 R' B' F'
F B2 D' R' L2 F' B'
F B2 D' R' L2 B' F'
L B2 F2 U F R U
