U2 B' U' R' B U
F2 L2 D' F L' U2 F
D' L2 F L' U R U
L U R' B L U F
R2 U R2 U2 B' R' F'
U' R F' R2 U' F' B'
U' R F' R2 U' B' F'
U' R F' U B U2 B2
U' R F' U' B' D2 F2
B R F' L' U' B2 L
R2 U' D2 B' L2 R' F'
R2 U' D2 B' R' L2 F'
R2 U' D2 B' R' F' L2
U' R' U' F' B' D' R2
U' R' U' B' D' F' R2
U' R' U' B' F' D' R2
U' R' U2 B U F' B2
U' R' U2 B U B2 F'
R2 U' B' D2 L2 R' F'
R2 U' B' D2 R' L2 F'
R2 U' B' D2 R' F' L2
U R' B L U F B2
U R' B L U B2 F
F R' B R2 U B2 L
U2 R' B' R D' R2 F2
U2 R' B' R D' F2 R2
U2 R' B' U' R' B2 U
F R' B' D' F2 L' R2
F R' B' D' F2 R2 L'
U' R2 U' R F' B' R'
U' R2 U' R B' F' R'
U' R2 U' R2 B' R' F'
U' R2 U' B' R F' R2
F U R U2 F' U' B'
F U R' B R2 U B2
U' D' R' U' F' R B'
U' D' R' U' F' B' R
D' U' R' U' F' R B'
D' U' R' U' F' B' R
U' D' R' U' B' F' R
L2 D' F L' U R U
D' U' R' U' B' F' R
U2 D' F' B' R D' F2
U2 D' B' F' R D' F2
R2 D2 U' B' L2 R' F'
R2 D2 U' B' R' L2 F'
R2 D2 U' B' R' F' L2
D' U2 F' B' R D' F2
D' U2 B' F' R D' F2
F U2 R' B' D' R2 F2
F U2 R' B' D' F2 R2
L2 F U R U2 F' U'
L2 F U R' B R2 U
B U2 B2 D' R F' R
B U2 B2 D' F' R F'
U2 F B' U' R' B U
R F' L' U' B2 L B'
R F' L' B2 U' L B'
F2 D' L2 F L' B' U2
U2 F' B' U' R' B U
R F' B2 L' U' L2 B
R F' B2 L' U' B L2
R' F2 B' D' L' R2 F
R' F2 B' D' L' F R2
R' F2 B' D' R2 L' F
U2 F2 B' U' R' B U
R' B R2 U B2 L F
R' B U' R B U2 B
U2 B' R U' R2 B U
U2 B' U' R' D B U
U2 B' U' R' D' B U
U2 B' U' R' D2 B U
U2 B' U' R' B U D
U2 B' U' R' B U D'
U2 B' U' R' B U D2
U2 B' U' R' B D U
U2 B' U' R' B D' U
U2 B' U' R' B D2 U
U2 B' D' F' R D' F2
U2 B' F U' R' B U
U2 B' F' U' R' B U
R' B' F2 D' L' R2 F
R' B' F2 D' L' F R2
R' B' F2 D' R2 L' F
U2 B' F2 U' R' B U
U' B2 D L2 B R' F'
U' B2 D B L2 R' F'
U' B2 D B R' L2 F'
U' B2 D B R' F' L2
U2 B2 D' F' B R F'
U2 B2 D' B R F' R
U2 B2 D' B F' R F'
R B2 F' L' U' L2 B
R B2 F' L' U' B L2
