D' F L' U' B L
D2 L' U' F B L R
D2 L' U' F B R L
D2 L' U' B F L R
D2 L' U' B F R L
B R U F B U' F2
B R U B F U' F2
B' R F B U' F2 B
B' R F B U' B F2
B2 R F B U' F2 B2
B2 R F B U' B2 F2
B R F B U' F2 B'
B R F B U' B' F2
B R F' U F2 B U'
B R F' U B F2 U'
B2 R F' B' D L2 R2
B2 R F' B' D R2 L2
B' R B F U' F2 B
B' R B F U' B F2
B2 R B F U' F2 B2
B2 R B F U' B2 F2
B R B F U' F2 B'
B R B F U' B' F2
B2 R B' F' D L2 R2
B2 R B' F' D R2 L2
L' U' F B L R F'
L' U' F B R L F'
L' U' F B R F' L
L' U' B L F R F'
L' U' B F L R F'
L' U' B F R L F'
L' U' B F R F' L
R D F B R' U' F2
R D B F R' U' F2
B U F U R U2 F'
U2 D' F L' B' U' B2
F U' R F' R' B L
F U' D2 L' F B L
F U' D2 L' B F L
F U' D2 L2 B L F
F U' D2 B L' F L2
F U' B L R F' R'
F U' B L2 D2 L' F
F U' B R L F' R'
F U' B R F' L R'
F U' B R F' R' L
F U' B D2 L' F L2
D' U2 F L' B' U' B2
D' F L' U' L B L
D' F L' U' L' B L
D' F L' U' L2 B L
D' F L' U' D B L
D' F L' U' D' B L
D' F L' U' D2 B L
D' F L' U' B L D
D' F L' U' B L D'
D' F L' U' B L D2
D' F L' U' B D L
D' F L' U' B D' L
D' F L' U' B D2 L
D2 F L' U' F B L
D2 F L' U' B F L
D' F L' D U' B L
D' F L' D' U' B L
D' F L' D2 U' B L
R F R' U' F2 B L
R F R' U' B L F2
R F R' U' B F2 L
D2 F U' L' F B L
D2 F U' L' B F L
D2 F U' L2 B L F
D' F U' B L D F2
D2 F U' B L' F L2
D' F D L' U' B L
D' F D' L' U' B L
D' F D2 L' U' B L
R F B R' U' F2 B
R F B R' U' B F2
F D2 L' U' F B L
F D2 L' U' B F L
U' B L R D F' R
F D2 U' L' F B L
F D2 U' L' B F L
F D2 U' L2 B L F
F D2 U' B L' F L2
U' B R L D F' R
U' B R F' L D R2
U' B R F' D L R2
U' B R F' D R2 L
U B R F' L' D R2
U B R F' D L' R2
U B R F' D R2 L'
B' F R B U' F' B
B' F R B U' B F'
B2 F R B U' F' B2
B2 F R B U' B2 F'
B F R B U' F' B'
B F R B U' B' F'
F B R B U' F' B'
F B R B U' B' F'
R B F R' U' F2 B
R B F R' U' B F2
F B' R B U' F' B
F B' R B U' B F'
F B2 R B U' F' B2
F B2 R B U' B2 F'
