D' U F L' U2 F'
U' D' F L' U2 L
D' U' F L' U2 L
U D' F L' U2 F'
R2 D2 L2 U' B' R'
U F U2 D' F' R
U F D' U2 F' R
L2 R F' U2 R' U B'
R' L' U2 B R U B
L' R' U2 B R U B
L2 R' U2 B R U B2
L2 R2 U' D' F2 B' R'
L2 R2 U' D' B' R' F2
L2 R2 U' D' B' F2 R'
R2 L2 U' D' F2 B' R'
R2 L2 U' D' B' R' F2
R2 L2 U' D' B' F2 R'
L2 R2 U' B' D' R' F2
L2 R2 U' B' D' F2 R'
R2 L2 U' B' D' R' F2
R2 L2 U' B' D' F2 R'
L2 R2 U2 R2 U B' R'
R2 L2 U2 R2 U B' R'
R' L2 U2 B R U B2
L2 R2 D' U' F2 B' R'
L2 R2 D' U' B' R' F2
L2 R2 D' U' B' F2 R'
R2 L2 D' U' F2 B' R'
R2 L2 D' U' B' R' F2
R2 L2 D' U' B' F2 R'
R L2 F' U2 R' U B'
D' L2 U' B' R2 F' R
R2 U D F B2 U2 R
R2 U D B2 F U2 R
R2 U D' F U2 R F
R2 U F U R2 U R'
R2 U F U2 D' R F2
R2 U F D B2 U2 R
R2 U F D' U2 R F2
U' R F D' L2 U2 L2
L2 U' R' B' D' R2 F'
L2 U' D' B' R2 F' R
L2 U' B' D' R2 F' R
F R' U2 B R U B'
R' U2 L2 B R U B2
U2 R' B U' F U2 F'
R2 U2 R2 U' F U2 R
R' U2 B L2 R U B'
R' U2 B R L2 U B'
R' U2 B R U' F U2
R2 D U F B2 U2 R
R2 D U B2 F U2 R
D' U F L' U2 D F'
D' U F L' U2 D' F'
D' U F L' U2 D2 F'
D' U F L' U2 F' D
D' U F L' U2 F' D'
D' U F L' U2 F' D2
D' U F L' D U2 F'
D' U F L' D' U2 F'
D' U F L' D2 U2 F'
D' U F L' B U2 F'
D' U F L' B' U2 F'
D' U F L' B2 U2 F'
B2 U D L2 B R' B2
D' U F U2 F2 R F
D' U F D L' U2 F'
D2 U F U2 D F' R
D' U F D' L' U2 F'
D2 U F D U2 F' R
D' U F D2 L' U2 F'
D' U F B L' U2 F'
D' U F B' L' U2 F'
D' U F B2 L' U2 F'
B2 U D B L2 R' B'
B2 U D B R' L2 B'
B2 U D B2 L2 B' R'
D U F U2 D2 F' R
D U F D2 U2 F' R
F2 U D' F' U2 R F
D U F B U2 F' R'
D U F B' L U2 F'
U D F U2 D2 F' R
U D F D2 U2 F' R
U D F B U2 F' R'
U D F B' L U2 F'
D' U B F L' U2 F'
R2 D' L2 U' F2 B' R'
R2 D' L2 U' B' R' F2
R2 D' L2 U' B' F2 R'
D' U B' F L' U2 F'
D U B F U2 F' R'
U D B F U2 F' R'
D' U B2 F L' U2 F'
D U B' F L U2 F'
U D B' F L U2 F'
R2 D' U F U2 R F
L2 D' U' B' R2 F' R
D' U' R F L' U2 L
U' D' R F L' U2 L
U' D' R' F L' U2 L
D' U' R' F L' U2 L
U' D' R2 F L' U2 L
D' U' R2 F L' U2 L
D' U' F L' R U2 L
U' D' F L' R U2 L
D' U' F L' R' U2 L
U' D' F L' R' U2 L
D' U' F L' R2 U2 L
U' D' F L' R2 U2 L
U' D' F L' U2 L D
U' D' F L' U2 L D'
U' D' F L' U2 L D2
D' U' F L' U2 L D
D' U' F L' U2 L D'
D' U' F L' U2 L D2
U' D' F L' U2 D L
D' U' F L' U2 D L
U' D' F L' U2 D' L
D' U' F L' U2 D' L
D' U' F L' U2 D2 L
U' D' F L' U2 D2 L
D' U' F L' D U2 L
U' D' F L' D U2 L
D' U' F L' D' U2 L
U' D' F L' D' U2 L
D' U' F L' D2 U2 L
U' D' F L' D2 U2 L
D' U' F R L' U2 L
U' D' F R L' U2 L
D' U' F R' L' U2 L
U' D' F R' L' U2 L
D' U' F R2 L' U2 L
U' D' F R2 L' U2 L
D' U' F D L' U2 L
U' D' F D L' U2 L
D' U' F D' L' U2 L
U' D' F D' L' U2 L
D' U' F D2 L' U2 L
U' D' F D2 L' U2 L
U D' F L' U2 D F'
U D' F L' U2 D' F'
U D' F L' U2 D2 F'
U D' F L' U2 F' D
U D' F L' U2 F' D'
U D' F L' U2 F' D2
U D' F L' D U2 F'
U D' F L' D' U2 F'
U D' F L' D2 U2 F'
U D' F L' B U2 F'
U D' F L' B' U2 F'
U D' F L' B2 U2 F'
U D' F U2 F2 R F
U D' F D L' U2 F'
U D' F D' L' U2 F'
U D' F D2 L' U2 F'
U D' F B L' U2 F'
U D' F B' L' U2 F'
U D' F B2 L' U2 F'
B2 U' D' R2 F L' U2
B2 U' D' F L' R2 U2
B2 U' D' F R2 L' U2
U D' B F L' U2 F'
U D' B' F L' U2 F'
R2 D2 L2 R' F' U' B'
R2 D2 L2 U' R B' R'
R2 D2 L2 U' R' B' R'
R2 D2 L2 U' R2 B' R'
R2 D2 L2 U' D B' R'
R2 D2 L2 U' D' B' R'
R2 D2 L2 U' D2 B' R'
R2 D2 L2 U' B' R' D
R2 D2 L2 U' B' R' D'
R2 D2 L2 U' B' R' D2
R2 D2 L2 U' B' D R'
R2 D2 L2 U' B' D' R'
R2 D2 L2 U' B' D2 R'
R2 D2 L2 D U' B' R'
R2 D2 L2 D' U' B' R'
R2 D2 L2 D2 U' B' R'
R2 D2 L2 F U' B' R'
R2 D2 L2 F' U' B' R'
R2 D2 L2 F2 U' B' R'
U D' B2 F L' U2 F'
R2 D2 R' L2 F' U' B'
U D2 F U2 D F' R
U D2 F D U2 F' R
U F L U2 D' F' R
U F L D' U2 F' R
U F L' U2 D' F' R
U F L' D' U2 F' R
U F L2 U2 D' F' R
U F L2 D' U2 F' R
U F U2 D' F' R D
U F U2 D' F' R D'
U F U2 D' F' R D2
U F U2 D' F' D R
U F U2 D' F' D' R
U F U2 D' F' D2 R
U F D B U2 F' R'
U F D B' L U2 F'
U F D' L U2 F' R
U F D' L' U2 F' R
U F D' L2 U2 F' R
U F D' U2 F' R D
U F D' U2 F' R D'
U F D' U2 F' R D2
U F D' U2 F' D R
U F D' U2 F' D' R
U F D' U2 F' D2 R
U F D' B U2 F' R
U F D' B' U2 F' R
U F D' B2 U2 F' R
B2 D U L2 B R' B2
U F B U2 D' F' R
B2 D U B L2 R' B'
B2 D U B R' L2 B'
U F B D' U2 F' R
