B' L D R2 F' R B
U L' F L' B' U L
U L2 F B' L' U L2
U L2 B' U D' L B'
U L2 B' D' U L B'
U L2 B' F L' U L2
L2 U F B' L' U L2
L2 U B' U D' L B'
L2 U B' D' U L B'
L2 U B' F L' U L2
F' U' R F2 B' U' L
F' U' R B' F2 U' L
D2 U' F B R' U' L'
D2 U' F B2 U' L' B'
D2 U' B R' F U' L'
D2 U' B F R' U' L'
D2 U' B2 F U' L' B'
F' U' B' R F2 U' L
U' D2 F B R' U' L'
U' D2 F B2 U' L' B'
U' D2 B R' F U' L'
U' D2 B F R' U' L'
U' D2 B2 F U' L' B'
F U2 D L' F U F'
L2 F U B' L' U L2
U' F U' B' L D' B2
U' F U2 D L' F U
U' F D U2 L' F U
U' F B' U' L D' B2
U' F B' U2 L' U L2
F D U2 L' F U F'
U' F' R F2 B' U' L
U' F' R B' F2 U' L
D2 F' D' L2 R F' U2
D2 F' D' R L2 F' U2
D2 F' D' R F' L2 U2
U' F' B' R F2 U' L
U' B' D' F U' L B'
U' B' F U' L D' B2
U' B' F U2 L' U L2
U' B' F' R F2 U' L
