B2 R F' L' R' U
B2 R F' R' L' U
B2 U L' D B' L
B2 U D L' B' L
B2 U2 B' R' B U'
B2 D U L' B' L
R F' L' R' B2 U
R F' R' L' B2 U
R F' R' B2 L' U
B2 D2 F' L' F U
B2 F' D2 L' F U
F' B2 D2 L' F U
B2 L R F' L' R' U
B2 L R F' R' L' U
B2 L U L' D B' L
B2 L U D L' B' L
D2 L U2 F2 B' R' U'
D2 L U2 B' R' F2 U'
D2 L U2 B' F2 R' U'
B2 L U2 B' R' B U'
B2 L D U L' B' L
L' R F' L' R' B2 U
L R F' L' R' B2 U
L' R F' R' L' B2 U
L2 R F' L' R' B2 U
L' R F' R' B2 L' U
R L F' L' R' B2 U
L R F' R' L' B2 U
L2 R F' R' L' B2 U
L R F' R' B2 L' U
L2 R F' R' B2 L' U
R L F' R' L' B2 U
R L F' R' B2 L' U
B2 L D2 F' L' F U
B2 L F' D2 L' F U
F' L' R F' R' B2 U
B2 L' R F' L' R' U
B2 L' R F' R' L' U
B2 L' U L' D B' L
B2 L' U D L' B' L
R L' F' L' R' B2 U
R L' F' R' L' B2 U
R L' F' R' B2 L' U
B2 L' U2 B' R' B U'
B2 L' D U L' B' L
U L' D B' D2 L R2
U L' D B' D2 R2 L
F' L' D' F U L' R2
F' L' D' F U R2 L'
U L' D' R2 D2 B' L
B2 L' D2 F' L' F U
D2 L' F U2 R F U'
B2 L' F' D2 L' F U
F' L' B' D B' U L
F' L' B2 R F' R' U
F' L' B2 D' F U L'
B2 L2 R F' L' R' U
B2 L2 R F' R' L' U
R L2 F' L' R' B2 U
B2 L2 U L' D B' L
R L2 F' R' L' B2 U
R L2 F' R' B2 L' U
B2 L2 U D L' B' L
B2 L2 U2 B' R' B U'
B2 L2 D U L' B' L
B2 L2 D2 F' L' F U
B2 L2 F' D2 L' F U
F' L2 B2 U2 R' B U'
B2 R L F' L' R' U
B2 R L F' R' L' U
F' R L' F' R' B2 U
B2 R L' F' L' R' U
B2 R L' F' R' L' U
B2 R L2 F' L' R' U
B2 R L2 F' R' L' U
U' R U F' B2 U B'
U' R U B2 F' U B'
U R U' F' L' B2 U
U R U' F' B2 L' U
U R U' B2 F' L' U
U2 R U2 F' L' B2 U
U2 R U2 F' B2 L' U
U2 R U2 B2 F' L' U
F R U2 F' R' B2 U
B2 R D F' L' R' U
B2 R D F' R' L' U
B2 R D' F' L' R' U
B2 R D' F' R' L' U
B2 R D2 F' L' R' U
B2 R D2 F' R' L' U
B2 R F' L' R' U D
B2 R F' L' R' U D'
B2 R F' L' R' U D2
B2 R F' L' R' D U
B2 R F' L' R' D' U
