D' F' R D' L2 B2
D' F' R D' B2 L2
D' F' D' L2 R B2
D' F' D' L2 B2 R
D' F' D' R L2 B2
D' F' D' R B2 L2
D' F' D' B2 L2 R
D' F' D' B2 R L2
F L2 R' B U F2 B2
F L2 R' B U B2 F2
D' L2 U2 B' U' F' R
F R' L2 B U F2 B2
F R' L2 B U B2 F2
F R' B L2 U F2 B'
F R' B L2 U B' F2
F R' B U' F U2 F
F R2 U' F U2 F R
D' U F' R D' L2 B2
D' U F' R D' B2 L2
D' U F' D' L2 R B2
D' U F' D' L2 B2 R
D' U F' D' R L2 B2
D' U F' D' R B2 L2
D' U F' D' B2 L2 R
D' U F' D' B2 R L2
F2 U D' F' U R F2
F2 U F' R' B U F2
L2 D' L2 F U F2 R
F U F2 D R2 B R'
U' D' F' R D' L2 B2
D' U' F' R D' L2 B2
U' D' F' R D' B2 L2
D' U' F' R D' B2 L2
D' U' F' D' L2 R B2
U' D' F' D' L2 R B2
D' U' F' D' L2 B2 R
D' U' F' D' R L2 B2
U' D' F' D' L2 B2 R
U' D' F' D' R L2 B2
D' U' F' D' R B2 L2
U' D' F' D' R B2 L2
U' D' F' D' B2 L2 R
U' D' F' D' B2 R L2
D' U' F' D' B2 L2 R
D' U' F' D' B2 R L2
U2 D' F' R D' L2 B2
U2 D' F' R D' B2 L2
U2 D' F' D' L2 R B2
U2 D' F' D' L2 B2 R
U2 D' F' D' R L2 B2
U2 D' F' D' R B2 L2
U2 D' F' D' B2 L2 R
U2 D' F' D' B2 R L2
U D' F' R D' L2 B2
U D' F' R D' B2 L2
U D' F' D' L2 R B2
U D' F' D' L2 B2 R
U D' F' D' R L2 B2
U D' F' D' R B2 L2
U D' F' D' B2 L2 R
U D' F' D' B2 R L2
D' U2 F' R D' L2 B2
D' U2 F' R D' B2 L2
D' U2 F' D' L2 R B2
D' U2 F' D' L2 B2 R
D' U2 F' D' R L2 B2
D' U2 F' D' R B2 L2
D' U2 F' D' B2 L2 R
D' U2 F' D' B2 R L2
F' U2 D R2 U2 B R'
F' U2 D' F' U2 L2 R
F' U2 D' F' U2 R L2
D2 F L B' U F2 B'
D2 F L B' U B' F2
D' F L2 U' L U2 F2
D' F L2 B2 U R' F2
D' F L2 B2 U F2 R'
D' F U F2 R D' B2
D' F U F2 D' R B2
D' F U F2 D' B2 R
R2 F U' F B L U2
R2 F U' B F L U2
F' D R' B R' B L
F' D U2 R2 U2 B R'
D' F' L2 F2 U F2 R
D' F' R U' L2 F2 U
D' F' R U' F2 L2 U
D' F' R D' L' B2 L'
D' F' R D' L2 B2 D
D' F' R D' L2 B2 D'
D' F' R D' L2 B2 D2
D' F' R D' B L2 B
D' F' R D' B2 L2 D
D' F' R D' B2 L2 D'
D' F' R D' B2 L2 D2
D' F' R B D' L2 B2
D' F' R B D' B2 L2
D' F' R B' D' L2 B2
D' F' R B' D' B2 L2
D' F' R B2 D' L2 B2
D' F' R B2 D' B2 L2
D' F' R2 D' L2 R' B2
D' F' R2 D' R' L2 B2
D' F' R2 D' R' B2 L2
F' D' L2 R2 D2 B R'
D' F' D' L' R B2 L'
F' D' L2 U2 F' U2 R
D' F' D' L' B2 L' R
D' F' D' L' B2 R L'
D' F' D' L2 R B2 D
D' F' D' L2 R B2 D'
D' F' D' L2 R B2 D2
D' F' D' L2 R' B2 R2
D' F' D' L2 B' R B'
D' F' D' L2 B2 R D
D' F' D' L2 B2 R D'
D' F' D' L2 B2 R D2
D' F' D' L2 B2 D R
D' F' D' L2 B2 D' R
D' F' D' L2 B2 D2 R
D' F' D' R L' B2 L'
D' F' D' R L2 B2 D
D' F' D' R L2 B2 D'
D' F' D' R L2 B2 D2
D' F' D' R B L2 B
D' F' D' R B2 L2 D
D' F' D' R B2 L2 D'
D' F' D' R B2 L2 D2
F' D' L2 D2 R2 B R'
D' F' D' R' L2 B2 R2
D' F' D' R' B2 L2 R2
D' F' D' R' B2 R2 L2
D' F' D' B L2 B R
D' F' D' B' R B' L2
D' F' D' B2 L2 R D
D' F' D' B2 L2 R D'
D' F' D' B2 L2 R D2
D' F' D' B2 L2 D R
D' F' D' B2 L2 D' R
D' F' D' B2 L2 D2 R
D' F' D' B2 R L2 D
D' F' D' B2 R L2 D'
D' F' D' B2 R L2 D2
D' F' B R D' L2 B2
D' F' B R D' B2 L2
D2 F' B D' L2 B R'
D' F' B D' L2 R B2
D' F' B D' L2 B2 R
D' F' B D' R L2 B2
D2 F' B D' B L2 R'
D2 F' B D' B R' L2
D' F' B D' R B2 L2
D' F' B D' B2 L2 R
D' F' B D' B2 R L2
F' D' R2 L2 D2 B R'
D' F' B' R D' L2 B2
D' F' B' R D' B2 L2
D' F' B' D' L2 R B2
D' F' B' D' L2 B2 R
D' F' B' D' R L2 B2
D' F' B' D' R B2 L2
D' F' B' D' B2 L2 R
D' F' B' D' B2 R L2
D' F' B2 R D' L2 B2
D' F' B2 R D' B2 L2
D F' B D R' B2 L
D' F' B2 D' L2 R B2
D' F' B2 D' L2 B2 R
D' F' B2 D' R L2 B2
D' F' B2 D' R B2 L2
D' F' B2 D' B2 L2 R
D' F' B2 D' B2 R L2
F2 D' U F' U R F2
F' D' U2 F' U2 L2 R
F' D' U2 F' U2 R L2
B' D' F' R D' L2 B2
B' D' F' R D' B2 L2
B' D' F' D' L2 R B2
B' D' F' D' L2 B2 R
B' D' F' D' R L2 B2
B' D' F' D' R B2 L2
B2 D' F' R D' L2 B2
B2 D' F' R D' B2 L2
B' D' F' D' B2 L2 R
B' D' F' D' B2 R L2
F' D' F' U2 R F L2
B2 D' F' D' L2 R B2
B2 D' F' D' L2 B2 R
B2 D' F' D' R L2 B2
B2 D' F' D' R B2 L2
B2 D' F' D' B2 L2 R
B2 D' F' D' B2 R L2
B D' F' R D' L2 B2
B D' F' R D' B2 L2
B D' F' D' L2 R B2
B D' F' D' L2 B2 R
B D' F' D' R L2 B2
B D' F' D' R B2 L2
B D' F' D' B2 L2 R
B D' F' D' B2 R L2
D F2 R2 B U' R' F
D F2 R2 B U' F R'
D' B F' R D' L2 B2
D' B F' R D' B2 L2
D2 B F' D' L2 B R'
D2 B F' D' B L2 R'
D2 B F' D' B R' L2
D' B F' D' L2 R B2
D' B F' D' L2 B2 R
D' B F' D' R L2 B2
D' B F' D' R B2 L2
D' B F' D' B2 L2 R
D' B F' D' B2 R L2
D B F' D R' B2 L
D' B' F' R D' L2 B2
D' B' F' R D' B2 L2
D' B' F' D' L2 R B2
D' B' F' D' L2 B2 R
D' B' F' D' R L2 B2
D' B' F' D' R B2 L2
D' B' F' D' B2 L2 R
D' B' F' D' B2 R L2
D2 B2 D F' R D' L2
D2 B2 D F' D' L2 R
D2 B2 D F' D' R L2
D' B2 F' R D' L2 B2
D' B2 F' R D' B2 L2
D' B2 F' D' L2 R B2
D' B2 F' D' L2 B2 R
D' B2 F' D' R L2 B2
D' B2 F' D' R B2 L2
D' B2 F' D' B2 L2 R
D' B2 F' D' B2 R L2
