B' L' R' U L2 U
B' L' R' U2 D' B2
B' L' R' D F2 U2
B' L' R' D' U2 B2
B' L' U2 D' B2 L
B' L' D R' F2 U2
B' L' D F2 R' U2
B' L' D' R' U2 B2
B' L' D' U2 B2 L
B' R' L' U L2 U
B' R' L' U2 D' B2
B' R' L' D F2 U2
B' R' L' D' U2 B2
D' B' L' R' U2 B
D B' L' R' F U2
D B' L' F R' U2
D' B' R' L' U2 B
D B' R' L' F U2
D L B L F B2 R'
D L B L B2 R' F
D L B L B2 F R'
B' L' R' U L2 U D
B' L' R' U L2 U D'
B' L' R' U L2 U D2
B' L' R' U L2 D U
B' L' R' U L2 D' U
B' L' R' U L2 D2 U
B' L' R' U' D2 R2 U'
B' L' R' U2 D' B2 D
B' L' R' U2 D' B2 D'
B' L' R' U2 D' B2 D2
B' L' R' U2 B D' B2
B' L' R' U2 B' D' B2
B' L' R' U2 B2 D' B2
B' L' R' D F2 U2 D
B' L' R' D F2 U2 D'
B' L' R' D F2 U2 D2
B' L' R' D F2 D U2
B' L' R' D F2 D' U2
B' L' R' D F2 D2 U2
B' L' R' D' U2 B2 D
B' L' R' D' U2 B2 D'
B' L' R' D' U2 B2 D2
B' L' R' D' F U2 B2
B' L' R' D' F' U2 B2
B' L' R' D' F2 U2 B2
B' L' R' D2 U' R2 U'
B' L' R' F U L2 U
B' L' R' F U2 D' B2
B' L' R' F D F2 U2
B' L' R' F D' U2 B2
B' L' R' F' U L2 U
B' L' R' F' U2 D' B2
B' L' R' F' D F2 U2
B' L' R' F' D' U2 B2
B' L' R' F2 U L2 U
B' L' R' F2 U2 D' B2
B' L' R' F2 D F2 U2
B' L' R' F2 D' U2 B2
B' L' R2 D R F2 U2
B' L' R2 D F2 U2 L'
B' L' R2 D' R U2 B2
B' L' U L2 U' R' U2
B' L' U2 D' L B2 L
B' L' U2 D' L' B2 L
B' L' U2 D' L2 B2 L
B' L' U2 D' B2 L D
B' L' U2 D' B2 L D'
B' L' U2 D' B2 L D2
B' L' U2 D' B2 D L
B' L' U2 D' B2 D' L
B' L' U2 D' B2 D2 L
B' L' U2 B2 D' L B2
B' L' D R F2 R2 U2
B' L' D R' U2 D2 B2
B' L' D R' D2 U2 B2
B' L' D R' F2 U2 D
B' L' D R' F2 U2 D'
B' L' D R' F2 U2 D2
B' L' D R' F2 D U2
B' L' D R' F2 D' U2
B' L' D R' F2 D2 U2
B' L' D R2 F2 U2 L'
B' L' D F R' F U2
B' L' D F2 R' U2 D
B' L' D F2 R' U2 D'
B' L' D F2 R' U2 D2
B' L' D F2 R' D U2
B' L' D F2 R' D' U2
B' L' D F2 R' D2 U2
B' L' D F2 D R' U2
B' L' D F2 D' R' U2
B' L' D F2 D2 R' U2
B' L' D' R' U2 B2 D
B' L' D' R' U2 B2 D'
B' L' D' R' U2 B2 D2
B' L' D' R' D2 F2 U2
B' L' D' R' F U2 B2
B' L' D' R' F' U2 B2
B' L' D' R' F2 U2 B2
B' L' D' U2 L B2 L
B' L' D' U2 L' B2 L
B' L' D' U2 L2 B2 L
B' L' D' U2 B2 L D
B' L' D' U2 B2 L D'
B' L' D' U2 B2 L D2
B' L' D' U2 B2 D L
B' L' D' U2 B2 D' L
B' L' D' U2 B2 D2 L
B' L' D' F R' U2 B2
B' L' D' F U2 B2 L
B' L' D' F' R' U2 B2
B' L' D' F' U2 B2 L
B' L' D' F2 R' U2 B2
B' L' D' F2 U2 B2 L
B' L' D2 R' U' R' U'
B' L' F R' U L2 U
B' L' F R' U2 D' B2
B' L' F R' D F2 U2
B' L' F R' D' U2 B2
B' L' F U2 D' B2 L
B' L' F D R' F2 U2
B' L' F D F2 R' U2
B' L' F D' R' U2 B2
B' L' F D' U2 B2 L
D L' F U2 F' L' F
B' L' F' R' U L2 U
B' L' F' R' U2 D' B2
B' L' F' R' D F2 U2
B' L' F' R' D' U2 B2
B' L' F' U2 D' B2 L
B' L' F' D R' F2 U2
B' L' F' D F2 R' U2
B' L' F' D' R' U2 B2
B' L' F' D' U2 B2 L
B' L' F2 R' U L2 U
B' L' F2 R' U2 D' B2
B' L' F2 R' D F2 U2
B' L' F2 R' D' U2 B2
B' L' F2 U2 D' B2 L
B' L' F2 D R' F2 U2
B' L' F2 D F2 R' U2
B' L' F2 D' R' U2 B2
B' L' F2 D' U2 B2 L
B2 L' B R' U L U
B L' B2 U L U L
D' R B' L' F' R' U2
D R B' L' R' F U2
D R B' L' F R' U2
D R B' R' L' F U2
B' R' L' U L2 U D
B' R' L' U L2 U D'
B' R' L' U L2 U D2
B' R' L' U L2 D U
B' R' L' U L2 D' U
B' R' L' U L2 D2 U
B' R' L' U' D2 R2 U'
B' R' L' U2 D' B2 D
B' R' L' U2 D' B2 D'
B' R' L' U2 D' B2 D2
B' R' L' U2 B D' B2
B' R' L' U2 B' D' B2
B' R' L' U2 B2 D' B2
B' R' L' D F2 U2 D
B' R' L' D F2 U2 D'
B' R' L' D F2 U2 D2
B' R' L' D F2 D U2
B' R' L' D F2 D' U2
B' R' L' D F2 D2 U2
B' R' L' D' U2 B2 D
