L' U2 L2 D' B2
L' R U' R' U' L2
R' L' U' R U' L2
L' R' U' R U' L2
R2 L' U' R2 U' L2
R L' U' R' U' L2
R2 L' U2 L2 D B2
D' L' U2 L2 D' B2
D2 L' U2 L2 D' B2
D L' U2 L2 D' B2
U L' U2 L2 D F2
L' R2 U' R2 U' L2
L' R2 U2 L2 D B2
U2 L2 D' B2 L' R'
U2 L2 D' B2 R' L'
L' U F' U L2 B'
L' U' D' B2 U' B2
L' U' B U' B' L2
L' U' B' U' L2 B
L' U' B' U' B L2
L' U' B2 U' L2 B2
L' U' B2 U' B2 L2
L' U2 L2 U' L2 U
L' U2 L2 D' B2 D
L' U2 L2 D' B2 D'
L' U2 L2 D' B2 D2
L' U2 L2 B D' B2
L' U2 L2 B' D' B2
L' U2 L2 B2 D' B2
L' U2 B L2 D' B2
L' U2 B' L2 D' B2
L' U2 B2 L2 D' B2
R2 D L' U2 L2 B2
R2 D L' U2 B2 L2
B2 U L' R' B2 U2
B2 U L' B2 U2 L
B2 U R' L' B2 U2
B2 U R' B2 L' U2
R2 D' L' F2 U2 L2
L' D' U' B2 U' B2
B2 U B2 L' U2 L2
B U B' L' U2 L2
R2 D' F2 U2 L R
R2 D' F2 U2 R L
L' D2 R2 U' R2 U'
L' D2 R2 U2 D B2
L' D2 R2 D U2 B2
L' D2 R2 D' F2 U2
L' F U2 L2 D' B2
L' F' U2 L2 D' B2
L' F2 U2 L2 D' B2
U2 F2 U L R F2
U2 F2 U R L F2
U2 F2 U R F2 L
L' R U' R' U' L2 D
L' R U' R' U' L2 D'
L' R U' R' U' L2 D2
L' R U' R' D' B2 U'
L' R U' R' B U' L2
L' R U' R' B' U' L2
L' R U' R' B2 U' L2
L' R U' D' R' B2 U'
L' R U2 L2 U R' U'
U' L U L' U L' U2
U' L U L' F2 U' R
B2 L U L2 R' B2 U2
B2 L U L2 B2 U2 L
B2 L U R' L2 B2 U2
B2 L U R' B2 L2 U2
U' L U D L' F2 U'
U2 L U D F2 R U'
U' L U D2 L' U' R2
B2 L U B2 L2 U2 L'
U2 L U' L' U' L' U2
U2 L U' D' L' B2 U
U2 L U' D' B2 L' U
U2 L U' D2 L' U R2
B2 L U' D2 R2 F2 L'
L' R D' U' R' B2 U'
U' L U2 L2 U' L U'
U2 L U2 L2 U L U
L' R D2 R2 U' R U'
U' L D U L' F2 U'
U2 L D U F2 R U'
L' R F U' R' U' L2
U2 L D' U' L' B2 U
U2 L D' U' B2 L' U
L' R F' U' R' U' L2
U' L D2 R2 U L' U'
U2 L D2 R2 U' L' U
U' L D2 U L' U' R2
U2 L D2 U' L' U R2
B2 L D2 U' R2 F2 L'
L' R F2 U' R' U' L2
L' R' U D F2 L' U
R' L' U D F2 L' U
R2 L' U D F2 U B2
L' R' U F2 L' U L'
R' L' U F2 L' U L'
R' L' U' R U' L2 D
R' L' U' R U' L2 D'
R' L' U' R U' L2 D2
L' R' U' R U' L2 D
L' R' U' R U' L2 D'
L' R' U' R U' L2 D2
R' L' U' R D' B2 U'
L' R' U' R D' B2 U'
R' L' U' R B U' L2
R' L' U' R B' U' L2
L' R' U' R B U' L2
R' L' U' R B2 U' L2
L' R' U' R B' U' L2
L' R' U' R B2 U' L2
R' L' U' D' R B2 U'
L' R' U' D' R B2 U'
R' L' U' D' B2 R U'
L' R' U' D' B2 R U'
R2 L' U' R2 U' L2 D
R2 L' U' R2 U' L2 D'
R2 L' U' R2 U' L2 D2
R2 L' U' R2 D' B2 U'
R L' U' R' U' L2 D
R L' U' R' U' L2 D'
R L' U' R' U' L2 D2
R2 L' U' R2 B U' L2
R2 L' U' R2 B' U' L2
R L' U' R' D' B2 U'
R2 L' U' R2 B2 U' L2
R L' U' R' B U' L2
R L' U' R' B' U' L2
R L' U' R' B2 U' L2
R' L' U' B R U' L2
R L' U' D' R' B2 U'
L' R' U' B R U' L2
R' L' U' B' R U' L2
L' R' U' B' R U' L2
R' L' U' B2 R U' L2
L' R' U' B2 R U' L2
R2 L' U' B R2 U' L2
R2 L' U' B' R2 U' L2
R' L' U2 L2 U R U'
L' R' U2 L2 U R U'
R2 L' U' B2 R2 U' L2
R2 L' U2 L D L B2
R2 L' U2 L' D L' B2
R2 L' U2 L' D B2 L'
R2 L' U2 L2 U R2 U'
R2 L' U2 L2 D B2 D
R2 L' U2 L2 D B2 D'
R2 L' U2 L2 D B2 D2
R2 L' U2 L2 B D B2
R2 L' U2 L2 B' D B2
R2 L' U2 L2 B2 D B2
R L' U2 L2 U R' U'
D2 L' R U' R' U' L2
R2 L' U2 D B2 D' L2
D' L' R U' R' U' L2
D L' R U' R' U' L2
U L' R U R' U L2
R2 L' U2 B L2 D B2
R2 L' U2 B' L2 D B2
R2 L' U2 B2 L2 D B2
R' L' D U F2 L' U
L' R' D U F2 L' U
D2 L' R' U' R U' L2
D' L' R' U' R U' L2
R2 L' D U F2 U B2
D L' R' U' R U' L2
R2 L' D U2 B2 D' L2
U L' R' U R U L2
D2 L' R2 U' R2 U' L2
D' L' R2 U' R2 U' L2
D2 L' R2 U2 L2 D B2
D' L' R2 U2 L2 D B2
B2 L' R' B2 U' R U'
R' L' D' U' R B2 U'
R' L' D' U' B2 R U'
L' R' D' U' R B2 U'
L' R' D' U' B2 R U'
D L' R2 U' R2 U' L2
D L' R2 U2 L2 D B2
U L' R2 U R2 U L2
U L' R2 U2 L2 D' F2
R L' D' U' R' B2 U'
R2 L' D' F2 U' B2 U'
R2 L' D' F2 U2 D L2
R2 L' D' F2 D U2 L2
R2 L' D' F2 D' R2 U2
R' L' D2 R2 U' R' U'
L' R' D2 R2 U' R' U'
R2 L' D2 R2 U L2 U
R2 L' D2 R2 U2 D' B2
R2 L' D2 R2 D F2 U2
R2 L' D2 R2 D' U2 B2
R L' D2 R2 U' R U'
D2 L' U F' U L2 B'
D' L' U F' U L2 B'
U L' U D F2 U F2
D L' U F' U L2 B'
U L' U F U L2 F'
U L' U F U F' L2
U L' U F' U F L2
U L' U F2 U L2 F2
U L' U F2 U F2 L2
F2 L' U' L2 R D F2
F2 L' U' L2 D R F2
F2 L' U' R L2 D F2
D2 L' U' D' B2 U' B2
D' L' U' D' B2 U' B2
R2 L' F U' R2 U' L2
R2 L' F U2 L2 D B2
D L' U' D' B2 U' B2
R L' F U' R' U' L2
D2 L' U' B U' B' L2
D' L' U' B U' B' L2
D2 L' U' B' U' L2 B
D2 L' U' B' U' B L2
D' L' U' B' U' L2 B
D' L' U' B' U' B L2
D2 L' U' B2 U' L2 B2
D2 L' U' B2 U' B2 L2
D' L' U' B2 U' L2 B2
D' L' U' B2 U' B2 L2
D L' U' B U' B' L2
D2 L' U2 L2 U' L2 U
D L' U' B' U' L2 B
D L' U' B' U' B L2
D2 L' U2 L2 D' B2 D
D2 L' U2 L2 D' B2 D'
D2 L' U2 L2 D' B2 D2
D2 L' U2 L2 B D' B2
D' L' U2 L2 U' L2 U
D2 L' U2 L2 B' D' B2
D2 L' U2 L2 B2 D' B2
D' L' U2 L2 D' B2 D
D' L' U2 L2 D' B2 D'
D' L' U2 L2 D' B2 D2
D L' U' B2 U' L2 B2
D L' U' B2 U' B2 L2
D' L' U2 L2 B D' B2
D' L' U2 L2 B' D' B2
D' L' U2 L2 B2 D' B2
F2 L' U2 L2 R D' B2
U L' U' B U' L2 F
F2 L' U2 L2 D' R B2
F2 L' U2 L2 D' B2 R
F2 L' U2 R L2 D' B2
D L' U2 L2 U' L2 U
D L' U2 L2 D' B2 D
D L' U2 L2 D' B2 D'
D L' U2 L2 D' B2 D2
D L' U2 L2 B D' B2
D L' U2 L2 B' D' B2
D L' U2 L2 B2 D' B2
U L' U2 L2 U L2 U'
U L' U2 L2 D F2 D
U L' U2 L2 D F2 D'
U L' U2 L2 D F2 D2
U L' U2 L2 F D F2
U L' U2 L2 F' D F2
U L' U2 L2 F2 D F2
R2 L' F' U' R2 U' L2
R2 L' F' U2 L2 D B2
D2 L' U2 B L2 D' B2
R L' F' U' R' U' L2
D' L' U2 B L2 D' B2
D2 L' U2 B' L2 D' B2
D' L' U2 B' L2 D' B2
D2 L' U2 B2 L2 D' B2
D' L' U2 B2 L2 D' B2
D L' U2 B L2 D' B2
U L' U2 F L2 D F2
D L' U2 B' L2 D' B2
U L' U2 F' L2 D F2
D L' U2 B2 L2 D' B2
U L' U2 F2 L2 D F2
R' L' F2 U L' U L'
L' R' F2 U L' U L'
R2 L' F2 U' R2 U' L2
R2 L' F2 U2 L2 D B2
R L' F2 U' R' U' L2
U L' D U F2 U F2
D2 L' D' U' B2 U' B2
D' L' D' U' B2 U' B2
D L' D' U' B2 U' B2
D2 L' D2 R2 U' R2 U'
D2 L' D2 R2 U2 D B2
D2 L' D2 R2 D U2 B2
D2 L' D2 R2 D' F2 U2
D' L' D2 R2 U' R2 U'
D' L' D2 R2 U2 D B2
D' L' D2 R2 D U2 B2
D' L' D2 R2 D' F2 U2
D L' D2 R2 U' R2 U'
D L' D2 R2 U2 D B2
D L' D2 R2 D U2 B2
D L' D2 R2 D' F2 U2
U L' D2 R2 U R2 U
U L' D2 R2 U2 D' F2
U L' D2 R2 D B2 U2
